구,법정동,단지명,전용면적(㎡),계약일자,층,거래금액,동,매수자,매도자,도로명,거래유형,등기일자,정책여부
강남구,개포동,대치푸르지오발라드,59.9957,2024-08-20,2,164118,1동,개인,법인,개포로 407,직거래,24.12.20,정책전
강남구,개포동,대치푸르지오발라드,59.9957,2024-08-20,2,164118,1동,개인,법인,개포로 407,직거래,24.12.10,정책전
강남구,도곡동,도곡렉슬,119.8906,2025-11-08,2,425000,405,개인,개인,선릉로 221,중개거래,26.02.27,정책후
강남구,도곡동,도곡렉슬,119.8906,2025-11-08,2,425000,407,개인,개인,선릉로 221,중개거래,26.01.20,정책후
강남구,도곡동,럭키(963),84.97,2024-07-06,6,195000,101,개인,개인,논현로 213,중개거래,24.10.31,정책전
강남구,도곡동,럭키(963),84.97,2024-07-06,6,195000,102,개인,개인,논현로 213,중개거래,24.11.06,정책전
강동구,고덕동,래미안힐스테이트고덕,84.9,2024-06-15,11,145000,201,개인,개인,아리수로50길 50,중개거래,24.08.30,정책전
강동구,고덕동,래미안힐스테이트고덕,84.9,2024-06-15,11,145000,201,개인,개인,아리수로50길 50,중개거래,24.09.05,정책전
강동구,고덕동,래미안힐스테이트고덕,84.74,2025-06-12,15,190000,116,개인,개인,아리수로50길 50,중개거래,25.10.17,정책전
강동구,고덕동,래미안힐스테이트고덕,84.9,2025-06-12,15,190000,204,개인,개인,아리수로50길 50,중개거래,25.09.01,정책전
강동구,길동,거산유팰리스2차,21.46,2024-12-24,4,26990,,법인,개인,천호대로177길 39,직거래,25.01.07,정책전
강동구,길동,거산유팰리스2차,21.46,2024-12-24,4,26990,,공공기관,법인,천호대로177길 39,직거래,25.01.07,정책전
강동구,명일동,래미안솔베뉴,59.11,2024-06-18,3,119000,101,개인,개인,양재대로 1650,중개거래,24.08.30,정책전
강동구,명일동,래미안솔베뉴,59.25,2024-06-18,3,119000,112,개인,개인,양재대로 1650,중개거래,24.10.18,정책전
강동구,상일동,고덕롯데캐슬베네루체,84.923,2025-10-02,9,170000,703,개인,개인,상암로79길 88,중개거래,26.02.09,정책후
강동구,상일동,고덕롯데캐슬베네루체,84.923,2025-10-02,9,170000,707,개인,개인,상암로79길 88,중개거래,26.03.04,정책후
강동구,암사동,선사현대아파트,72.85,2026-04-03,18,163000,102,개인,개인,상암로 11,중개거래,26.05.21,정책후
강동구,암사동,선사현대아파트,72.85,2026-04-03,18,163000,111,개인,개인,상암로 11,중개거래,26.06.29,정책후
강북구,미아동,삼각산아이원,84.705,2026-01-06,1,71000,103,개인,개인,삼양로19길 113,중개거래,26.03.03,정책후
강북구,미아동,삼각산아이원,84.705,2026-01-06,1,71000,112,개인,개인,삼양로19길 113,중개거래,26.02.19,정책후
강서구,가양동,가양2단지(성지),34.44,2025-10-18,3,53000,204,개인,개인,허준로 47,중개거래,26.01.23,정책후
강서구,가양동,가양2단지(성지),34.44,2025-10-18,3,53000,205,개인,개인,허준로 47,중개거래,25.12.31,정책후
강서구,가양동,가양6단지,39.6,2025-10-15,12,70000,615,개인,개인,허준로 175,중개거래,25.12.23,정책후
강서구,가양동,가양6단지,39.6,2025-10-15,12,70000,604,개인,개인,허준로 175,중개거래,26.01.14,정책후
강서구,가양동,가양6단지,49.5,2026-04-09,5,97000,603,개인,개인,허준로 175,중개거래,26.08.07,정책후
강서구,가양동,가양6단지,49.5,2026-04-09,5,97000,601,개인,개인,허준로 175,중개거래,26.06.08,정책후
강서구,공항동,더트루엘마곡HQ,48.3293,2026-03-27,13,64400,102,개인,법인,공항대로 67,직거래,26.06.05,정책후
강서구,공항동,더트루엘마곡HQ,48.3293,2026-03-27,13,64400,102,개인,법인,공항대로 67,직거래,26.05.29,정책후
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,5,35750,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,5,35750,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,7,36450,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,7,36450,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,8,36650,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,8,36650,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,10,36650,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,10,36650,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,11,36800,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,11,36800,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,13,37400,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,13,37400,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,19.96,2025-05-29,13,33650,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,19.96,2025-05-29,13,33650,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,14,37550,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,14,37550,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,15,37550,이스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,내발산동,센터스퀘어발산,22.16,2025-05-29,15,37550,웨스트동,공공기관,법인,공항대로 302,직거래,25.06.02,정책전
강서구,등촌동,등촌동아이파크,84.7556,2026-02-03,18,109000,202,개인,개인,등촌로 163,직거래,26.03.10,정책후
강서구,등촌동,등촌동아이파크,84.7556,2026-02-03,18,109000,202,개인,개인,등촌로 163,중개거래,26.03.10,정책후
강서구,화곡동,갤러리빌,13.98,2026-04-17,3,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,12.54,2026-04-17,3,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,13.98,2026-04-17,4,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,12.54,2026-04-17,4,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,12.54,2026-04-17,5,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,13.98,2026-04-17,5,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,12.54,2026-04-17,6,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,13.98,2026-04-17,6,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,13.98,2026-04-17,7,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,갤러리빌,12.54,2026-04-17,7,10000,,개인,개인,화곡로42길 19,중개거래,26.07.31,정책후
강서구,화곡동,아녜스타워4,12.15,2025-07-17,7,11000,,개인,법인,강서로7길 57,중개거래,25.07.18,정책후
강서구,화곡동,아녜스타워4,12.13,2025-07-17,7,11000,,개인,법인,강서로7길 57,중개거래,25.07.18,정책후
광진구,광장동,현대8(803동),59.94,2025-09-27,2,150000,803,개인,개인,아차산로 508,중개거래,26.01.14,정책후
광진구,광장동,현대8(803동),59.94,2025-09-27,2,150000,803,개인,개인,아차산로 508,중개거래,25.12.05,정책후
광진구,구의동,e편한세상광진그랜드파크,84.9957,2025-06-07,1,160000,103,개인,개인,광나루로 458,중개거래,25.10.01,정책전
광진구,구의동,e편한세상광진그랜드파크,84.9716,2025-06-07,1,160000,107,개인,개인,광나루로 458,중개거래,25.10.15,정책전
광진구,구의동,광진파크하우스,45.5821,2025-12-17,6,61000,101동,개인,법인,자양로 227,중개거래,25.12.24,정책후
광진구,구의동,광진파크하우스,45.5821,2025-12-17,6,61000,,개인,개인,자양로 227,중개거래,,정책후
구로구,구로동,한신,45.563,2025-04-17,6,43000,1,개인,개인,구일로8길 63,직거래,25.06.19,정책전
구로구,구로동,한신,45.563,2025-04-17,6,43000,1,개인,개인,구일로8길 63,중개거래,25.06.16,정책전
구로구,신도림동,SKVIEW,84.96,2025-07-19,29,103500,103,개인,개인,경인로 638,중개거래,25.10.16,정책후
구로구,신도림동,SKVIEW,84.96,2025-07-19,29,103500,103,개인,개인,경인로 638,직거래,25.10.16,정책후
