시기,날짜,기사제목,url,감정,수치
시행전,2025-05-29,서울 아파트값 17주 연속 상승…강남 3구 '고공행진',https://n.news.naver.com/mnews/article/422/0000745103,슬픔,0.9923954010009766
시행전,2025-05-29,‘82점’ 청약통장 구로에 등장…분양가 부담에 비강남권도 고가점 몰려,https://n.news.naver.com/mnews/article/009/0005501061,중립,0.9996069073677063
시행전,2025-05-29,"기준금리 인하…""집값추세 흔들 변수 아냐""",https://n.news.naver.com/mnews/article/031/0000936547,중립,0.9999704360961914
시행전,2025-05-29,"“주택 공급 확대” 한목소리…얼마나, 어떻게는 ‘글쎄’",https://n.news.naver.com/mnews/article/032/0003372962,중립,0.9999651908874512
시행전,2025-05-29,서울 아파트값 17주 연속 올라…강남3구·양천구↑,https://n.news.naver.com/mnews/article/422/0000745052,놀람,0.9994188547134399
시행전,2025-05-29,"강남 3구 찾은 이재명 ""집값 오르면 공급 늘려 적정가 유지""",https://n.news.naver.com/mnews/article/277/0005600673,중립,0.9999631643295288
시행전,2025-05-29,언제까지 숨고르나… 암울한 건설 시장에 공급 절벽 현실화,https://n.news.naver.com/mnews/article/656/0000134242,슬픔,0.998618483543396
시행전,2025-05-29,"외국인 집 매입 느는데…""강남권 매수자 대부분은 교포""",https://n.news.naver.com/mnews/article/025/0003444548,중립,0.9999402761459351
시행전,2025-05-29,"강남 수서·일원동 저층단지, 1만6천가구로 재건축 시동",https://n.news.naver.com/mnews/article/014/0005356768,중립,0.9999314546585083
시행전,2025-05-29,마곡까지 10분… 부천 'e편한세상 대장 퍼스티움',https://n.news.naver.com/mnews/article/014/0005356767,행복,0.8926523923873901
시행전,2025-05-29,평택 최고 49층 랜드마크 '더 플래티넘 스카이 헤론',https://n.news.naver.com/mnews/article/014/0005356764,중립,0.9998121857643127
시행전,2025-05-29,'힐스테이트 용인마크밸리' 선착순 계약…계약금 5%… 반도체 국가산단 개발호재,https://n.news.naver.com/mnews/article/014/0005356763,중립,0.9999278783798218
시행전,2025-05-29,"""입주권 `피`가 4억"" 힐스테이트메디알레 갔으면 불광5도 가야지",https://n.news.naver.com/mnews/article/029/0002958397,중립,0.9999438524246216
시행전,2025-05-29,면목7구역 정비계획 변경… 분담금 최대 4000만원 줄어든다,https://n.news.naver.com/mnews/article/417/0001080156,중립,0.9999592304229736
시행전,2025-05-29,"[전문가 진단] 올해 두 번째 금리 인하… ""부동산 숨통 트이나""",https://n.news.naver.com/mnews/article/417/0001080154,중립,0.9999707937240601
시행전,2025-05-29,풍납동도 재건축 바람 분다…풍납미성 23층·413가구로 탈바꿈,https://n.news.naver.com/mnews/article/015/0005138428,중립,0.9999374151229858
시행전,2025-05-29,"GS건설 자이 '미니창고 다락' 도입… ""셀프 스토리지로 공간 확장""",https://n.news.naver.com/mnews/article/417/0001080151,중립,0.9996833801269531
시행전,2025-05-29,알맹이 빠졌다…부동산 '공약(空約)' [BEST CHOICE 2025],https://n.news.naver.com/mnews/article/215/0001210978,혐오,0.9999223947525024
시행전,2025-05-29,"현대건설 ‘힐스테이트 용인마크밸리’, 선착순 계약 ‘순항’…주변 시세比 5000만원↓",https://n.news.naver.com/mnews/article/029/0002958376,행복,0.9988337159156799
시행전,2025-05-29,"백원국 2차관, APEC 정상회의 점검 ""원활한 교통 중요""",https://n.news.naver.com/mnews/article/003/0013275144,중립,0.9999630451202393
시행전,2025-05-29,"아파트 스토리지의 진화 자이, 미니창고 다락 선봬",https://n.news.naver.com/mnews/article/009/0005500901,놀람,0.7476387023925781
시행전,2025-05-29,"""모건스탠리가 집주인"" 1인 주거 '홈즈 안암'",https://n.news.naver.com/mnews/article/009/0005500900,중립,0.9999744892120361
시행전,2025-05-29,"동서울터미널, 39층 복합타워 재탄생",https://n.news.naver.com/mnews/article/009/0005500899,중립,0.9999727010726929
시행전,2025-05-29,강남 수서 일대 1만6천가구 재건축 시동,https://n.news.naver.com/mnews/article/009/0005500898,중립,0.9999638795852661
시행전,2025-05-29,구로서 82점 청약통장 나와,https://n.news.naver.com/mnews/article/009/0005500897,중립,0.9999262094497681
시행전,2025-05-29,금리인하 겹쳐 … 브레이크 없는 서울 집값,https://n.news.naver.com/article/009/0005500896,중립,0.9997068047523499
시행전,2025-05-29,"자이, 앱 기반 ‘미니창고 다락’ 서비스 도입",https://n.news.naver.com/article/243/0000078805,중립,0.9999339580535889
시행전,2025-05-29,"지방은 떨어진다는데…지붕 뚫은 서울 아파트값, 17주 연속 상승세",https://n.news.naver.com/article/029/0002958367,놀람,0.8555307984352112
시행전,2025-05-29,"백원국 국토차관 ""APEC 정상회의, 국가 위상 높일 기회""",https://n.news.naver.com/article/421/0008283618,중립,0.9999423027038574
시행전,2025-05-29,동대구역 ‘초역세권’ 입지 누리는 프리미엄 라이프… DL이앤씨 ‘e편한세상 동대구역 센텀스퀘어’ 공급,https://n.news.naver.com/article/022/0004039477,행복,0.7835222482681274
시행전,2025-05-29,'한국 부동산 시장 어디로 갈 것인가'…전문가들 모였다,https://n.news.naver.com/article/015/0005138405,중립,0.9910270571708679
시행전,2025-05-29,서울 신축 아파트에 '20억 돌덩이'…논란 폭발하더니 결국,https://n.news.naver.com/article/015/0005138401,놀람,0.9994149208068848
시행전,2025-05-29,‘공공주택 공급’ 강조했으나 ‘얼마나’는 빠져…취약계층 지원 공약도 ‘부실’,https://n.news.naver.com/article/032/0003372885,혐오,0.9999121427536011
시행전,2025-05-29,천장 없는 강남3구…서울 아파트값 17주 연속 상승,https://n.news.naver.com/article/629/0000394401,중립,0.9628926515579224
