구,법정동,계약일자,전용면적,평형,거래금액,평단가,거래유형,정책여부,이상치여부
강남구,강남1동,2024-05-18,33.49,10,75098,7413.8,중개거래,정책전,False
강남구,강남1동,2024-05-12,68.94,21,165125,7917.7,중개거래,정책전,False
강남구,강남1동,2024-05-18,62.17,19,152495,8108.6,중개거래,정책전,False
강남구,강남1동,2024-05-10,68.14,21,156641,7599.9,중개거래,정책전,False
강남구,강남1동,2024-05-01,35.08,11,85472,8053.8,중개거래,정책전,False
강남구,강남1동,2024-05-14,59.25,18,144304,8051.3,중개거래,정책전,False
강남구,강남2동,2024-05-19,84.98,26,198481,7720.7,중개거래,정책전,False
강남구,강남2동,2024-05-03,40.33,12,94912,7780.3,직거래,정책전,False
강남구,강남2동,2024-05-03,75.81,23,164625,7179.1,중개거래,정책전,False
강남구,강남2동,2024-05-13,63.75,19,147087,7626.7,중개거래,정책전,False
강남구,강남2동,2024-05-24,48.41,15,116469,7953.4,중개거래,정책전,False
강남구,강남2동,2024-05-17,91.04,28,213885,7766.9,중개거래,정책전,False
강남구,강남2동,2024-05-03,63.4,19,161068,8398.4,중개거래,정책전,False
강남구,강남2동,2024-05-05,66.14,20,168845,8439.5,중개거래,정책전,False
강남구,강남2동,2024-05-16,40.47,12,94352,7707.5,중개거래,정책전,False
강남구,강남2동,2024-06-10,46.76,14,112428,7948.7,직거래,정책전,False
강남구,강남2동,2024-06-23,55.83,17,128265,7595.2,중개거래,정책전,False
강남구,강남2동,2024-06-20,49.27,15,118989,7983.0,중개거래,정책전,False
강남구,강남2동,2024-06-20,78.65,24,185753,7807.1,중개거래,정책전,False
강남구,강남2동,2024-06-15,39.7,12,92679,7717.8,중개거래,정책전,False
강남구,강남2동,2024-06-11,75.77,23,175285,7647.6,직거래,정책전,False
강남구,강남2동,2024-06-25,66.7,20,160249,7942.4,직거래,정책전,False
강남구,강남2동,2024-06-07,67.92,21,160764,7824.5,중개거래,정책전,False
강남구,강남2동,2024-06-03,33.44,10,81661,8072.5,직거래,정책전,False
강남구,강남2동,2024-06-21,56.63,17,139045,8117.2,중개거래,정책전,False
강남구,강남2동,2024-06-12,63.39,19,150367,7842.0,중개거래,정책전,False
강남구,강남1동,2024-06-11,36.86,11,85305,7650.8,중개거래,정책전,False
강남구,강남1동,2024-06-12,51.11,15,123716,8002.3,중개거래,정책전,False
