구,법정동,계약년월,평균평단가,중위평단가,거래건수
강남구,강남1동,2024-05,7857.5,7984.5,6
강남구,강남1동,2024-06,7996.8,7993.6,8
강남구,강남1동,2024-07,7987.4,7878.7,10
강남구,강남1동,2024-08,7735.0,7669.6,14
강남구,강남1동,2024-09,8050.2,8026.0,8
강남구,강남1동,2024-10,7999.7,8180.1,7
강남구,강남1동,2024-11,8008.5,8039.8,12
강남구,강남1동,2024-12,8229.4,8215.6,11
강남구,강남1동,2025-01,7886.8,7883.8,4
강남구,강남1동,2025-02,8017.1,8013.9,9
강남구,강남1동,2025-03,8354.1,8370.6,10
강남구,강남1동,2025-04,7998.0,7902.3,8
강남구,강남1동,2025-05,8347.5,8375.0,18
강남구,강남1동,2025-06,8887.5,8825.5,9
강남구,강남1동,2025-07,8538.6,8390.2,7
강남구,강남1동,2025-08,8430.0,8418.6,4
강남구,강남1동,2025-09,8350.2,8367.1,5
강남구,강남1동,2025-10,8121.2,8151.9,5
강남구,강남1동,2025-11,8243.6,8170.4,8
강남구,강남1동,2025-12,8342.2,8342.2,2
강남구,강남1동,2026-01,8058.0,8147.0,6
강남구,강남1동,2026-02,8189.0,8084.6,6
강남구,강남1동,2026-03,8429.2,8395.6,5
강남구,강남1동,2026-04,8467.9,8616.4,3
강남구,강남1동,2026-05,8160.7,8333.6,4
강남구,강남1동,2026-06,8611.5,8712.8,3
강남구,강남1동,2026-07,8627.2,8622.6,4
강남구,강남1동,2026-08,8316.6,8316.6,2
강남구,강남2동,2024-05,7841.4,7766.9,9
강남구,강남2동,2024-06,7863.5,7842.0,11
강남구,강남2동,2024-07,7796.4,7814.1,7
강남구,강남2동,2024-08,7741.8,7646.6,13
강남구,강남2동,2024-09,8158.2,8188.2,5
강남구,강남2동,2024-10,8171.8,8048.2,7
강남구,강남2동,2024-11,7830.7,7912.9,8
강남구,강남2동,2024-12,8323.0,8305.8,3
강남구,강남2동,2025-01,8080.1,7951.4,10
강남구,강남2동,2025-02,8232.0,8162.8,12
강남구,강남2동,2025-03,8125.8,8076.2,8
강남구,강남2동,2025-04,8176.8,8216.1,7
강남구,강남2동,2025-05,8005.2,8073.8,3
강남구,강남2동,2025-06,8772.2,8813.9,14
강남구,강남2동,2025-07,8259.5,8262.4,3
강남구,강남2동,2025-08,7951.2,7859.8,6
강남구,강남2동,2025-09,8171.1,8195.4,8
강남구,강남2동,2025-10,8666.8,8703.0,4
강남구,강남2동,2025-11,8484.4,8418.0,6
강남구,강남2동,2025-12,8308.3,8472.1,7
강남구,강남2동,2026-01,8309.6,8260.7,7
강남구,강남2동,2026-02,8053.3,7974.6,8
강남구,강남2동,2026-03,8392.2,8425.0,9
강남구,강남2동,2026-04,8575.0,8779.0,3
강남구,강남2동,2026-05,8222.2,8211.3,8
강남구,강남2동,2026-06,8336.2,8336.5,3
강남구,강남2동,2026-07,8359.1,8141.4,3
강남구,강남2동,2026-08,8061.3,8144.0,3
강동구,강동1동,2024-05,5689.8,5613.0,9
강동구,강동1동,2024-06,5740.5,5738.4,6
강동구,강동1동,2024-07,5780.1,5849.4,6
강동구,강동1동,2024-08,5697.4,5737.0,12
강동구,강동1동,2024-09,5504.9,5525.8,13
강동구,강동1동,2024-10,5671.5,5588.2,11
강동구,강동1동,2024-11,5704.4,5712.4,15
강동구,강동1동,2024-12,5631.9,5555.1,6
강동구,강동1동,2025-01,5874.8,5938.0,9
강동구,강동1동,2025-02,5958.8,5974.6,10
강동구,강동1동,2025-03,5644.7,5688.1,12
강동구,강동1동,2025-04,5976.4,5994.0,8
강동구,강동1동,2025-05,5988.1,5894.6,9
강동구,강동1동,2025-06,6319.8,6349.3,13
강동구,강동1동,2025-07,5934.4,5933.2,12
강동구,강동1동,2025-09,6323.5,6222.5,6
강동구,강동1동,2025-10,6067.2,6170.1,5
강동구,강동1동,2025-12,5935.7,5867.0,9
강동구,강동1동,2026-01,6348.1,6476.2,8
강동구,강동1동,2026-02,6019.1,6092.9,11
강동구,강동1동,2026-03,6181.9,6359.8,12
강동구,강동1동,2026-04,6231.5,6226.7,9
강동구,강동1동,2026-05,6316.3,6328.8,6
강동구,강동1동,2026-06,6250.1,6316.0,8
강동구,강동1동,2026-07,5917.5,5980.2,10
강동구,강동1동,2026-08,6177.4,6256.4,8
강동구,강동2동,2024-06,5730.2,5764.8,15
강동구,강동2동,2024-07,5872.5,5919.2,10
강동구,강동2동,2024-08,5663.2,5661.5,10
강동구,강동2동,2024-10,5729.8,5747.2,8
강동구,강동2동,2024-11,5837.9,5855.2,5
강동구,강동2동,2024-12,5863.1,5951.6,13
강동구,강동2동,2025-02,5815.7,5917.5,10
강동구,강동2동,2025-03,5580.0,5541.5,8
강동구,강동2동,2025-04,6166.3,6182.5,11
강동구,강동2동,2025-06,6344.0,6358.3,20
강동구,강동2동,2025-07,5918.5,5912.8,11
강동구,강동2동,2025-08,6026.7,6107.5,3
강동구,강동2동,2025-09,6194.6,6111.0,7
강동구,강동2동,2025-11,5997.7,5918.6,10
강동구,강동2동,2025-12,6295.5,6295.5,1
강동구,강동2동,2026-02,5927.5,5821.2,14
강동구,강동2동,2026-03,6061.1,6020.6,14
강동구,강동2동,2026-04,6083.1,6097.8,11
강동구,강동2동,2026-05,6200.3,6194.0,6
강동구,강동3동,2024-06,5702.5,5736.0,12
강동구,강동3동,2024-07,5834.0,5925.1,7
강동구,강동3동,2024-08,5840.6,5799.9,10
강동구,강동3동,2024-09,5538.5,5574.5,10
강동구,강동3동,2024-10,5748.7,5668.6,8
강동구,강동3동,2024-11,5875.9,5905.1,14
강동구,강동3동,2025-01,5639.0,5651.7,6
강동구,강동3동,2025-02,5874.3,5932.9,14
강동구,강동3동,2025-03,5622.6,5558.2,14
강동구,강동3동,2025-04,6068.8,5989.3,9
강동구,강동3동,2025-05,6115.7,6092.3,9
강동구,강동3동,2025-06,6293.5,6305.6,22
강동구,강동3동,2025-07,5848.0,5880.5,9
강동구,강동3동,2025-09,6173.4,6217.3,7
강동구,강동3동,2025-10,5929.1,6074.0,8
강동구,강동3동,2025-11,5943.9,5923.2,7
강동구,강동3동,2025-12,5989.6,5972.4,11
강동구,강동3동,2026-01,6192.5,6164.8,8
강동구,강동3동,2026-02,6193.3,6143.4,7
강동구,강동3동,2026-03,5993.8,6004.4,8
강동구,강동3동,2026-04,6074.4,6148.6,10
강동구,강동3동,2026-07,6173.5,6251.9,11
강동구,강동3동,2026-08,6217.5,6101.2,8
강동구,강동4동,2024-05,5657.9,5632.2,12
강동구,강동4동,2024-06,5638.2,5655.1,7
강동구,강동4동,2024-08,5790.5,5811.2,11
강동구,강동4동,2024-09,5508.0,5543.2,7
강동구,강동4동,2024-10,5734.9,5805.5,14
