대책,관점,period,긍정,중립,부정,기사수
6·27,기업,before,8.822483102098898,89.14976876556385,2.0277481323372464,2811
6·27,기업,after,7.6120959332638165,88.56447688564477,3.823427181091415,2877
6·27,소비자,before,1.7075773745997866,95.26858769121309,3.023834934187122,2811
6·27,소비자,after,2.5721237400069517,92.94403892944038,4.483837330552659,2877
6·27,시장,before,9.747420846673782,84.09818569903949,6.154393454286731,2811
6·27,시장,after,5.839416058394161,80.67431352102885,13.48627042057699,2877
9·7,기업,before,7.416974169741697,89.96309963099631,2.6199261992619927,2710
9·7,기업,after,8.53352456077447,89.60200788813195,1.8644675510935822,2789
9·7,소비자,before,2.3985239852398523,94.0959409594096,3.505535055350553,2710
9·7,소비자,after,1.936177841520258,96.45034062387953,1.6134815346002152,2789
9·7,시장,before,5.977859778597786,86.56826568265683,7.453874538745388,2710
9·7,시장,after,8.067407673001076,85.26353531731804,6.669057009680889,2789
10·15,기업,before,7.201187824795843,91.23979213066072,1.55902004454343,2694
10·15,기업,after,9.565217391304348,89.3719806763285,1.0628019323671498,1035
10·15,소비자,before,1.4105419450631032,96.7706013363029,1.8188567186340014,2694
10·15,소비자,after,2.318840579710145,90.72463768115942,6.956521739130435,1035
10·15,시장,before,7.386785449146251,83.77876763177431,8.834446919079436,2694
10·15,시장,after,5.700483091787439,80.09661835748793,14.202898550724639,1035
