구,법정동,단지명,계약일자,층,전용면적,거래금액,정책여부
강남구,개포동,개포래미안포레스트,2024-06-24,9,59.92,200000,정책전
강남구,개포동,개포래미안포레스트,2024-06-24,11,59.92,200000,정책전
강남구,개포동,개포래미안포레스트,2024-06-25,14,59.92,200000,정책전
강남구,개포동,개포래미안포레스트,2024-06-25,18,59.92,200000,정책전
강남구,개포동,개포주공6단지,2025-06-27,1,60.13,305000,정책전
강남구,개포동,개포주공6단지,2025-06-27,7,53.06,305000,정책전
강남구,개포동,대치푸르지오발라드,2024-08-20,2,59.9957,164118,정책전
강남구,개포동,대치푸르지오발라드,2024-08-20,2,59.9957,164118,정책전
강남구,개포동,삼익대청아파트,2026-07-04,7,51.12,210000,정책후
강남구,개포동,삼익대청아파트,2026-07-04,14,51.12,210000,정책후
강남구,논현동,동부센트레빌,2025-11-06,9,84.9875,225000,정책후
강남구,논현동,동부센트레빌,2025-11-06,11,84.9875,225000,정책후
강남구,논현동,쌍용,2025-09-20,9,59.91,110500,정책후
강남구,논현동,쌍용,2025-09-20,11,59.91,110500,정책후
강남구,대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",2024-06-26,1,115.59,277000,정책전
강남구,대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",2024-06-26,2,115.59,277000,정책전
강남구,도곡동,도곡더써밋타워,2025-07-24,3,18.34,40600,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,3,18.34,40450,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,4,18.34,40600,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,5,18.34,40450,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,5,18.34,40600,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,7,18.34,41700,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,7,18.34,42150,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,8,18.34,42150,정책후
강남구,도곡동,도곡더써밋타워,2025-07-24,8,18.34,41700,정책후
강남구,도곡동,도곡렉슬,2025-11-08,2,119.8906,425000,정책후
강남구,도곡동,도곡렉슬,2025-11-08,2,119.8906,425000,정책후
강남구,도곡동,럭키(963),2024-07-06,6,84.97,195000,정책전
강남구,도곡동,럭키(963),2024-07-06,6,84.97,195000,정책전
강남구,세곡동,강남엘에이치1단지,2026-06-19,10,59.89,178000,정책후
강남구,세곡동,강남엘에이치1단지,2026-06-19,12,59.89,178000,정책후
강남구,세곡동,세곡푸르지오,2025-02-19,7,84.83,160000,정책전
강남구,세곡동,세곡푸르지오,2025-02-19,14,84.83,160000,정책전
강남구,수서동,까치마을,2025-10-02,10,34.44,120000,정책후
강남구,수서동,까치마을,2025-10-02,12,34.44,120000,정책후
강남구,수서동,까치마을,2025-10-27,2,39.6,140000,정책후
