감정,기사제목,시기,날짜,수치,url,정부,카테고리,정책
슬픔,구로구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2025-09-10,0.596,https://news.example.com/article/1000,박근혜,시장 안정 대책,10·15
행복,금천구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2025-04-09,0.838,https://news.example.com/article/1002,이재명,부동산 세제 개편,8·13
분노,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2024-06-19,0.982,https://news.example.com/article/1004,윤석열,주택 공급 대책,8·13
혐오,성동구 주민들 주택 공급 대책에 엇갈린 반응,초기 반응,2024-12-27,0.518,https://news.example.com/article/1006,윤석열,주택 공급 대책,8·13
중립,구로구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2025-10-29,0.616,https://news.example.com/article/1008,문재인,대출 및 금융 규제,6·27
공포,"윤석열 정부, 주택 공급 대책 발표",초기 반응,2025-05-26,0.528,https://news.example.com/article/1010,윤석열,주택 공급 대책,8·13
중립,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행일,2026-07-01,0.504,https://news.example.com/article/1012,윤석열,주택 공급 대책,6·27
분노,서초구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2025-12-23,0.574,https://news.example.com/article/1014,이재명,대출 및 금융 규제,6·27
분노,시장 안정 대책 이후 중랑구 집값 상승,체감 반응,2024-11-01,0.529,https://news.example.com/article/1016,박근혜,시장 안정 대책,10·15
분노,"이재명 정부, 대출 및 금융 규제 발표",초기 반응,2025-09-08,0.669,https://news.example.com/article/1018,이재명,대출 및 금융 규제,8·13
중립,성북구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2025-08-15,0.723,https://news.example.com/article/1020,윤석열,대출 및 금융 규제,9·7
중립,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2025-04-15,0.535,https://news.example.com/article/1022,이재명,대출 및 금융 규제,9·7
중립,시장 안정 대책 이후 강동구 집값 보합,시행일,2026-05-29,0.926,https://news.example.com/article/1024,윤석열,시장 안정 대책,9·7
공포,서초구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2024-11-27,0.905,https://news.example.com/article/1026,윤석열,부동산 세제 개편,8·13
분노,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2024-11-08,0.876,https://news.example.com/article/1028,박근혜,부동산 세제 개편,10·15
공포,"윤석열 정부, 주택 공급 대책 발표",체감 반응,2025-03-20,0.629,https://news.example.com/article/1030,윤석열,주택 공급 대책,6·27
공포,대출 및 금융 규제 이후 강서구 집값 상승,초기 반응,2024-07-24,0.508,https://news.example.com/article/1032,윤석열,대출 및 금융 규제,8·13
슬픔,부동산 세제 개편 이후 중랑구 집값 상승,초기 반응,2026-05-22,0.65,https://news.example.com/article/1034,이재명,부동산 세제 개편,9·7
혐오,"전문가 ""대출 및 금융 규제, 시장에 미치는 영향은""",시행 전,2026-03-15,0.818,https://news.example.com/article/1036,박근혜,대출 및 금융 규제,10·15
놀람,강동구 주민들 부동산 세제 개편에 엇갈린 반응,시행일,2024-09-30,0.829,https://news.example.com/article/1038,이재명,부동산 세제 개편,6·27
혐오,"박근혜 정부, 대출 및 금융 규제 발표",시행일,2025-11-28,0.949,https://news.example.com/article/1040,박근혜,대출 및 금융 규제,9·7
놀람,"윤석열 정부, 대출 및 금융 규제 발표",시행 전,2025-04-16,0.511,https://news.example.com/article/1042,윤석열,대출 및 금융 규제,9·7
