감정,기사제목,시기,날짜,수치,url,정부,카테고리,정책
슬픔,구로구 주민들 시장 안정 대책에 엇갈린 반응,시행 전,2025-09-10,0.596,https://news.example.com/article/1000,박근혜,시장 안정 대책,10·15
놀람,광진구 주민들 대출 및 금융 규제에 엇갈린 반응,시행일,2025-10-22,0.833,https://news.example.com/article/1001,문재인,대출 및 금융 규제,9·7
행복,금천구 주민들 부동산 세제 개편에 엇갈린 반응,초기 반응,2025-04-09,0.838,https://news.example.com/article/1002,이재명,부동산 세제 개편,8·13
슬픔,"국토부 ""시장 안정 대책 효과 지켜봐야""",시행일,2026-06-01,0.52,https://news.example.com/article/1003,문재인,시장 안정 대책,9·7
분노,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",체감 반응,2024-06-19,0.982,https://news.example.com/article/1004,윤석열,주택 공급 대책,8·13
놀람,"국토부 ""부동산 세제 개편 효과 지켜봐야""",초기 반응,2026-02-01,0.893,https://news.example.com/article/1005,이재명,부동산 세제 개편,8·13
혐오,성동구 주민들 주택 공급 대책에 엇갈린 반응,초기 반응,2024-12-27,0.518,https://news.example.com/article/1006,윤석열,주택 공급 대책,8·13
슬픔,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행 전,2024-08-14,0.548,https://news.example.com/article/1007,박근혜,주택 공급 대책,8·13
중립,구로구 주민들 대출 및 금융 규제에 엇갈린 반응,초기 반응,2025-10-29,0.616,https://news.example.com/article/1008,문재인,대출 및 금융 규제,6·27
행복,"이재명 정부, 주택 공급 대책 발표",시행 전,2024-10-23,0.616,https://news.example.com/article/1009,이재명,주택 공급 대책,10·15
공포,"윤석열 정부, 주택 공급 대책 발표",초기 반응,2025-05-26,0.528,https://news.example.com/article/1010,윤석열,주택 공급 대책,8·13
슬픔,"전문가 ""주택 공급 대책, 시장에 미치는 영향은""",시행 전,2024-05-25,0.765,https://news.example.com/article/1011,문재인,주택 공급 대책,10·15
중립,"국토부 ""주택 공급 대책 효과 지켜봐야""",시행일,2026-07-01,0.504,https://news.example.com/article/1012,윤석열,주택 공급 대책,6·27
혐오,강남구 주민들 시장 안정 대책에 엇갈린 반응,체감 반응,2024-07-04,0.642,https://news.example.com/article/1013,윤석열,시장 안정 대책,8·13
분노,서초구 주민들 대출 및 금융 규제에 엇갈린 반응,시행 전,2025-12-23,0.574,https://news.example.com/article/1014,이재명,대출 및 금융 규제,6·27
