구,법정동,단지명,전용면적(㎡),계약일자,층,거래금액,동,매수자,매도자,도로명,거래유형,등기일자,정책여부
강남구,개포동,성원대치2단지아파트,49.86,2025-02-22,11,148000,,개인,개인,개포로109길 9,중개거래,,정책전
강남구,개포동,성원대치2단지아파트,49.86,2025-03-22,10,160000,,개인,개인,개포로109길 9,중개거래,,정책전
강남구,개포동,우성8,79.61,2025-01-18,8,229000,,개인,개인,개포로 411,중개거래,,정책전
강남구,개포동,현대2,131.83,2024-05-08,4,305000,,개인,개인,언주로 107,중개거래,,정책전
강남구,대치동,대치하나빌,197.14,2026-05-21,1,245000,,개인,개인,삼성로57길 37-5,중개거래,,정책후
강남구,대치동,은마,76.79,2024-11-26,5,272500,,개인,개인,삼성로 212,중개거래,,정책전
강남구,대치동,한보미도맨션1,128.01,2024-10-31,10,420000,,개인,개인,삼성로 150,중개거래,,정책전
강남구,도곡동,도곡렉슬,84.9231,2024-07-14,15,310000,,개인,개인,선릉로 221,중개거래,,정책전
강남구,도곡동,타워팰리스1,174.67,2024-12-03,25,550000,,개인,개인,언주로30길 56,중개거래,,정책전
강남구,도곡동,하이페리온,184.31,2024-06-27,9,245500,,개인,개인,도곡로4길 31,중개거래,,정책전
강남구,도곡동,한신엠비씨,84.74,2024-06-29,15,183000,,개인,개인,논현로 205,중개거래,,정책전
강남구,삼성동,래미안라클래시,71.95,2025-02-15,4,316000,,개인,개인,삼성로 651,중개거래,,정책전
강남구,수서동,강남데시앙포레,84.96,2025-06-03,4,177500,,개인,개인,광평로34길 55,중개거래,,정책전
강남구,수서동,삼성,84.97,2026-05-21,1,230000,,개인,개인,광평로31길 27,중개거래,,정책후
강남구,압구정동,한양8(81동한개동),195.26,2025-04-14,2,820000,,개인,개인,압구정로 403,중개거래,,정책전
강남구,압구정동,"현대5차(71,72동)",82.23,2024-10-12,6,470000,,개인,개인,압구정로29길 68,중개거래,,정책전
강남구,역삼동,동부센트레빌,59.97,2025-02-18,18,199800,,개인,개인,선릉로 423,중개거래,,정책전
강남구,역삼동,역삼자이,114.5958,2024-08-15,16,320000,,개인,개인,언주로 420,중개거래,,정책전
강남구,일원동,목련타운,134.71,2025-03-01,3,279000,,개인,개인,광평로19길 15,중개거래,,정책전
강남구,일원동,샘터마을,101.97,2024-07-05,11,221000,,개인,개인,일원로 120,중개거래,,정책전
강남구,청담동,청담동삼성1차(101동),84.3,2025-03-04,6,190000,,개인,개인,삼성로133길 20,중개거래,,정책전
강남구,청담동,청담스위트,13.425,2024-05-29,8,22900,,개인,개인,학동로73길 13,중개거래,,정책전
강동구,고덕동,고덕그라시움,73.566,2024-06-04,9,148000,,개인,개인,고덕로 333,중개거래,,정책전
강동구,고덕동,고덕풍경채어바니티,84.1,2025-09-27,11,165000,,개인,개인,아리수로 375,중개거래,,정책후
강동구,고덕동,대우,96.0,2024-06-11,3,91000,,개인,개인,양재대로 1716,중개거래,,정책전
강동구,고덕동,래미안힐스테이트고덕,84.83,2025-10-02,29,203000,,개인,개인,아리수로50길 50,중개거래,,정책후
강동구,고덕동,배재현대,84.9,2024-05-24,2,103000,,개인,개인,고덕로61길 37,중개거래,,정책전
강동구,길동,강동LG자이,84.88,2025-10-02,13,140000,,개인,개인,천호대로 1239,중개거래,,정책후
강동구,둔촌동,신동아파밀리에,58.87,2024-05-11,22,83500,,개인,개인,양재대로96길 79,중개거래,,정책전
강동구,명일동,래미안솔베뉴,78.07,2024-06-18,3,145000,,개인,개인,양재대로 1650,중개거래,,정책전
강동구,상일동,고덕아르테온,84.97,2024-06-23,7,164000,,개인,개인,고덕로 360,중개거래,,정책전
강동구,상일동,고덕아르테온,59.98,2025-03-15,5,145500,,개인,개인,고덕로 360,중개거래,,정책전
강동구,상일동,고덕아르테온,84.97,2025-08-30,11,184500,,개인,개인,고덕로 360,중개거래,,정책후
강동구,성내동,성안마을청구,59.93,2025-10-13,1,83500,,개인,개인,풍성로 114-1,중개거래,,정책후
강동구,암사동,롯데캐슬퍼스트,84.81,2024-08-17,5,145000,,개인,개인,고덕로 131,중개거래,,정책전
강동구,암사동,한강포스파크,80.65,2025-09-22,11,110000,,개인,개인,고덕로19길 30,중개거래,,정책후
강동구,천호동,강동역신동아파밀리에,101.25,2025-06-09,7,120000,,개인,개인,천호대로 1089,중개거래,,정책전
강동구,천호동,래미안강동팰리스,59.98,2024-06-14,37,120000,,개인,개인,천호대로 1077,중개거래,,정책전
강동구,천호동,우성,84.93,2024-08-08,9,86000,,개인,개인,구천면로 366,중개거래,,정책전
강서구,가양동,가양6단지,58.65,2024-08-26,6,83800,,개인,개인,허준로 175,중개거래,,정책전
강서구,방화동,강서센트레빌3차,84.4,2024-08-10,4,94500,,개인,개인,방화대로41길 6,중개거래,,정책전
강서구,방화동,현대,84.99,2025-10-11,14,75500,,개인,개인,방화대로37길 26,중개거래,,정책후
강서구,염창동,동아,114.84,2024-07-03,12,109500,,개인,개인,양천로69길 58,중개거래,,정책전
강서구,염창동,동아3,84.87,2025-07-06,7,104500,,개인,개인,양천로 731,중개거래,,정책후
강서구,염창동,삼성한마음,84.87,2025-04-27,13,89900,,개인,개인,양천로 637,중개거래,,정책전
강서구,화곡동,메종드로제,57.3,2025-01-02,10,41700,,개인,개인,곰달래로18길 33-21,중개거래,,정책전
관악구,봉천동,벽산블루밍,114.99,2026-02-05,24,106000,,개인,개인,은천로 93,중개거래,,정책후
관악구,신림동,힐스테이트뉴포레,59.9986,2026-03-18,16,139000,,개인,개인,조원로 25,중개거래,,정책후
광진구,광장동,금호베스트빌,59.93,2025-01-24,13,99800,,개인,개인,광나루로 579,중개거래,,정책전
광진구,광장동,청구,84.86,2025-01-25,17,135500,,개인,개인,아차산로 503-23,중개거래,,정책전
광진구,화양동,화양현대,59.99,2025-09-13,16,91500,,개인,개인,동일로24길 5,중개거래,,정책후
구로구,개봉동,한마을,123.46,2025-07-02,21,98500,,개인,개인,경인로 382,중개거래,,정책후
구로구,구로동,신성미소지움,71.04,2025-04-07,13,58000,,개인,개인,시흥대로161길 50,중개거래,,정책전
구로구,신도림동,동아3,164.82,2025-06-17,24,161000,,개인,개인,신도림로 78,중개거래,,정책전
구로구,신도림동,신도림팰러티움,84.62,2025-09-19,21,80000,,개인,개인,경인로 584,중개거래,,정책후
노원구,상계동,보람아파트,68.99,2025-10-14,14,61000,,개인,개인,한글비석로 480,중개거래,,정책후
노원구,상계동,은빛1단지,59.95,2026-01-21,7,50000,,개인,개인,동일로245길 162,중개거래,,정책후
노원구,월계동,녹천역두산위브아파트,84.9343,2024-06-24,1,69000,,개인,개인,마들로5길 25,중개거래,,정책전
노원구,중계동,중계무지개,39.96,2024-07-10,4,38000,,개인,개인,동일로208길 20,중개거래,,정책전
