구,법정동,계약년월,평균평단가,중위평단가,거래건수
강남구,개포동,2024-05,9904.4,9962.6,43
강남구,개포동,2024-06,10340.4,10615.7,106
강남구,개포동,2024-07,10414.5,10710.5,89
강남구,개포동,2024-08,10606.3,10925.3,67
강남구,개포동,2024-09,10126.5,9335.7,37
강남구,개포동,2024-10,10950.2,11364.1,47
강남구,개포동,2024-11,10881.5,10286.2,30
강남구,개포동,2024-12,10544.7,10232.0,17
강남구,개포동,2025-01,11309.0,11270.3,33
강남구,개포동,2025-02,11573.0,11496.1,103
강남구,개포동,2025-03,11556.0,11293.5,124
강남구,개포동,2025-04,11428.3,11908.4,8
강남구,개포동,2025-05,12537.0,12353.4,51
강남구,개포동,2025-06,13160.1,13212.6,105
강남구,개포동,2025-07,13542.8,13169.0,46
강남구,개포동,2025-08,11489.6,12051.4,16
강남구,개포동,2025-09,13762.6,13380.4,41
강남구,개포동,2025-10,12857.1,13194.0,32
강남구,개포동,2025-11,14657.2,14944.8,35
강남구,개포동,2025-12,13995.3,15050.5,21
강남구,개포동,2026-01,14185.5,15608.1,30
강남구,개포동,2026-02,15204.7,16020.0,18
강남구,개포동,2026-03,14118.4,14998.9,18
강남구,개포동,2026-04,13709.2,14541.9,70
강남구,개포동,2026-05,13066.2,13525.5,78
강남구,개포동,2026-06,13080.8,13492.4,44
강남구,개포동,2026-07,13910.4,13580.2,20
강남구,개포동,2026-08,15948.1,15948.1,2
강남구,논현동,2024-05,6848.9,7158.6,4
강남구,논현동,2024-06,5581.2,5293.2,15
강남구,논현동,2024-07,6988.1,7313.7,27
강남구,논현동,2024-08,7298.7,8127.7,16
강남구,논현동,2024-09,6832.2,7507.6,8
강남구,논현동,2024-10,6446.7,6212.1,13
강남구,논현동,2024-11,6885.0,7575.9,6
강남구,논현동,2024-12,7239.2,7734.8,11
강남구,논현동,2025-01,6415.1,6759.6,8
강남구,논현동,2025-02,7228.0,7785.7,15
강남구,논현동,2025-03,7280.1,7562.9,38
강남구,논현동,2025-04,7073.8,7118.2,3
강남구,논현동,2025-05,6988.8,7304.2,8
강남구,논현동,2025-06,7443.4,7413.8,25
강남구,논현동,2025-07,8091.5,8563.5,23
강남구,논현동,2025-08,6963.8,7769.8,8
강남구,논현동,2025-09,6602.1,6097.3,17
강남구,논현동,2025-10,7579.2,8182.4,10
강남구,논현동,2025-11,7472.7,7223.2,20
강남구,논현동,2025-12,6924.3,6228.5,19
강남구,논현동,2026-01,7056.4,7111.3,14
강남구,논현동,2026-02,6853.7,6706.7,10
강남구,논현동,2026-03,8044.1,7938.2,13
강남구,논현동,2026-04,7739.1,7618.5,19
강남구,논현동,2026-05,7166.4,6978.5,14
강남구,논현동,2026-06,6039.1,5422.5,17
강남구,논현동,2026-07,9497.4,11472.7,11
강남구,논현동,2026-08,4952.0,4952.0,1
강남구,대치동,2024-05,9902.4,9961.2,36
강남구,대치동,2024-06,9977.7,9621.6,47
강남구,대치동,2024-07,9869.5,10422.1,60
강남구,대치동,2024-08,9864.2,10071.6,55
강남구,대치동,2024-09,10188.2,10547.2,43
강남구,대치동,2024-10,11075.5,11085.8,38
강남구,대치동,2024-11,11542.9,11550.5,31
강남구,대치동,2024-12,11181.2,11566.5,26
강남구,대치동,2025-01,10864.4,11503.2,25
강남구,대치동,2025-02,10993.4,11241.8,63
강남구,대치동,2025-03,11337.7,11451.9,118
강남구,대치동,2025-04,11264.3,12240.1,18
강남구,대치동,2025-05,12203.0,12919.9,35
강남구,대치동,2025-06,12772.6,13022.2,66
강남구,대치동,2025-07,12802.9,13518.4,30
강남구,대치동,2025-08,10344.6,11947.5,14
강남구,대치동,2025-09,12976.7,14236.3,22
강남구,대치동,2025-10,12706.9,12956.6,28
강남구,대치동,2025-11,11863.9,12734.2,27
강남구,대치동,2025-12,10716.8,13408.9,18
강남구,대치동,2026-01,11455.8,12267.9,18
강남구,대치동,2026-02,10782.5,12693.4,13
강남구,대치동,2026-03,12476.7,13758.2,22
강남구,대치동,2026-04,11236.0,12434.6,67
강남구,대치동,2026-05,12293.1,13147.4,44
강남구,대치동,2026-06,11724.8,12842.1,27
강남구,대치동,2026-07,12557.7,13834.9,12
강남구,대치동,2026-08,9797.6,9797.6,2
강남구,도곡동,2024-05,8400.8,8315.1,47
강남구,도곡동,2024-06,8900.6,9228.0,65
강남구,도곡동,2024-07,8316.0,7782.3,91
강남구,도곡동,2024-08,8442.4,8390.4,63
강남구,도곡동,2024-09,8959.9,9788.6,27
강남구,도곡동,2024-10,7698.7,7444.0,40
강남구,도곡동,2024-11,8737.3,8650.7,32
강남구,도곡동,2024-12,8315.4,8748.4,33
강남구,도곡동,2025-01,8926.8,9216.7,29
강남구,도곡동,2025-02,9547.4,9238.1,75
강남구,도곡동,2025-03,9622.6,9271.5,126
강남구,도곡동,2025-04,9447.2,9956.1,10
강남구,도곡동,2025-05,8320.3,8623.7,40
강남구,도곡동,2025-06,9113.9,9378.2,59
강남구,도곡동,2025-07,9081.6,8063.3,40
강남구,도곡동,2025-08,9015.1,7784.8,15
