NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202505,7,"108,000",209,12,개인,개인,1992,개포로109길 9,,중개거래,서울 강남구,25.07.18
2,서울특별시 강남구 도곡동,967,967,0,경남,59.76,202505,7,"183,000",,18,개인,개인,2005,논현로 209,20250605.0,중개거래,서울 강남구,
3,서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202505,7,"258,000",,10,개인,개인,2020,개포로 264,20250509.0,중개거래,서울 강남구,
4,서울특별시 강남구 일원동,734,734,0,상록수,84.95,202505,7,"264,000",203,4,개인,개인,1993,광평로10길 15,,중개거래,서울 강남구,25.07.24
5,서울특별시 강남구 도곡동,967,967,0,경남,59.76,202505,7,"183,000",104,18,개인,개인,2005,논현로 209,,중개거래,서울 강남구,25.06.27
6,서울특별시 강남구 도곡동,467-6,467,6,대림아크로빌,177.255,202505,7,"329,000",에이,9,개인,개인,1999,언주로30길 13,,중개거래,서울 강남구,25.08.25
7,서울특별시 강남구 도곡동,467,467,0,타워팰리스1,244.66,202505,7,"820,000",씨,50,개인,개인,2002,언주로30길 56,,중개거래,서울 강남구,25.08.25
8,서울특별시 강남구 삼성동,16-2,16,2,삼성동힐스테이트 1단지,84.503,202505,7,"319,000",1단지 102,9,개인,개인,2008,학동로68길 29,,중개거래,서울 강남구,25.07.25
9,서울특별시 강남구 청담동,134-38,134,38,청담자이,49.639,202505,7,"270,000",,35,개인,개인,2011,영동대로138길 12,20250527.0,중개거래,"서울 강남구, 서울 동대문구",
10,서울특별시 강남구 청담동,134-38,134,38,청담자이,49.639,202505,7,"270,000",102,35,개인,개인,2011,영동대로138길 12,,중개거래,"서울 강남구, 서울 동대문구",25.05.29
11,서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202505,7,"258,000",,10,개인,개인,2020,개포로 264,20250616.0,중개거래,서울 강남구,
12,서울특별시 강남구 압구정동,397,397,0,미성2차,118.63,202505,6,"529,000",25,10,개인,개인,1987,압구정로 113,,중개거래,서울 강남구,25.07.31
13,서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.888,202505,6,"250,000",223,3,개인,개인,2019,선릉로 8,,중개거래,서울 강남구,25.07.30
14,서울특별시 강남구 역삼동,735-15,735,15,이스턴오피스텔,14.78,202505,5,"18,000",역삼동 업무시설 및 도시형생활주택,14,개인,개인,2014,테헤란로14길 13,,중개거래,서울 강남구,25.10.20
15,서울특별시 강남구 역삼동,754-1,754,1,역삼푸르지오,59.8848,202505,5,"255,000",111,6,개인,개인,2006,언주로 332,,중개거래,서울 강남구,25.07.25
16,서울특별시 강남구 개포동,649,649,0,경남1,123.28,202505,5,"325,000",2,3,개인,개인,1984,언주로 110,,중개거래,서울 강남구,25.08.25
17,서울특별시 강남구 대치동,670,670,0,동부센트레빌,121.74,202505,4,"493,000",102,12,개인,개인,2005,선릉로 206,,중개거래,서울 강남구,25.07.25
