NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202606,28,"161,500",,12,개인,개인,1993,광평로19길 10,,중개거래,서울 강남구,
2,서울특별시 강남구 일원동,719,719,0,푸른마을아파트101동~111동,59.76,202606,27,"230,000",,11,개인,개인,1994,일원로14길 25,,중개거래,"서울 강남구, 서울 송파구",
3,서울특별시 강남구 수서동,746,746,0,까치마을,39.6,202606,27,"158,000",1002,1,개인,개인,1993,광평로19길 10,,중개거래,서울 강남구,26.08.04
4,서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9772,202606,27,"269,000",,22,개인,개인,2006,선릉로 221,,중개거래,서울 강남구,
5,서울특별시 강남구 논현동,22,22,0,신동아(22),35.73,202606,27,"133,000",,2,개인,개인,1997,강남대로146길 28,,중개거래,서울 강남구,
6,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202606,27,"159,500",,11,개인,개인,1992,개포로109길 9,,중개거래,"서울 강남구, 서울 서초구",
7,서울특별시 강남구 일원동,615-1,615,1,개포한신,82.3,202606,27,"290,000",,4,개인,개인,1984,개포로110길 43,,중개거래,서울 강남구,
8,서울특별시 강남구 도곡동,467-7,467,7,아카데미스위트1,122.07,202606,27,"277,000",,10,개인,개인,2004,언주로30길 21,,중개거래,서울 강남구,
9,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202606,27,"177,500",,5,개인,개인,1992,개포로109길 21,,중개거래,"서울 강남구, 서울 서초구",
10,서울특별시 강남구 도곡동,464,464,0,한신(개포),52.73,202606,27,"320,000",,6,개인,개인,1985,언주로 123,,중개거래,서울 강남구,
11,서울특별시 강남구 도곡동,527,527,0,도곡렉슬,59.9818,202606,27,"290,000",,14,개인,개인,2006,선릉로 221,,중개거래,서울 강남구,
12,서울특별시 강남구 자곡동,618,618,0,(토지임대부아파트)강남브리즈힐,74.44,202606,27,"130,000",,6,개인,개인,2014,자곡로3길 45,,중개거래,서울 강남구,
13,서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,132.8355,202606,27,"380,000",,21,개인,개인,2006,역삼로 314,,중개거래,서울 강남구,
14,서울특별시 강남구 역삼동,755-1,755,1,개나리푸르지오,59.6851,202606,27,"290,000",,11,개인,개인,2006,역삼로 314,,중개거래,서울 강남구,
15,서울특별시 강남구 역삼동,727-11,727,11,프리마빌,92.35,202606,26,"105,000",,1,개인,개인,2003,역삼로25길 17,,중개거래,서울 강남구,
16,서울특별시 강남구 개포동,1284,1284,0,개포자이프레지던스,49.9528,202606,26,"274,000",,5,개인,개인,2023,삼성로 14,,중개거래,서울 강남구,
17,서울특별시 강남구 대치동,894,894,0,현대썬앤빌테헤란,36.12,202606,26,"49,200",,6,개인,개인,2016,삼성로85길 33,,중개거래,서울 강남구,
18,서울특별시 강남구 삼성동,188,188,0,삼성동센트럴아이파크,84.95,202606,26,"388,000",,19,개인,개인,2018,삼성로 629,,중개거래,서울 강남구,
19,서울특별시 강남구 대치동,500,500,0,개포우성2,127.78,202606,26,"500,000",,5,개인,개인,1984,선릉로 120,,중개거래,서울 강남구,
20,서울특별시 강남구 세곡동,579,579,0,강남엘에이치1단지,74.74,202606,25,"192,000",,14,개인,개인,2013,헌릉로571길 20,,중개거래,서울 강남구,
21,서울특별시 강남구 수서동,736,736,0,신동아,33.18,202606,25,"159,500",,7,개인,개인,1992,광평로47길 17,,중개거래,서울 송파구,
22,서울특별시 강남구 대치동,66,66,0,"쌍용대치아파트1동,2동,3동,5동,6동",148.8,202606,25,"470,000",,14,개인,개인,1983,영동대로 210,,중개거래,서울 강남구,
23,서울특별시 강남구 개포동,1284,1284,0,개포자이프레지던스,45.8769,202606,25,"248,000",,5,개인,개인,2023,삼성로 14,,중개거래,서울 강남구,
24,서울특별시 강남구 개포동,1284,1284,0,개포자이프레지던스,84.5978,202606,25,"401,000",,23,개인,개인,2023,삼성로 14,,중개거래,서울 강남구,
25,서울특별시 강남구 대치동,500,500,0,개포우성2,159.6,202606,24,"620,000",,6,개인,개인,1984,선릉로 120,,중개거래,서울 강남구,
26,서울특별시 강남구 청담동,110-11,110,11,청담대우멤버스카운티12차,141.88,202606,24,"270,000",,4,개인,개인,2004,도산대로99길 30,,중개거래,서울 강남구,
27,서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,101.94,202606,24,"230,000",,11,개인,개인,2014,자곡로 101,,중개거래,서울 강남구,
28,서울특별시 강남구 역삼동,706-20,706,20,한화진넥스빌,39.2,202606,24,"34,500",,19,개인,개인,2001,언주로86길 11,,중개거래,서울 강남구,26.08.11
29,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202606,24,"160,000",214,12,개인,개인,1992,개포로109길 9,,중개거래,서울 강남구,26.07.29
30,서울특별시 강남구 대치동,500,500,0,개포우성2,159.6,202606,24,"610,000",14,8,개인,개인,1984,선릉로 120,,중개거래,서울 강남구,26.07.09
31,서울특별시 강남구 자곡동,611,611,0,래미안강남힐즈,101.94,202606,24,"230,000",,11,개인,개인,2014,자곡로 101,20260714.0,중개거래,서울 강남구,
32,서울특별시 강남구 대치동,910-6,910,6,풍림아이원2차202동,156.21,202606,23,"255,000",,7,개인,개인,2003,역삼로74길 8,,중개거래,서울 강남구,
33,서울특별시 강남구 대치동,316,316,0,은마,76.79,202606,23,"337,000",,2,개인,개인,1979,삼성로 212,20260810.0,중개거래,서울 강남구,
34,서울특별시 강남구 대치동,506,506,0,선경1차(1동-7동),136.68,202606,23,"507,000",,8,개인,개인,1983,삼성로 151,,중개거래,서울 강남구,
35,서울특별시 강남구 청담동,10,10,0,삼환(101동),84.88,202606,23,"215,000",,1,개인,개인,1999,학동로77길 49,,중개거래,서울 강남구,
36,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,30.03,202606,23,"30,500",,18,개인,개인,2002,언주로 427,,중개거래,서울 강남구,
37,서울특별시 강남구 삼성동,122-7,122,7,영무예다음,115.88,202606,23,"180,000",,3,개인,개인,2006,봉은사로72길 33,,중개거래,서울 강남구,
38,서울특별시 강남구 대치동,1031,1031,0,대치더클래스,84.22,202606,22,"235,000",,4,개인,개인,2022,삼성로51길 10-14,,중개거래,서울 강남구,
39,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202606,22,"207,000",,8,개인,개인,1992,개포로109길 21,,중개거래,서울 강남구,
40,서울특별시 강남구 삼성동,106,106,0,풍림(1차),84.78,202606,22,"285,000",,3,개인,개인,1998,영동대로112길 15,,중개거래,서울 강남구,
41,서울특별시 강남구 도곡동,934-10,934,10,도곡우성아파트,84.83,202606,22,"270,000",,14,개인,개인,1986,남부순환로363길 49,,중개거래,서울 강남구,
42,서울특별시 강남구 신사동,659,659,0,압구정대원칸타빌아파트,59.73,202606,22,"165,000",101,8,개인,개인,2001,압구정로48길 15,,중개거래,서울 강남구,26.08.07
43,서울특별시 강남구 도곡동,957-11,957,11,도곡스타클래스,111.38,202606,22,"177,000",,12,개인,개인,2007,남부순환로 2615,,중개거래,서울 강남구,
44,서울특별시 강남구 역삼동,678-27,678,27,이지마루역삼,26.5,202606,22,"39,500",1,7,개인,개인,2018,테헤란로27길 8-14,,중개거래,서울 강남구,26.07.16
45,서울특별시 강남구 역삼동,720-25,720,25,대우디오빌,59.505,202606,22,"92,000",,21,개인,개인,2002,언주로 427,,중개거래,서울 강남구,26.07.24
46,서울특별시 강남구 대치동,1030,1030,0,대치르엘,59.9972,202606,22,"280,000",,4,개인,개인,2021,도곡로93길 23,,직거래,,
