NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202505,7,"13,400",수유역푸르지오시티,7,개인,개인,2014,도봉로 290,,중개거래,서울 강북구,25.05.21
2,서울특별시 강북구 미아동,1352,1352,0,미아신구,84.9,202505,3,"52,000",,1,개인,개인,2000,오패산로60길 17-7,20250627.0,중개거래,서울 강북구,
3,서울특별시 강북구 미아동,1369,1369,0,꿈의숲해링턴플레이스,84.67,202505,3,"90,000",112,6,개인,개인,2019,오현로 45,,중개거래,"서울 강북구, 서울 성북구",25.06.27
4,서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202505,2,"70,800",120,6,개인,개인,2003,삼양로19길 113,,중개거래,서울 강북구,25.06.20
5,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.15,202505,2,"89,500",211,21,개인,개인,2010,삼양로27길 19,,중개거래,서울 강북구,25.06.30
6,서울특별시 강북구 미아동,461,461,0,송천센트레빌,84.867,202505,2,"100,800",204,3,개인,개인,2010,숭인로 39,,중개거래,서울 강북구,25.07.25
7,서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.82,202505,1,"70,900",211,1,개인,개인,2011,삼양로27길 95,,중개거래,"서울 강북구, 서울 성북구",25.07.30
8,서울특별시 강북구 수유동,738,738,0,한원힐트리움수유,27.39,202505,1,"25,000",,5,개인,개인,2020,노해로 104,,중개거래,서울 강북구,25.06.27
9,서울특별시 강북구 미아동,189-30,189,30,헤리움,35.86,202505,1,"43,500",,6,개인,개인,2024,덕릉로28길 54,,직거래,,25.10.24
10,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.38,202505,1,"74,500",202,6,개인,개인,2010,삼양로27길 19,,중개거래,서울 강북구,25.06.18
11,서울특별시 강북구 수유동,48-8,48,8,수유프리미어엠,19.0,202505,1,"11,500",,4,개인,개인,2016,덕릉로 76,,중개거래,서울 강북구,25.05.02
