NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,84.98,202606,27,"104,000",,5,개인,개인,2017,오현로 56,,중개거래,서울 강북구,
2,서울특별시 강북구 수유동,50-75,50,75,대림(수유),78.35,202606,27,"48,000",,9,개인,개인,1994,도봉로71가길 11,,중개거래,서울 강북구,
3,서울특별시 강북구 미아동,1369,1369,0,꿈의숲해링턴플레이스,84.67,202606,27,"106,000",,1,개인,개인,2019,오현로 45,,중개거래,서울 강북구,
4,서울특별시 강북구 번동,139,139,0,해모로아파트,127.25,202606,27,"70,000",,4,개인,개인,2003,오현로 156,,중개거래,서울 강북구,
5,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202606,27,"76,800",,10,개인,개인,2004,솔샘로 174,,중개거래,서울 강북구,
6,서울특별시 강북구 수유동,130-43,130,43,JKapartment,49.56,202606,26,"34,000",,3,개인,개인,2020,수유로17나길 15,,중개거래,서울 강북구,26.07.02
7,서울특별시 강북구 번동,139,139,0,해모로아파트,127.25,202606,26,"78,000",,8,개인,개인,2003,오현로 156,,중개거래,서울 강북구,
8,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202606,26,"93,000",,5,개인,개인,2010,삼양로27길 19,,중개거래,"서울 강북구, 서울 송파구",
9,서울특별시 강북구 번동,138,138,0,한솔솔파크,84.88,202606,26,"69,200",,13,개인,개인,2005,오현로 180,,중개거래,서울 강북구,
10,서울특별시 강북구 미아동,1371,1371,0,꿈의숲한신더휴,84.9085,202606,26,"85,500",,2,개인,개인,2022,오패산로 202,,중개거래,서울 강북구,
11,서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,202606,25,"100,000",,10,개인,개인,2011,삼양로27길 80,,중개거래,서울 강북구,
12,서울특별시 강북구 번동,204,204,0,신원,84.6,202606,25,"58,000",,19,개인,개인,2000,월계로37길 87-9,,중개거래,서울 강북구,
13,서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202606,25,"12,000",수유역푸르지오시티,7,개인,개인,2014,도봉로 290,,중개거래,서울 강북구,26.08.05
14,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,113.89,202606,25,"124,000",,8,개인,개인,2010,삼양로27길 19,,중개거래,서울 강북구,
15,서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202606,25,"66,500",,18,개인,개인,2004,솔샘로 159,,중개거래,서울 강북구,
