NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 관악구 봉천동,1702,1702,0,그린,56.24,202505,7,"38,000",,6,개인,개인,1999,봉천로23다길 13,,중개거래,서울 관악구,25.07.23
2,서울특별시 관악구 남현동,602-189,602,189,성원나이스,95.14,202505,7,"68,000",,4,개인,개인,2002,승방3가길 22,,중개거래,서울 관악구,25.07.17
3,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,84.99,202505,7,"85,200",208,19,개인,개인,2005,은천로 93,,중개거래,서울 관악구,25.06.27
4,서울특별시 관악구 신림동,1698,1698,0,태흥,59.86,202505,7,"40,000",,18,개인,개인,1995,호암로 541,,중개거래,서울 관악구,25.05.29
5,서울특별시 관악구 신림동,1563-2,1563,2,태양,48.99,202505,7,"20,500",,2,개인,개인,2000,미성길 59,,중개거래,서울 관악구,25.07.07
6,서울특별시 관악구 봉천동,875-1,875,1,관악캠퍼스타워,40.56,202505,7,"28,000",,17,개인,개인,1998,남부순환로 1802,,중개거래,서울 관악구,25.08.04
7,서울특별시 관악구 남현동,1058-7,1058,7,현대이즈빌,69.41,202505,6,"63,500",,2,개인,개인,2002,남현1길 9,,중개거래,서울 서초구,25.08.25
8,서울특별시 관악구 봉천동,1730,1730,0,e편한세상서울대입구1단지,59.9,202505,6,"112,500",103,13,개인,개인,2019,청룡10길 45,,중개거래,서울 관악구,25.07.29
9,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202505,6,"91,000",210,9,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.08.13
10,서울특별시 관악구 신림동,1722,1722,0,신림동신도브래뉴,84.95,202505,6,"80,500",신림동 신도 브래뉴아파트 103동,13,개인,개인,2003,조원로16길 7,,중개거래,서울 관악구,25.06.05
11,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),59.83,202505,5,"84,000",124,22,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.09.04
12,서울특별시 관악구 봉천동,1712,1712,0,관악드림(삼성),59.83,202505,5,"55,000",132,10,개인,개인,2003,성현로 80,,직거래,,25.05.28
13,서울특별시 관악구 신림동,1730,1730,0,신림푸르지오,138.64,202505,5,"100,000",102,9,개인,개인,2005,남부순환로 1430,,중개거래,"서울 관악구, 서울 금천구",25.06.09
14,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,59.99,202505,5,"78,600",101,20,개인,개인,2005,은천로 93,,중개거래,서울 관악구,25.07.15
15,서울특별시 관악구 봉천동,1706,1706,0,봉천우성,59.76,202505,5,"73,500",107,5,개인,개인,2000,관악로30길 12,,중개거래,서울 관악구,25.09.04
16,서울특별시 관악구 신림동,1746,1746,0,힐스테이트뉴포레,59.9882,202505,4,"110,000",103,14,개인,개인,2022,조원로 25,,중개거래,서울 관악구,25.09.15
17,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,59.99,202505,4,"78,200",101,11,개인,개인,2005,은천로 93,,중개거래,서울 관악구,25.08.08
18,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,84.99,202505,3,"84,700",108,7,개인,개인,2005,은천로 93,,중개거래,서울 관악구,25.06.11
19,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),60.0,202505,3,"83,500",105,19,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.06.18
20,서울특별시 관악구 봉천동,1560-61,1560,61,서울대입구아이원(1560-61),59.96,202505,3,"80,000",104,14,개인,개인,2006,청룡길 78,,직거래,,25.05.14
21,서울특별시 관악구 남현동,602-163,602,163,동송하이클래스,76.54,202505,3,"56,300",,1,개인,개인,2003,승방3가길 31,,중개거래,서울 관악구,25.07.10
22,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202505,3,"87,000",105,14,개인,개인,1996,보라매로 62,,중개거래,서울 동작구,25.08.12
23,서울특별시 관악구 봉천동,1703,1703,0,봉천동아,84.87,202505,3,"86,500",107,2,개인,개인,2000,관악로 285,,중개거래,서울 관악구,25.09.01
24,서울특별시 관악구 남현동,1135,1135,0,우림루미아트,84.51,202505,3,"102,000",104,9,개인,개인,2004,남현길 91,,중개거래,"서울 관악구, 서울 서초구",25.05.29
25,서울특별시 관악구 신림동,1735,1735,0,관악산휴먼시아2단지,59.96,202505,3,"58,250",216,16,개인,개인,2008,난곡로 55,,중개거래,서울 관악구,25.08.29
26,서울특별시 관악구 신림동,1735-1,1735,1,관악산휴먼시아1단지,84.97,202505,3,"71,000",105,20,개인,개인,2008,난곡로 30,,중개거래,서울 관악구,25.07.31
27,서울특별시 관악구 봉천동,1727,1727,0,관악유앤아이,84.866,202505,3,"85,300",1,4,개인,개인,2009,은천로 137,,중개거래,"서울 관악구, 서울 동작구",25.08.29
28,서울특별시 관악구 봉천동,1719,1719,0,관악동부센트레빌,59.75,202505,3,"84,800",106,9,개인,개인,2004,은천로33길 5,,중개거래,서울 관악구,25.10.14
29,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),60.0,202505,3,"83,500",,19,개인,개인,2003,성현로 80,20250616.0,중개거래,서울 관악구,
30,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202505,2,"93,500",104,7,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.07.14
31,서울특별시 관악구 봉천동,1730-1,1730,1,e편한세상서울대입구2단지,84.93,202505,2,"118,000",203,9,개인,개인,2019,청룡16길 43,,중개거래,서울 관악구,25.07.23
32,서울특별시 관악구 신림동,1736,1736,0,신림2차푸르지오,84.8098,202505,1,"69,500",108,5,개인,개인,2007,난곡로 66,,중개거래,서울 관악구,25.06.26
33,서울특별시 관악구 봉천동,1730,1730,0,e편한세상서울대입구1단지,84.97,202505,1,"120,000",101,3,개인,개인,2019,청룡10길 45,,중개거래,서울 관악구,25.06.30
34,서울특별시 관악구 봉천동,1703,1703,0,봉천동아,59.76,202505,1,"72,500",104,13,개인,개인,2000,관악로 285,,중개거래,서울 관악구,25.10.20
35,서울특별시 관악구 봉천동,1703,1703,0,봉천동아,59.76,202505,1,"72,500",,13,개인,개인,2000,관악로 285,20251010.0,중개거래,서울 관악구,
36,서울특별시 관악구 봉천동,1708,1708,0,두산,84.87,202504,30,"101,000",205,7,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.08.25
37,서울특별시 관악구 봉천동,1728,1728,0,관악파크푸르지오,84.99,202504,30,"93,500",104,6,개인,개인,2014,행운10길 21,,중개거래,서울 관악구,25.07.29
38,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202504,30,"86,000",107,13,개인,개인,1996,보라매로 62,,중개거래,서울 관악구,25.05.23
39,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),84.96,202504,30,"94,500",123,20,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.05.30
40,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202504,30,"85,000",210,23,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.07.14
41,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202504,30,"93,200",113,9,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.06.24
42,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202504,30,"85,000",,23,개인,개인,2000,봉천로 387,20250507.0,중개거래,서울 관악구,
43,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202504,29,"90,000",105,5,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,25.06.17
44,서울특별시 관악구 봉천동,645-87,645,87,복권,47.61,202504,29,"27,500",제1호동,5,개인,개인,1971,은천로5길 39,,중개거래,서울 관악구,25.05.13
45,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202504,28,"85,000",105,5,개인,개인,1996,보라매로 62,,직거래,,25.06.25
46,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),114.75,202504,28,"100,000",107,12,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.05.12
47,서울특별시 관악구 봉천동,1000,1000,0,현대(관악),84.74,202504,28,"83,500",102,3,개인,개인,1992,관악로 304,,중개거래,서울 관악구,25.06.09
48,서울특별시 관악구 봉천동,1712,1712,0,관악드림(삼성),102.0,202504,28,"106,500",131,11,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.06.18
49,서울특별시 관악구 봉천동,1000,1000,0,현대(관악),84.74,202504,28,"77,000",120,9,개인,법인,1992,관악로40길 60,,직거래,,25.04.28
50,서울특별시 관악구 신림동,1693,1693,0,국제산장,84.15,202504,28,"51,000",108,11,개인,개인,1993,호암로 417,,중개거래,서울 관악구,25.09.30
51,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),59.83,202504,28,"81,500",118,19,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.07.25
52,서울특별시 관악구 남현동,602-210,602,210,삼원하이츠11차,75.25,202504,28,"53,500",,4,개인,개인,2010,승방1길 46,,중개거래,서울 동작구,25.06.30
53,서울특별시 관악구 봉천동,1730-1,1730,1,e편한세상서울대입구2단지,84.93,202504,28,"121,000",202,5,개인,개인,2019,청룡16길 43,,중개거래,서울 관악구,25.07.25
54,서울특별시 관악구 봉천동,856-5,856,5,대우디오슈페리움1단지,78.4,202504,27,"84,000",대우디오슈페리움1단지,13,개인,개인,2007,관악로 164,,중개거래,"서울 관악구, 서울 구로구",25.09.01
55,서울특별시 관악구 봉천동,1730-1,1730,1,e편한세상서울대입구2단지,84.98,202504,27,"119,500",206,5,개인,개인,2019,청룡16길 43,,중개거래,서울 관악구,25.05.21
56,서울특별시 관악구 신림동,1735,1735,0,관악산휴먼시아2단지,84.97,202504,27,"69,000",211,16,개인,개인,2008,난곡로 55,,중개거래,서울 관악구,25.07.30
57,서울특별시 관악구 봉천동,1703,1703,0,봉천동아,84.87,202504,26,"91,000",107,7,개인,개인,2000,관악로 285,,중개거래,서울 관악구,25.09.16
58,서울특별시 관악구 봉천동,1717,1717,0,관악푸르지오,59.58,202504,26,"80,400",114,7,개인,개인,2004,관악로30길 27,,중개거래,서울 관악구,25.07.25
59,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202504,26,"87,500",102,2,개인,개인,1996,보라매로 62,,중개거래,"대전 동구, 서울 관악구",25.07.25
60,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),84.96,202504,26,"94,800",106,19,개인,개인,2003,성현로 80,,중개거래,서울 관악구,25.08.29
61,서울특별시 관악구 신림동,1693,1693,0,국제산장,84.15,202504,26,"50,000",103,15,개인,개인,1993,호암로 417,,중개거래,서울 관악구,25.07.03
62,서울특별시 관악구 신림동,1693,1693,0,국제산장,84.15,202504,26,"50,000",,15,개인,개인,1993,호암로 417,20250428.0,중개거래,서울 관악구,
