NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 관악구 신림동,255-189,255,189,현대,84.44,202606,28,"52,500",,2,개인,개인,1991,대학20길 27,,중개거래,서울 관악구,
2,서울특별시 관악구 봉천동,1690-158,1690,158,낙성대에메랄드,76.91,202606,28,"75,000",,2,개인,개인,2006,남부순환로 1961-1,,중개거래,서울 관악구,
3,서울특별시 관악구 신림동,1714,1714,0,삼성산주공(주공3단지),83.21,202606,28,"64,500",,24,개인,개인,2000,호암로 399,,중개거래,서울 관악구,
4,서울특별시 관악구 신림동,1726,1726,0,우정하이비전2,84.58,202606,27,"70,000",,6,개인,개인,2004,양지길 52-1,,중개거래,서울 관악구,
5,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,101.95,202606,27,"130,000",,14,개인,개인,2005,은천로 93,,중개거래,서울 관악구,
6,서울특별시 관악구 신림동,1746,1746,0,힐스테이트뉴포레,59.9986,202606,27,"139,000",,33,개인,개인,2022,조원로 25,,중개거래,서울 관악구,
7,서울특별시 관악구 봉천동,1719,1719,0,관악동부센트레빌,59.8,202606,26,"116,700",,12,개인,개인,2004,은천로33길 5,,중개거래,서울 관악구,
8,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202606,26,"119,000",,7,개인,개인,1996,보라매로 62,,중개거래,"서울 관악구, 서울 동작구",
9,서울특별시 관악구 봉천동,1720,1720,0,벽산블루밍3차,59.8,202606,26,"98,500",,7,개인,개인,2004,은천로15길 24,,중개거래,"서울 관악구, 서울 동작구",
10,서울특별시 관악구 신림동,1714,1714,0,삼성산주공(주공3단지),58.55,202606,26,"55,000",,15,개인,개인,2000,호암로 399,,중개거래,서울 관악구,
11,서울특별시 관악구 봉천동,1703,1703,0,봉천동아,59.76,202606,26,"105,000",104,12,개인,개인,2000,관악로 285,,중개거래,서울 관악구,26.08.07
12,서울특별시 관악구 신림동,1714,1714,0,삼성산주공(주공3단지),83.21,202606,26,"64,800",,16,개인,개인,2000,호암로 399,,중개거래,서울 관악구,
13,서울특별시 관악구 신림동,1722,1722,0,신림동신도브래뉴,81.42,202606,26,"96,000",,4,개인,개인,2003,조원로16길 12,,중개거래,서울 관악구,
14,서울특별시 관악구 봉천동,1707-1,1707,1,은천2단지아파트,49.95,202606,26,"58,500",,1,개인,개인,2000,인헌12길 46-1,,중개거래,서울 관악구,
15,서울특별시 관악구 신림동,1736,1736,0,신림2차푸르지오,59.985,202606,25,"67,000",,1,개인,개인,2007,난곡로 66,,중개거래,서울 관악구,
16,서울특별시 관악구 신림동,1732,1732,0,서초그린,59.81,202606,25,"67,500",,3,개인,개인,2005,신림로7길 34,,중개거래,서울 관악구,
17,서울특별시 관악구 신림동,1727,1727,0,그대家,59.6,202606,25,"55,500",,11,개인,개인,2003,난곡로 167,,중개거래,서울 관악구,
18,서울특별시 관악구 신림동,1714,1714,0,삼성산주공(주공3단지),113.31,202606,25,"75,000",,25,개인,개인,2000,호암로 399,,중개거래,서울 관악구,
19,서울특별시 관악구 신림동,1702-1,1702,1,건영4,84.89,202606,24,"78,000",,9,개인,개인,1997,신림로48길 17-20,,중개거래,서울 관악구,
20,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,59.99,202606,24,"110,000",,4,개인,개인,2005,은천로 93,,중개거래,서울 관악구,
21,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202606,24,"118,000",,13,개인,개인,1996,보라매로 62,,중개거래,서울 동작구,
22,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202606,24,"118,000",,13,개인,개인,1996,보라매로 62,20260721.0,중개거래,서울 동작구,
23,서울특별시 관악구 봉천동,1698-1,1698,1,보라매삼성,84.84,202606,24,"118,000",,13,개인,개인,1996,보라매로 62,20260716.0,중개거래,서울 동작구,
24,서울특별시 관악구 신림동,746-43,746,43,건영1,74.16,202606,24,"69,700",,9,개인,개인,1984,문성로 74,,중개거래,서울 관악구,
25,서울특별시 관악구 봉천동,1708,1708,0,두산,59.92,202606,23,"126,000",,7,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,
26,서울특별시 관악구 봉천동,1718,1718,0,벽산블루밍,59.99,202606,23,"101,000",,17,개인,개인,2005,은천로 93,,중개거래,서울 관악구,
27,서울특별시 관악구 봉천동,1708,1708,0,두산,84.73,202606,23,"137,000",,16,개인,개인,2000,봉천로 387,,중개거래,서울 관악구,
28,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),59.83,202606,23,"119,500",,9,개인,개인,2003,성현로 80,,중개거래,서울 관악구,
29,서울특별시 관악구 남현동,1136,1136,0,남현동한일유앤아이,84.99,202606,23,"85,000",,1,개인,개인,2005,남부순환로256라길 25,,중개거래,"서울 관악구, 서울 동작구",
30,서울특별시 관악구 신림동,1694,1694,0,신림현대,34.86,202606,23,"47,000",,5,개인,개인,1993,신림로29길 8,20260701.0,중개거래,서울 관악구,
31,서울특별시 관악구 신림동,1694,1694,0,신림현대,34.86,202606,23,"47,000",,5,개인,개인,1993,신림로29길 8,,중개거래,서울 관악구,
32,서울특별시 관악구 신림동,1727,1727,0,그대家,59.6,202606,23,"57,000",,21,개인,개인,2003,난곡로 167,,중개거래,서울 관악구,
33,서울특별시 관악구 신림동,1484-10,1484,10,CLOUDAPT,46.7,202606,23,"46,600",,5,개인,개인,2017,남부순환로 1448,,중개거래,서울 관악구,
34,서울특별시 관악구 신림동,746-43,746,43,건영1,41.04,202606,23,"44,800",,10,개인,개인,1984,문성로 74,,중개거래,서울 관악구,
35,서울특별시 관악구 남현동,1136,1136,0,남현동한일유앤아이,84.99,202606,23,"85,000",,1,개인,개인,2005,남부순환로256라길 25,20260709.0,중개거래,"서울 관악구, 서울 동작구",
36,서울특별시 관악구 신림동,1722,1722,0,신림동신도브래뉴,115.62,202606,22,"94,800",,5,개인,개인,2003,조원로16길 12,,중개거래,서울 관악구,
37,서울특별시 관악구 봉천동,1708,1708,0,두산,114.99,202606,22,"133,000",,12,개인,개인,2000,봉천로 387,,중개거래,"서울 강남구, 서울 관악구",
38,서울특별시 관악구 봉천동,1712,1712,0,관악드림(동아),59.85,202606,22,"109,700",,25,개인,개인,2003,성현로 80,,중개거래,서울 관악구,
39,서울특별시 관악구 신림동,255-189,255,189,현대,84.44,202606,22,"52,000",,10,개인,개인,1991,대학20길 27,,중개거래,서울 관악구,
40,서울특별시 관악구 신림동,1703-1,1703,1,LIG대학마을(건영아파트3차),84.82,202606,22,"73,200",,5,개인,개인,1996,신림로3길 40,,중개거래,"경기 안양시 동안구, 서울 관악구",
41,서울특별시 관악구 봉천동,1733,1733,0,e편한세상서울대입구2차,84.31,202606,22,"155,000",,6,개인,개인,2020,참숯1길 19,,중개거래,서울 관악구,
42,서울특별시 관악구 봉천동,1717,1717,0,관악푸르지오,59.58,202606,20,"114,500",,7,개인,개인,2004,관악로30길 27,,중개거래,서울 관악구,
43,서울특별시 관악구 봉천동,1560-62,1560,62,서울대입구아이원(1560-62),84.92,202606,20,"123,000",,5,개인,개인,2006,청룡길 77,,중개거래,서울 관악구,
