NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 광진구 구의동,80-37,80,37,스타파크아파트,57.21,202505,7,"65,000",,3,개인,개인,2018,자양로 203,,중개거래,서울 광진구,25.07.30
2,서울특별시 광진구 자양동,861,861,0,자양호반써밋,40.2751,202505,7,"90,000",아파트 101동,5,개인,개인,2021,능동로 69,,중개거래,서울 광진구,25.06.20
3,서울특별시 광진구 구의동,631-1,631,1,현대프라임,183.87,202505,7,"230,000",5,13,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.07.30
4,서울특별시 광진구 자양동,790,790,0,자양9차현대홈타운,82.56,202505,7,"143,000",901,5,개인,개인,2002,뚝섬로34길 32,,중개거래,서울 광진구,25.07.18
5,서울특별시 광진구 광장동,577,577,0,현대파크빌,84.81,202505,6,"174,000",1009,23,개인,개인,2000,아차산로 549,,중개거래,서울 광진구,25.08.05
6,서울특별시 광진구 구의동,631-1,631,1,현대프라임,84.99,202505,5,"171,000",4,12,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.07.30
7,서울특별시 광진구 구의동,631-1,631,1,현대프라임,59.82,202505,5,"132,000",3,15,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.07.30
8,서울특별시 광진구 중곡동,190-26,190,26,중곡2단지,55.87,202505,4,"46,500",5,4,개인,개인,1976,긴고랑로1길 55,,중개거래,서울 광진구,25.08.07
9,서울특별시 광진구 구의동,668,668,0,래미안파크스위트,75.82,202505,4,"149,000",110,16,개인,개인,2018,광나루로 545,,중개거래,서울 광진구,25.06.30
10,서울특별시 광진구 구의동,680,680,0,e편한세상광진그랜드파크,84.8289,202505,4,"180,000",101,10,개인,개인,2021,광나루로 458,,중개거래,서울 광진구,25.06.10
11,서울특별시 광진구 구의동,631-1,631,1,현대프라임,59.82,202505,3,"130,000",8,25,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.07.30
12,서울특별시 광진구 구의동,589-10,589,10,아크로리버,150.6416,202505,3,"224,000",B,25,개인,개인,2004,구의강변로 64,,중개거래,서울 광진구,25.07.03
13,서울특별시 광진구 군자동,99,99,0,일성파크,59.96,202505,3,"73,000",102,9,개인,개인,1996,군자로12길 46,,중개거래,서울 광진구,25.09.02
14,서울특별시 광진구 광장동,218-1,218,1,극동1,84.55,202505,3,"210,000",1,7,개인,개인,1985,아차산로 552,,중개거래,서울 광진구,25.08.11
15,서울특별시 광진구 광장동,145-8,145,8,워커힐,226.45,202505,3,"350,000",12,7,개인,개인,1978,아차산로 637,,중개거래,서울 광진구,25.08.14
16,서울특별시 광진구 자양동,673,673,0,현대강변,82.08,202505,3,"116,100",102,7,개인,개인,1991,자양로3가길 43,,중개거래,서울 광진구,25.05.20
17,서울특별시 광진구 구의동,611,611,0,구의현대2단지,84.88,202505,3,"164,300",214,24,개인,개인,1996,광나루로56길 32,,중개거래,서울 광진구,25.07.28
18,서울특별시 광진구 자양동,670,670,0,현대3,84.9,202505,2,"109,000",301,1,개인,개인,1996,뚝섬로56가길 10,,중개거래,서울 광진구,25.07.11
19,서울특별시 광진구 자양동,810,810,0,자양힐101동,112.32,202505,2,"107,000",,8,개인,개인,2005,자양로21길 16-14,20250527.0,중개거래,서울 광진구,
20,서울특별시 광진구 구의동,199-18,199,18,삼성쉐르빌,132.08,202505,2,"130,000",101,17,개인,개인,2001,구의강변로 106,,직거래,,25.06.13
21,서울특별시 광진구 광장동,576,576,0,광장현대9단지,84.96,202505,2,"160,000",901,21,개인,개인,1999,아차산로69길 19,,중개거래,서울 광진구,25.07.31
22,서울특별시 광진구 광장동,577,577,0,현대파크빌,59.76,202505,2,"131,500",1003,16,개인,개인,2000,아차산로 549,,중개거래,서울 광진구,25.07.31
23,서울특별시 광진구 광장동,218-1,218,1,극동2,75.55,202505,2,"180,000",9,2,개인,개인,1989,아차산로 552,,중개거래,"서울 광진구, 서울 동작구",25.08.14
24,서울특별시 광진구 자양동,788,788,0,자양7차현대홈타운,59.94,202505,2,"105,000",701,1,개인,개인,2001,능동로4길 41,,중개거래,서울 광진구,25.06.30
25,서울특별시 광진구 자양동,810,810,0,자양힐101동,112.32,202505,2,"107,000",,8,개인,개인,2005,자양로21길 16-14,,중개거래,서울 광진구,25.08.28
26,서울특별시 광진구 자양동,670,670,0,현대3,84.9,202505,2,"105,000",302,8,개인,개인,1996,뚝섬로58길 101,,중개거래,서울 광진구,25.08.22
27,서울특별시 광진구 군자동,503,503,0,광진We’vePark,131.96,202505,2,"139,000",102,14,개인,개인,2008,광나루로 369,,중개거래,서울 광진구,25.08.20
28,서울특별시 광진구 자양동,784-1,784,1,대동,84.65,202505,2,"124,250",101,7,개인,개인,1999,뚝섬로31길 20,,중개거래,서울 광진구,25.07.18
29,서울특별시 광진구 자양동,579,579,0,우성1,51.57,202505,1,"94,500",106,3,개인,개인,1988,뚝섬로41길 20,,중개거래,서울 광진구,25.06.30
30,서울특별시 광진구 자양동,783-1,783,1,자양우성7,59.94,202505,1,"82,000",,16,개인,개인,1998,아차산로36길 39,20250521.0,중개거래,경기 성남시 분당구,
31,서울특별시 광진구 광장동,250,250,0,신동아파밀리에,84.55,202505,1,"140,500",108,9,개인,개인,2007,아차산로 599,,중개거래,서울 광진구,25.08.05
32,서울특별시 광진구 광장동,566,566,0,청구,59.95,202505,1,"109,500",103,8,개인,개인,1996,아차산로 503-23,,중개거래,서울 광진구,25.09.03
33,서울특별시 광진구 광장동,218-1,218,1,극동2,84.55,202505,1,"195,000",7,9,개인,개인,1989,아차산로 552,,중개거래,서울 광진구,25.09.01
34,서울특별시 광진구 광장동,250,250,0,신동아파밀리에,84.55,202505,1,"140,500",,9,개인,개인,2007,아차산로 599,20250624.0,중개거래,서울 광진구,
35,서울특별시 광진구 자양동,792,792,0,자양10차현대홈타운,84.46,202505,1,"106,000",1006,9,개인,개인,2002,뚝섬로34길 25-19,,중개거래,서울 광진구,25.07.18
36,서울특별시 광진구 광장동,250,250,0,신동아파밀리에,84.55,202505,1,"140,500",,9,개인,개인,2007,아차산로 599,20250626.0,중개거래,서울 광진구,
37,서울특별시 광진구 구의동,631-1,631,1,현대프라임,59.82,202505,1,"129,000",8,29,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.06.27
38,서울특별시 광진구 구의동,631-1,631,1,현대프라임,59.82,202505,1,"128,500",8,16,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.06.17
39,서울특별시 광진구 구의동,631-1,631,1,현대프라임,84.99,202505,1,"159,000",9,5,개인,개인,1997,광나루로56길 29,,중개거래,서울 광진구,25.07.18
40,서울특별시 광진구 광장동,576,576,0,광장현대9단지,84.96,202505,1,"158,000",901,19,개인,개인,1999,아차산로69길 19,,중개거래,"서울 광진구, 서울 성동구",25.07.01
41,서울특별시 광진구 광장동,566,566,0,청구,59.95,202505,1,"109,500",,8,개인,개인,1996,아차산로 503-23,20250513.0,중개거래,서울 광진구,
42,서울특별시 광진구 광장동,218-1,218,1,극동2,84.55,202505,1,"195,000",,9,개인,개인,1989,아차산로 552,20250516.0,중개거래,서울 광진구,
43,서울특별시 광진구 광장동,567,567,0,광나루현대,84.92,202505,1,"125,500",102,14,개인,개인,1996,아차산로76길 31,,중개거래,서울 광진구,26.02.27
44,서울특별시 광진구 광장동,566,566,0,청구,59.95,202504,30,"107,800",,4,개인,개인,1996,아차산로 503-23,20250512.0,중개거래,서울 광진구,
45,서울특별시 광진구 광장동,566,566,0,청구,59.95,202504,30,"107,800",,4,개인,개인,1996,아차산로 503-23,20250512.0,중개거래,서울 광진구,
46,서울특별시 광진구 광장동,145-8,145,8,워커힐,226.45,202504,30,"347,500",,8,개인,개인,1978,아차산로 637,20251023.0,중개거래,"서울 광진구, 서울 송파구",
47,서울특별시 광진구 광장동,567,567,0,광나루현대,84.92,202504,30,"127,500",103,6,개인,개인,1996,아차산로76길 31,,중개거래,서울 광진구,25.09.30
48,서울특별시 광진구 광장동,145-8,145,8,워커힐,226.45,202504,30,"347,500",11,8,개인,개인,1978,아차산로 637,,중개거래,"서울 광진구, 서울 송파구",25.11.26
49,서울특별시 광진구 광장동,484,484,0,현대3,84.97,202504,30,"155,000",304,18,개인,개인,1990,아차산로70길 62,,중개거래,서울 광진구,25.07.11
50,서울특별시 광진구 광장동,566,566,0,청구,59.95,202504,30,"107,800",104,4,개인,개인,1996,아차산로 503-23,,중개거래,서울 광진구,25.07.18
51,서울특별시 광진구 화양동,111-89,111,89,위너스힐(111-89),61.215,202504,29,"90,000",,13,개인,개인,2021,광나루로20길 34,,직거래,,25.04.29
52,서울특별시 광진구 군자동,99,99,0,일성파크,84.96,202504,29,"90,500",102,6,개인,법인,1996,군자로12길 46,,중개거래,서울 광진구,25.06.24
53,서울특별시 광진구 구의동,656,656,0,새한,84.91,202504,29,"101,000",104,1,개인,개인,2000,자양로26길 71,,중개거래,서울 광진구,25.08.14
54,서울특별시 광진구 구의동,29-1,29,1,성원쌍떼빌,73.1,202504,29,"48,000",,5,개인,개인,2003,천호대로129길 56,,중개거래,서울 광진구,25.05.22
55,서울특별시 광진구 광장동,582,582,0,광장힐스테이트,84.9,202504,29,"224,500",1403,8,개인,개인,2012,아차산로 537-17,,중개거래,서울 광진구,25.09.30
56,서울특별시 광진구 광장동,218-1,218,1,극동1,126.94,202504,29,"250,000",4,9,개인,개인,1985,아차산로 552,,중개거래,서울 광진구,25.08.18
57,서울특별시 광진구 광장동,561,561,0,삼성광장1,66.03,202504,29,"139,700",1,7,개인,개인,1987,아차산로70길 17-21,,중개거래,서울 광진구,25.08.08
58,서울특별시 광진구 자양동,663-21,663,21,와이엠프라젠스파,56.13,202504,29,"75,000",,5,개인,개인,2005,자양로5길 33,,중개거래,서울 광진구,25.08.13
59,서울특별시 광진구 자양동,644,644,0,로얄동아,84.83,202504,29,"140,000",제101,16,개인,개인,1999,뚝섬로52마길 56,,중개거래,서울 광진구,25.12.19
60,서울특별시 광진구 자양동,515-1,515,1,우성6,84.72,202504,29,"135,500",309,10,개인,개인,1992,뚝섬로33길 42,,중개거래,서울 광진구,25.06.30
61,서울특별시 광진구 화양동,113-1,113,1,광진코지웰,18.63,202504,29,"17,000",,8,개인,개인,2014,능동로19길 35,,중개거래,서울 광진구,25.10.13
62,서울특별시 광진구 화양동,234,234,0,화양현대,59.99,202504,29,"83,000",제101,8,개인,개인,1999,동일로24길 5,,중개거래,서울 광진구,25.07.31
63,서울특별시 광진구 군자동,99,99,0,일성파크,84.96,202504,28,"90,000",102,8,개인,개인,1996,군자로12길 46,,직거래,,25.04.30
64,서울특별시 광진구 광장동,576,576,0,광장현대9단지,59.97,202504,28,"125,000",905,15,개인,개인,1999,아차산로69길 19,,중개거래,서울 광진구,25.08.08
65,서울특별시 광진구 자양동,636-11,636,11,그랜드아파트,48.1,202504,28,"62,000",,6,개인,개인,2023,뚝섬로52길 7,,중개거래,서울 광진구,25.06.09
66,서울특별시 광진구 구의동,680,680,0,e편한세상광진그랜드파크,84.9957,202504,28,"174,000",103,17,개인,개인,2021,광나루로 458,,중개거래,서울 광진구,25.05.27
