NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 광진구 구의동,587-54,587,54,구의현대7단지현대홈타운,59.97,202606,27,"138,000",,12,개인,개인,1997,구의강변로3가길 39,,중개거래,서울 광진구,
2,서울특별시 광진구 자양동,792,792,0,자양10차현대홈타운,84.46,202606,27,"209,000",,14,개인,개인,2002,뚝섬로34길 25-19,,중개거래,서울 광진구,
3,서울특별시 광진구 중곡동,191-77,191,77,중곡1단지,48.46,202606,27,"53,000",,1,개인,개인,1976,동일로72길 17,,중개거래,"서울 광진구, 서울 동대문구",
4,서울특별시 광진구 화양동,531,531,0,테라팰리스건대1차,56.3,202606,26,"69,000",,7,개인,개인,2019,아차산로25길 60,,중개거래,서울 강남구,26.07.31
5,서울특별시 광진구 구의동,611,611,0,구의현대2단지,84.75,202606,24,"208,000",,25,개인,개인,1996,광나루로56길 32,,중개거래,서울 광진구,
6,서울특별시 광진구 자양동,641,641,0,경남,59.96,202606,24,"130,000",,10,개인,개인,1999,뚝섬로52길 71,,중개거래,서울 광진구,
7,서울특별시 광진구 중곡동,683,683,0,중곡동광덕,84.79,202606,24,"64,700",광덕아파트101,2,개인,개인,2002,동일로76가길 17,,중개거래,서울 동대문구,26.08.12
8,서울특별시 광진구 구의동,680,680,0,e편한세상광진그랜드파크,84.9716,202606,23,"229,000",,12,개인,개인,2021,광나루로 458,,중개거래,"서울 광진구, 서울 성동구",
9,서울특별시 광진구 중곡동,190-26,190,26,중곡2단지,55.87,202606,23,"62,000",,4,개인,개인,1976,긴고랑로1길 55,,중개거래,서울 광진구,
10,서울특별시 광진구 중곡동,699,699,0,욱현하이브Ⅲ,18.85,202606,23,"18,000",,8,개인,법인,2012,용마산로1길 7,,중개거래,서울 광진구,26.07.22
11,서울특별시 광진구 구의동,663,663,0,아차산포레안,84.68,202606,23,"135,000",,3,개인,개인,2010,천호대로 716,,중개거래,서울 광진구,
12,서울특별시 광진구 화양동,21-2,21,2,브라운스톤,58.24,202606,22,"50,000",브라운스톤 화양,14,개인,개인,2006,광나루로 346,,직거래,,26.07.16
13,서울특별시 광진구 중곡동,191-77,191,77,중곡1단지,48.5,202606,22,"52,000",,3,개인,개인,1976,동일로72길 17,,중개거래,서울 광진구,
14,서울특별시 광진구 광장동,484,484,0,현대3,59.67,202606,22,"175,000",,6,개인,개인,1990,아차산로70길 62,,중개거래,서울 광진구,
15,서울특별시 광진구 구의동,657,657,0,성동강변파크빌101(강변타워),59.92,202606,22,"125,000",,11,개인,개인,2001,구의강변로5길 7,,중개거래,서울 광진구,
16,서울특별시 광진구 구의동,611,611,0,구의현대2단지,84.91,202606,22,"220,000",,23,개인,개인,1996,광나루로56길 32,,중개거래,서울 광진구,
17,서울특별시 광진구 구의동,80-37,80,37,스타파크아파트,59.23,202606,21,"83,000",,8,개인,개인,2018,자양로 203,,중개거래,서울 광진구,
18,서울특별시 광진구 구의동,671,671,0,구의자이르네,73.6556,202606,20,"124,800",,5,개인,개인,2021,광나루로39길 11,,중개거래,서울 광진구,
19,서울특별시 광진구 구의동,199-18,199,18,삼성쉐르빌,132.08,202606,20,"170,000",,19,개인,개인,2001,구의강변로 106,,중개거래,서울 광진구,
20,서울특별시 광진구 구의동,668,668,0,래미안파크스위트,102.88,202606,20,"220,000",,9,개인,개인,2018,광나루로 545,,중개거래,서울 광진구,
21,서울특별시 광진구 구의동,671,671,0,구의자이르네,73.6556,202606,20,"124,800",,5,개인,개인,2021,광나루로39길 11,,중개거래,서울 광진구,
22,서울특별시 광진구 광장동,569,569,0,현대8(803동),84.95,202606,20,"213,000",,10,개인,개인,1996,아차산로 508,,중개거래,서울 광진구,
23,서울특별시 광진구 자양동,579,579,0,우성1,59.91,202606,20,"148,000",,1,개인,개인,1988,뚝섬로 569,,중개거래,서울 광진구,
24,서울특별시 광진구 중곡동,231-1,231,1,신성그랜드타워,156.03,202606,19,"90,500",,5,개인,개인,1996,면목로 127,,중개거래,"서울 광진구, 서울 동대문구",26.07.14
25,서울특별시 광진구 화양동,111-89,111,89,위너스힐(111-89),52.04,202606,19,"47,000",,10,개인,법인,2021,광나루로20길 34,,직거래,,26.07.30
26,서울특별시 광진구 화양동,530,530,0,씨즈건대힐스,14.23,202606,19,"14,850",,2,개인,개인,2017,광나루로20길 17,,중개거래,서울 광진구,26.07.10
27,서울특별시 광진구 자양동,641,641,0,경남,114.97,202606,19,"185,000",,7,개인,개인,1999,뚝섬로52길 71,,중개거래,서울 광진구,
28,서울특별시 광진구 광장동,577,577,0,현대파크빌,59.76,202606,19,"187,000",,14,개인,개인,2000,아차산로 549,,중개거래,"서울 광진구, 서울 송파구",
29,서울특별시 광진구 구의동,680,680,0,e편한세상광진그랜드파크,84.9839,202606,19,"210,000",,18,개인,개인,2021,광나루로 458,,중개거래,서울 서초구,
30,서울특별시 광진구 자양동,861,861,0,자양호반써밋,40.2751,202606,19,"125,000",,9,개인,개인,2021,능동로 69,,중개거래,"서울 강남구, 서울 광진구",
31,서울특별시 광진구 자양동,787,787,0,자양삼성,114.88,202606,19,"183,000",,3,개인,개인,1999,자양번영로3길 65,,중개거래,"경기 고양시 덕양구, 서울 광진구",
32,서울특별시 광진구 광장동,484,484,0,현대3,59.67,202606,18,"172,500",,21,개인,개인,1990,아차산로70길 62,,중개거래,서울 광진구,
33,서울특별시 광진구 구의동,658,658,0,세양,84.32,202606,18,"172,000",,11,개인,개인,2002,구의강변로 84,,중개거래,서울 광진구,
34,서울특별시 광진구 광장동,554-7,554,7,현대5,74.88,202606,18,"210,000",,2,개인,개인,1989,아차산로70길 61,,중개거래,서울 광진구,
35,서울특별시 광진구 중곡동,190-26,190,26,중곡2단지,55.87,202606,18,"62,000",,3,개인,개인,1976,긴고랑로1길 55,,중개거래,서울 광진구,
36,서울특별시 광진구 중곡동,190-26,190,26,중곡2단지,55.87,202606,17,"61,800",7,5,개인,개인,1976,긴고랑로1길 55,,중개거래,서울 광진구,26.07.20
37,서울특별시 광진구 구의동,656,656,0,새한,84.91,202606,17,"130,000",,2,개인,개인,2000,자양로26길 71,20260713.0,중개거래,서울 광진구,
38,서울특별시 광진구 자양동,578,578,0,우성4,84.91,202606,17,"174,700",,11,개인,개인,1989,자양번영로 59,,중개거래,서울 광진구,
39,서울특별시 광진구 군자동,99,99,0,일성파크,84.96,202606,17,"105,700",,1,개인,개인,1996,군자로12길 46,,중개거래,서울 광진구,
40,서울특별시 광진구 중곡동,647-1,647,1,삼보글로벌101동,42.74,202606,16,"51,000",,7,개인,개인,2003,긴고랑로14길 63,,중개거래,서울 광진구,
41,서울특별시 광진구 중곡동,609,609,0,삼민,73.44,202606,16,"58,000",,6,개인,개인,1995,긴고랑로15길 32,,중개거래,서울 광진구,
42,서울특별시 광진구 광장동,218-1,218,1,극동2,84.55,202606,16,"249,000",,9,개인,개인,1989,아차산로 552,,중개거래,"서울 광진구, 서울 금천구",
