NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.9672,202505,6,"91,300",306동,15,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,25.09.30
2,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,114.84,202505,6,"62,000",511,7,개인,개인,2004,금하로 816,,중개거래,서울 금천구,25.07.11
3,서울특별시 금천구 독산동,332-14,332,14,계룡아파트,59.34,202505,6,"48,000",102,1,개인,개인,1998,범안로15길 7,,중개거래,서울 금천구,25.05.08
4,서울특별시 금천구 시흥동,1026,1026,0,남서울힐스테이트,84.697,202505,4,"91,000",102,14,개인,개인,2014,시흥대로 165,,중개거래,서울 금천구,25.07.11
5,서울특별시 금천구 독산동,1140,1140,0,독산동중앙하이츠빌,84.8768,202505,4,"72,800",102,8,개인,개인,2004,범안로 1136,,중개거래,서울 금천구,25.07.01
6,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.968,202505,3,"89,900",306동,13,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,25.06.30
7,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202505,3,"56,500",,12,개인,개인,2004,금하로 816,20250707.0,중개거래,서울 금천구,
8,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202505,3,"56,500",524,12,개인,개인,2004,금하로 816,,중개거래,서울 금천구,25.07.31
9,서울특별시 금천구 가산동,234-46,234,46,삼익,59.94,202505,3,"45,300",102,12,개인,개인,1998,두산로9길 56,,중개거래,서울 금천구,25.07.25
10,서울특별시 금천구 독산동,1028,1028,0,대덕트윈빌,82.8,202505,3,"67,000",102,7,개인,개인,2002,시흥대로112길 6,,중개거래,서울 금천구,25.07.23
11,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.9662,202505,3,"89,000",306동,7,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,25.06.30
12,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202505,2,"53,000",,20,개인,개인,2004,금하로 816,20250806.0,중개거래,서울 금천구,
13,서울특별시 금천구 시흥동,384-12,384,12,남서울건영2,41.34,202505,2,"31,300",3,9,개인,개인,1989,독산로10길 96,,중개거래,서울 금천구,25.06.30
14,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202505,2,"53,000",516,20,개인,개인,2004,금하로 816,,중개거래,서울 금천구,25.08.29
15,서울특별시 금천구 독산동,711-2,711,2,금천현대,84.83,202505,1,"66,000",105,19,개인,개인,2002,벚꽃로 73,,중개거래,서울 금천구,25.07.18
16,서울특별시 금천구 가산동,769,769,0,두산,84.9,202505,1,"65,000",107,2,개인,개인,1998,가산로 99,,중개거래,서울 금천구,25.08.19
17,서울특별시 금천구 독산동,1136,1136,0,진도3차아파트,59.34,202505,1,"52,000",301,16,개인,개인,1999,범안로17길 41,,중개거래,서울 금천구,25.05.30
18,서울특별시 금천구 독산동,894-5,894,5,힐탑아파트4차(894-5),54.9,202504,30,"32,000",힐탑4차아파트,7,개인,개인,2005,문성로3길 70,,중개거래,서울 금천구,25.06.20
19,서울특별시 금천구 독산동,962-32,962,32,명도힐스티지,29.63,202504,29,"26,000",,5,개인,개인,2019,독산로 337,,중개거래,서울 관악구,25.07.25
20,서울특별시 금천구 독산동,974-2,974,2,목화103,84.715,202504,29,"43,500",,7,개인,개인,2001,문성로 4,20250625.0,중개거래,서울 금천구,
21,서울특별시 금천구 독산동,711-2,711,2,금천현대,59.82,202504,29,"53,500",102,9,개인,개인,2002,벚꽃로 73,,중개거래,서울 금천구,25.07.17
22,서울특별시 금천구 시흥동,1011,1011,0,우방,59.91,202504,28,"46,800",,14,개인,개인,2002,금하로 750,20250804.0,중개거래,서울 금천구,
23,서울특별시 금천구 독산동,1135,1135,0,백운,83.58,202504,28,"41,800",,8,개인,개인,1998,범안로12길 47,,중개거래,서울 금천구,25.06.12
24,서울특별시 금천구 가산동,769,769,0,두산,134.95,202504,28,"89,500",105,12,개인,개인,1998,가산로 99,,중개거래,서울 금천구,25.08.14
25,서울특별시 금천구 가산동,234-46,234,46,삼익,59.94,202504,27,"43,200",102,1,개인,개인,1998,두산로9길 56,,중개거래,서울 금천구,25.05.26
26,서울특별시 금천구 독산동,955,955,0,신도브래뉴,55.55,202504,26,"56,500",,8,개인,개인,2002,시흥대로152길 25,20250429.0,중개거래,서울 금천구,
27,서울특별시 금천구 시흥동,1011,1011,0,우방,59.91,202504,26,"46,800",관악우방아파트107,14,개인,개인,2002,금하로 750,,중개거래,서울 금천구,25.07.31
28,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,84.408,202504,26,"115,500",306동,6,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,25.09.02
29,서울특별시 금천구 독산동,955,955,0,신도브래뉴,55.55,202504,26,"56,500",신도브래뉴아파트 103,8,개인,개인,2002,시흥대로152길 25,,중개거래,서울 금천구,25.08.14
30,서울특별시 금천구 독산동,955,955,0,신도브래뉴,55.55,202504,26,"56,500",,8,개인,개인,2002,시흥대로152길 25,20250429.0,중개거래,서울 금천구,
31,서울특별시 금천구 가산동,769,769,0,두산,59.84,202504,24,"61,500",113,6,개인,개인,1998,가산로 99,,중개거래,서울 금천구,25.07.25
32,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.9672,202504,23,"91,800",304동,38,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,25.08.11
33,서울특별시 금천구 가산동,769,769,0,두산,59.84,202504,23,"65,000",112,13,개인,개인,1998,가산로 99,,중개거래,서울 금천구,25.06.30
34,서울특별시 금천구 독산동,183-1,183,1,독산동아아파트,59.96,202504,22,"39,500",,3,개인,개인,1997,독산로78다길 52,,직거래,,25.05.15
35,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202504,22,"48,000",504,1,개인,개인,2004,금하로 816,,중개거래,서울 금천구,25.06.24
36,서울특별시 금천구 시흥동,1010,1010,0,벽산,114.84,202504,22,"60,000",112,2,개인,개인,2000,금하로 793,,중개거래,경기 안양시 만안구,25.07.04
37,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,59.34,202504,22,"42,000",523,3,개인,개인,2004,금하로 816,,중개거래,"서울 금천구, 서울 동작구",25.06.30
38,서울특별시 금천구 독산동,1007-13,1007,13,e편한세상독산더타워,59.6222,202504,22,"73,500",102,11,개인,개인,2019,범안로 1212,,중개거래,서울 금천구,25.06.17
39,서울특별시 금천구 시흥동,5-13,5,13,삼익,59.9,202504,21,"46,500",102,12,개인,개인,1999,독산로50길 89,,중개거래,서울 금천구,25.08.14
40,서울특별시 금천구 독산동,1052-5,1052,5,리치힐(1052-5),77.4,202504,21,"48,400",1,5,개인,개인,2009,시흥대로100길 21-8,,중개거래,서울 금천구,25.06.09
41,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202504,19,"53,000",,20,개인,개인,2004,금하로 816,20250430.0,중개거래,서울 금천구,
42,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202504,19,"53,000",,20,개인,개인,2004,금하로 816,20250502.0,중개거래,서울 금천구,
43,서울특별시 금천구 독산동,1136,1136,0,진도3차아파트,79.71,202504,19,"52,000",301,2,개인,개인,1999,범안로17길 41,,중개거래,서울 금천구,25.06.13
44,서울특별시 금천구 시흥동,806,806,0,시흥동월드메르디앙,82.81,202504,19,"60,000",101,12,개인,개인,2006,독산로36길 36,,중개거래,서울 금천구,25.07.11
45,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202504,19,"56,000",517,19,개인,개인,2004,금하로 816,,중개거래,서울 금천구,25.08.14
46,서울특별시 금천구 독산동,711-2,711,2,금천현대,59.82,202504,19,"52,000",109,3,개인,개인,2002,벚꽃로 73,,중개거래,서울 금천구,25.05.20
47,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.9672,202504,19,"91,000",302동,18,개인,개인,2018,시흥대로 291,,중개거래,"서울 강남구, 서울 금천구",25.08.29
