NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,84.97,202606,27,"58,500",,15,개인,개인,2004,금하로 816,,중개거래,서울 금천구,
2,서울특별시 금천구 독산동,1147,1147,0,금천롯데캐슬골드파크1차,71.39,202606,27,"115,000",,1,개인,개인,2016,벚꽃로 40,,중개거래,서울 금천구,
3,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,59.34,202606,27,"44,700",,7,개인,개인,2004,금하로 816,,중개거래,서울 금천구,
4,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,59.34,202606,27,"46,800",,17,개인,개인,2004,금하로 816,,중개거래,"서울 금천구, 서울 동작구",
5,서울특별시 금천구 가산동,769,769,0,두산,59.84,202606,27,"74,000",,17,개인,개인,1998,가산로 99,,중개거래,서울 금천구,
6,서울특별시 금천구 시흥동,1008,1008,0,금강,84.65,202606,27,"55,000",,1,개인,개인,2000,독산로50길 57-2,,중개거래,서울 금천구,
7,서울특별시 금천구 독산동,1150,1150,0,금천롯데캐슬골드파크2차201동202동,84.95,202606,27,"113,000",,6,개인,개인,2017,벚꽃로 30,,중개거래,서울 금천구,
8,서울특별시 금천구 시흥동,1026,1026,0,남서울힐스테이트,84.697,202606,26,"99,000",,22,개인,개인,2014,시흥대로 165,,중개거래,서울 금천구,
9,서울특별시 금천구 시흥동,1013,1013,0,관악산벽산타운5,59.34,202606,26,"44,300",,9,개인,개인,2004,금하로 816,,중개거래,서울 금천구,
10,서울특별시 금천구 시흥동,1010,1010,0,벽산,114.84,202606,26,"56,800",109,13,개인,개인,2000,금하로 793,,중개거래,서울 금천구,26.08.10
11,서울특별시 금천구 시흥동,산173-8,173,8,성지,67.27,202606,26,"56,000",,9,개인,개인,1986,시흥대로51길 55,,중개거래,서울 금천구,
12,서울특별시 금천구 시흥동,1012,1012,0,백운한비치,78.1642,202606,25,"57,000",,9,개인,개인,2003,탑골로2길 19,,중개거래,서울 금천구,
13,서울특별시 금천구 독산동,184-4,184,4,동심,84.4589,202606,25,"53,500",,4,개인,개인,2003,독산로78다길 12,,중개거래,서울 금천구,
14,서울특별시 금천구 독산동,711-2,711,2,금천현대,59.82,202606,25,"62,300",,6,개인,개인,2002,벚꽃로 73,,중개거래,서울 금천구,
15,서울특별시 금천구 가산동,769,769,0,두산,84.9,202606,24,"72,000",116,17,개인,법인,1998,가산로 99,,중개거래,서울 동작구,26.07.21
16,서울특별시 금천구 독산동,711-2,711,2,금천현대,84.83,202606,24,"70,000",,7,개인,개인,2002,벚꽃로 73,,중개거래,서울 금천구,
17,서울특별시 금천구 시흥동,1010,1010,0,벽산,114.84,202606,24,"57,000",,2,개인,개인,2000,금하로 793,,중개거래,서울 금천구,
18,서울특별시 금천구 시흥동,268-46,268,46,탑스빌,79.84,202606,24,"43,000",,1,개인,개인,2002,금하로30길 34,,중개거래,서울 금천구,
19,서울특별시 금천구 독산동,1155,1155,0,금천롯데캐슬골드파크3차,59.9672,202606,24,"105,000",,42,개인,개인,2018,시흥대로 291,,중개거래,서울 금천구,
20,서울특별시 금천구 가산동,774,774,0,온누리,72.2477,202606,24,"48,500",,9,개인,개인,2007,벚꽃로24길 7,,중개거래,서울 금천구,
21,서울특별시 금천구 시흥동,5-13,5,13,삼익,59.9,202606,23,"43,000",,3,개인,개인,1999,독산로50길 89,,중개거래,서울 금천구,
22,서울특별시 금천구 시흥동,1010,1010,0,벽산,84.99,202606,23,"54,000",,15,개인,개인,2000,금하로 793,,중개거래,서울 금천구,
23,서울특별시 금천구 독산동,1093-4,1093,4,한신아파트,89.46,202606,23,"69,000",6,4,개인,개인,1991,한내로 62,,중개거래,서울 금천구,26.07.14
