NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 노원구 상계동,639,639,0,보람아파트,54.59,202505,7,"47,000",,9,개인,개인,1988,한글비석로 479,20250530.0,중개거래,서울 노원구,
2,서울특별시 노원구 상계동,624,624,0,상계주공16(고층),45.77,202505,7,"37,000",,2,개인,개인,1988,동일로227길 86,20250620.0,중개거래,서울 노원구,
3,서울특별시 노원구 중계동,359-1,359,1,주공5,44.52,202505,7,"53,000",503,8,개인,개인,1992,중계로 230,,직거래,,25.05.14
4,서울특별시 노원구 월계동,924,924,0,초안2,39.6,202505,7,"29,000",201,3,개인,개인,1997,우이천로 102,,중개거래,서울 노원구,25.06.19
5,서울특별시 노원구 공릉동,111,111,0,화랑타운아파트,84.65,202505,7,"85,300",705,6,개인,개인,2000,화랑로51길 17,,중개거래,서울 노원구,25.07.24
6,서울특별시 노원구 중계동,586,586,0,LIG건영,59.92,202505,7,"43,000",101,4,개인,개인,1998,덕릉로 718,,중개거래,서울 노원구,25.07.11
7,서울특별시 노원구 상계동,1289,1289,0,상계불암대림,59.22,202505,7,"49,900",204,4,개인,개인,2000,덕릉로94길 21,,중개거래,서울 노원구,25.06.10
8,서울특별시 노원구 하계동,271-3,271,3,건영,74.58,202505,6,"74,800",8,5,개인,개인,1988,섬밭로 229,,중개거래,서울 노원구,25.08.13
9,서울특별시 노원구 하계동,284,284,0,청구,84.97,202505,6,"80,000",9,7,개인,개인,1988,공릉로 351,,중개거래,서울 노원구,25.06.26
10,서울특별시 노원구 상계동,652,652,0,상계주공11(고층),79.07,202505,6,"84,500",1110,9,개인,개인,1988,동일로227길 25,,중개거래,서울 노원구,25.07.24
11,서울특별시 노원구 월계동,556,556,0,주공2,38.64,202505,6,"30,800",203,10,개인,개인,1992,초안산로1길 18,,중개거래,서울 노원구,25.07.07
12,서울특별시 노원구 월계동,13,13,0,미성,33.28,202505,6,"58,000",1,5,개인,개인,1986,마들로 59,,중개거래,서울 노원구,25.06.16
13,서울특별시 노원구 하계동,274,274,0,청솔(시영7),49.5,202505,6,"50,000",707,5,개인,개인,1989,공릉로59길 25,,중개거래,서울 노원구,25.07.11
14,서울특별시 노원구 하계동,271-3,271,3,건영,45.55,202505,6,"40,200",8,3,개인,개인,1988,섬밭로 229,,중개거래,"서울 노원구, 서울 중랑구",25.08.13
15,서울특별시 노원구 하계동,273,273,0,장미(시영6),39.78,202505,5,"45,500",603,9,개인,개인,1989,섬밭로 196,,중개거래,서울 노원구,25.07.18
16,서울특별시 노원구 상계동,720,720,0,상계주공6(고층),49.94,202505,5,"57,000",617,4,개인,개인,1988,노해로 508,,중개거래,서울 노원구,25.08.08
17,서울특별시 노원구 상계동,652,652,0,상계주공11(고층),49.94,202505,5,"51,500",1106,10,개인,개인,1988,동일로227길 25,,중개거래,"경기 남양주시, 서울 노원구",25.07.30
18,서울특별시 노원구 상계동,666,666,0,상계주공10(고층),58.01,202505,5,"58,000",1026,8,개인,개인,1988,노원로 564,,중개거래,서울 노원구,25.07.24
19,서울특별시 노원구 월계동,322-1,322,1,성원(사슴4),39.6,202505,5,"36,600",404,6,개인,개인,1995,마들로3길 37,,중개거래,서울 노원구,25.07.30
20,서울특별시 노원구 공릉동,91,91,0,청솔아파트8,84.65,202505,3,"74,000",803,3,개인,개인,2000,노원로1가길 10,,중개거래,서울 노원구,25.07.23
21,서울특별시 노원구 공릉동,725,725,0,풍림아파트A,59.94,202505,3,"64,800",101,5,개인,개인,2001,섬밭로 139,,중개거래,"서울 노원구, 서울 동작구",25.07.23
22,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),59.38,202505,3,"58,500",1010,2,개인,개인,1999,공릉로34길 62,,중개거래,서울 노원구,25.09.03
23,서울특별시 노원구 공릉동,715,715,0,시영3차(라이프)아파트,39.6,202505,3,"37,000",301,4,개인,개인,1994,섬밭로 123,,중개거래,"서울 노원구, 서울 동대문구",25.07.30
24,서울특별시 노원구 공릉동,670-20,670,20,노원프레미어스엠코,84.0408,202505,3,"84,000",101,16,개인,개인,2016,동일로 986,,중개거래,서울 노원구,25.06.09
25,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),59.34,202505,3,"62,500",1001,11,개인,개인,1999,공릉로34길 62,,중개거래,서울 노원구,25.08.13
26,서울특별시 노원구 중계동,369,369,0,주공2,44.52,202505,3,"36,200",201,6,개인,개인,1992,한글비석로14길 8,,중개거래,서울 노원구,25.07.08
27,서울특별시 노원구 중계동,435-1,435,1,중계현대2,84.34,202505,3,"71,200",202,4,개인,개인,1991,한글비석로15길 51,,중개거래,서울 노원구,25.07.04
28,서울특별시 노원구 공릉동,715,715,0,시영3차(라이프)아파트,49.5,202505,3,"48,200",304,5,개인,개인,1994,섬밭로 123,,중개거래,서울 노원구,25.08.14
29,서울특별시 노원구 중계동,590,590,0,신안,59.97,202505,3,"69,700",101,7,개인,개인,1999,덕릉로 595,,중개거래,서울 노원구,25.06.04
30,서울특별시 노원구 중계동,445,445,0,염광,59.34,202505,3,"56,800",103,20,개인,개인,1996,덕릉로79길 23,,중개거래,서울 노원구,25.07.04
31,서울특별시 노원구 중계동,502-1,502,1,중계그린1단지,39.91,202505,3,"42,000",116,5,개인,개인,1990,동일로207길 17,,중개거래,서울 노원구,25.06.16
32,서울특별시 노원구 중계동,580,580,0,성원1,84.78,202505,3,"92,000",101,17,개인,개인,1996,덕릉로71길 5,,중개거래,서울 노원구,25.06.20
33,서울특별시 노원구 월계동,320-11,320,11,사슴3,33.18,202505,3,"32,800",301,6,개인,개인,1995,월계로55길 15,,중개거래,서울 도봉구,25.06.27
34,서울특별시 노원구 월계동,941,941,0,성북역신도브래뉴,84.9565,202505,3,"63,000",,10,개인,개인,2005,광운로19길 38,,중개거래,서울 성북구,
35,서울특별시 노원구 상계동,626,626,0,상계주공14(고층),49.94,202505,3,"48,000",1402,6,개인,개인,1989,동일로228길 23,,중개거래,서울 노원구,25.07.11
36,서울특별시 노원구 상계동,639,639,0,보람아파트,79.25,202505,3,"67,700",201,12,개인,개인,1988,한글비석로 480,,중개거래,서울 노원구,25.07.15
37,서울특별시 노원구 상계동,1284,1284,0,대동황토방,60.0,202505,3,"56,400",103,15,개인,개인,2001,상계로26길 20,,중개거래,서울 노원구,25.08.06
38,서울특별시 노원구 상계동,1285,1285,0,동아불암,84.9,202505,3,"56,500",,20,개인,개인,1999,덕릉로 780,20250717.0,중개거래,서울 노원구,
39,서울특별시 노원구 상계동,652,652,0,상계주공11(고층),60.5,202505,3,"55,500",1112,8,개인,개인,1988,동일로227길 85,,중개거래,서울 노원구,25.08.21
