NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.9,202606,28,"60,000",,4,개인,개인,1988,동일로 1456,,중개거래,서울 노원구,
2,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),41.3,202606,28,"60,000",,13,개인,개인,1988,동일로 1456,,중개거래,서울 노원구,
3,서울특별시 노원구 공릉동,745,745,0,동신아파트,114.98,202606,28,"95,500",,16,개인,개인,1999,공릉로 213,,중개거래,서울 노원구,
4,서울특별시 노원구 하계동,273,273,0,장미(시영6),39.78,202606,28,"59,800",,10,개인,개인,1989,섬밭로 196,,중개거래,서울 노원구,
5,서울특별시 노원구 하계동,256-5,256,5,한신동성,112.24,202606,28,"86,500",,1,개인,개인,1993,한글비석로 151,,중개거래,서울 노원구,
6,서울특별시 노원구 공릉동,756,756,0,신성미소지움아파트,84.996,202606,27,"77,000",,12,개인,개인,2004,공릉로42길 13-14,,중개거래,서울 노원구,
7,서울특별시 노원구 공릉동,755,755,0,비콘아파트,84.98,202606,27,"70,000",,6,개인,개인,2004,공릉로 130,,중개거래,서울 노원구,
8,서울특별시 노원구 공릉동,404-3,404,3,건영아파트,59.94,202606,27,"48,000",,3,개인,개인,1998,동일로173가길 145,,중개거래,서울 노원구,26.08.10
9,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),59.38,202606,27,"76,000",,9,개인,개인,1999,공릉로34길 62,,중개거래,서울 노원구,
10,서울특별시 노원구 월계동,18,18,0,한진한화그랑빌,114.97,202606,27,"129,500",,21,개인,개인,2002,마들로 31,,중개거래,서울 노원구,
11,서울특별시 노원구 월계동,944,944,0,풍림아이원,84.303,202606,27,"92,000",,1,개인,개인,2005,화랑로47길 38,,중개거래,서울 노원구,
12,서울특별시 노원구 공릉동,760,760,0,화랑대디오베이션,59.9883,202606,27,"70,000",,12,개인,개인,2021,노원로1길 95,,중개거래,서울 노원구,
13,서울특별시 노원구 공릉동,737,737,0,삼익포레스트아파트,114.88,202606,27,"79,800",,8,개인,개인,1995,공릉로46길 32,,중개거래,서울 노원구,
14,서울특별시 노원구 공릉동,738,738,0,공릉우성아파트,84.97,202606,27,"73,300",,7,개인,개인,1995,동일로198길 24,,중개거래,서울 노원구,
15,서울특별시 노원구 공릉동,758,758,0,태릉해링턴플레이스,59.98,202606,27,"103,500",,19,개인,개인,2022,,,중개거래,서울 노원구,
16,서울특별시 노원구 공릉동,590-1,590,1,현대(고려)아파트,84.09,202606,27,"69,500",,4,개인,개인,1999,동일로176길 39-12,,중개거래,서울 노원구,
17,서울특별시 노원구 중계동,360-15,360,15,건영3,84.9,202606,27,"126,000",,15,개인,개인,1995,노원로22길 71,,중개거래,서울 노원구,
18,서울특별시 노원구 중계동,359-1,359,1,주공5,58.46,202606,27,"84,000",,7,개인,개인,1992,중계로 230,,중개거래,서울 노원구,
19,서울특별시 노원구 중계동,161-1,161,1,중앙하이츠,84.98,202606,27,"69,300",,15,개인,개인,1998,,,중개거래,"서울 노원구, 서울 도봉구",
20,서울특별시 노원구 중계동,587,587,0,양지마을(대림)1,84.9,202606,27,"100,000",,16,개인,개인,1998,덕릉로71길 30,,중개거래,서울 노원구,
21,서울특별시 노원구 중계동,502-1,502,1,중계그린1단지,59.87,202606,27,"74,500",,11,개인,개인,1990,동일로207길 17,,중개거래,서울 노원구,
22,서울특별시 노원구 중계동,515-2,515,2,건영2,75.02,202606,27,"76,500",,4,개인,개인,1991,덕릉로 517,,중개거래,서울 노원구,
23,서울특별시 노원구 중계동,361-1,361,1,롯데우성,115.26,202606,27,"146,500",,12,개인,개인,1993,노원로22길 34,,중개거래,서울 노원구,
24,서울특별시 노원구 중계동,512,512,0,중계무지개,59.26,202606,27,"73,000",,6,개인,개인,1991,동일로208길 20,,중개거래,"서울 노원구, 서울 성북구",
25,서울특별시 노원구 중계동,360-15,360,15,건영3,84.9,202606,27,"135,000",,11,개인,개인,1995,노원로22길 71,,중개거래,서울 노원구,
26,서울특별시 노원구 상계동,1128,1128,0,극동늘푸른,84.514,202606,27,"65,000",101,3,개인,개인,2000,동일로246길 39,,중개거래,서울 노원구,26.07.31
27,서울특별시 노원구 상계동,666,666,0,상계주공10(고층),61.52,202606,27,"72,900",,8,개인,개인,1988,노원로 564,,중개거래,서울 노원구,
28,서울특별시 노원구 상계동,720,720,0,상계주공6(고층),32.39,202606,27,"45,250",,1,개인,개인,1988,노해로 508,,중개거래,서울 노원구,
29,서울특별시 노원구 상계동,1282,1282,0,상계2차중앙하이츠,84.6,202606,27,"79,000",,1,개인,개인,1998,노원로 428,,중개거래,서울 노원구,
30,서울특별시 노원구 상계동,720,720,0,상계주공6(고층),58.01,202606,27,"80,000",,8,개인,개인,1988,노해로 508,,중개거래,서울 노원구,
31,서울특별시 노원구 상계동,1293,1293,0,불암현대,59.4,202606,27,"48,000",,3,개인,개인,1999,덕릉로118길 29,,중개거래,"서울 노원구, 서울 중구",
32,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),58.01,202606,27,"80,000",,7,개인,개인,1988,상계로1길 92,,중개거래,서울 노원구,
33,서울특별시 노원구 상계동,730-2,730,2,상계주공3(고층),38.0,202606,27,"60,000",,8,개인,개인,1988,동일로 1383,,중개거래,서울 노원구,
34,서울특별시 노원구 상계동,173-1,173,1,벽산,43.35,202606,27,"36,700",,8,개인,개인,1989,한글비석로 396,,중개거래,서울 노원구,
