NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 도봉구 창동,808,808,0,동아청솔,59.96,202505,7,"70,500",101,8,개인,개인,1997,노해로69길 103,,중개거래,서울 도봉구,25.08.12
2,서울특별시 도봉구 창동,825,825,0,북한산아이파크5차,84.4516,202505,7,"97,500",521,16,개인,개인,2004,도봉로136길 28,,중개거래,서울 도봉구,25.09.12
3,서울특별시 도봉구 창동,347,347,0,창동주공3단지(해등마을),61.52,202505,7,"59,900",,1,개인,개인,1990,해등로 50,20250729.0,중개거래,서울 도봉구,
4,서울특별시 도봉구 방학동,271-1,271,1,신동아아파트1,53.16,202505,7,"35,100",24,14,개인,개인,1988,시루봉로 107,,중개거래,서울 도봉구,25.08.13
5,서울특별시 도봉구 방학동,508,508,0,우성아파트2,84.98,202505,7,"52,500",103,10,개인,개인,1993,해등로 307,,중개거래,서울 도봉구,25.07.23
6,서울특별시 도봉구 쌍문동,56,56,0,삼익세라믹,40.11,202505,7,"29,000",113,12,개인,개인,1988,해등로 195,,중개거래,서울 도봉구,25.07.28
7,서울특별시 도봉구 도봉동,642,642,0,현대성우,59.04,202505,7,"40,200",,18,개인,개인,1998,마들로 735-8,,중개거래,서울 도봉구,25.07.25
8,서울특별시 도봉구 창동,825,825,0,북한산아이파크5차,84.4516,202505,6,"94,500",520,13,개인,개인,2004,도봉로136길 28,,중개거래,서울 도봉구,25.07.16
9,서울특별시 도봉구 도봉동,655,655,0,래미안도봉,84.55,202505,6,"72,000",101,4,개인,개인,2005,도봉로170길 40,,중개거래,서울 도봉구,25.07.02
10,서울특별시 도봉구 도봉동,642,642,0,현대성우,59.92,202505,6,"40,000",,17,개인,개인,1998,마들로 735-8,,중개거래,서울 도봉구,25.07.16
11,서울특별시 도봉구 쌍문동,733,733,0,솔밭노블리안,58.4,202505,6,"47,000",101,3,개인,개인,2019,삼양로 580-11,,중개거래,"서울 도봉구, 서울 은평구",25.06.26
12,서울특별시 도봉구 쌍문동,388-33,388,33,한양1,50.58,202505,6,"54,200",8,6,개인,개인,1986,우이천로 304,,중개거래,서울 도봉구,25.07.28
13,서울특별시 도봉구 창동,819,819,0,태영데시앙,84.995,202505,3,"74,000",109,1,개인,개인,2003,도봉로110다길 51,,중개거래,"서울 강북구, 서울 도봉구",25.07.30
14,서울특별시 도봉구 창동,715-3,715,3,미소애,45.466,202505,3,"35,000",,6,개인,개인,2005,해등로 139,,중개거래,서울 도봉구,25.05.15
15,서울특별시 도봉구 쌍문동,574,574,0,성원하이츠A동,71.22,202505,2,"40,000",,3,개인,개인,2004,도봉로133길 14,,직거래,,25.05.23
