NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 동대문구 용두동,104-3,104,3,동대문푸르지오시티(도시형생활주택),30.11,202606,28,"40,900",,9,개인,개인,2016,왕산로 86,,중개거래,서울 동대문구,
2,서울특별시 동대문구 답십리동,497-23,497,23,청계푸르지오시티,30.42,202606,28,"40,300",,20,개인,개인,2015,천호대로 257,,중개거래,서울 동대문구,
3,서울특별시 동대문구 제기동,1212,1212,0,한신아파트,84.76,202606,27,"119,000",,11,개인,개인,2004,고산자로 534,,중개거래,서울 동대문구,
4,서울특별시 동대문구 용두동,797,797,0,청량리역해링턴플레이스,84.873,202606,27,"149,700",,36,개인,개인,2023,고산자로34길 70,,중개거래,서울 동대문구,
5,서울특별시 동대문구 장안동,329-3,329,3,래미안장안2차,81.05,202606,27,"118,000",,1,개인,개인,2007,장안벚꽃로 167,,중개거래,서울 동대문구,
6,서울특별시 동대문구 장안동,372-12,372,12,아르떼하임,53.34,202606,27,"39,000",,14,개인,개인,2019,장한로 107,,중개거래,서울 동대문구,26.07.29
7,서울특별시 동대문구 용두동,792,792,0,래미안 허브리츠,84.96,202606,27,"160,000",,18,개인,개인,2011,정릉천동로 36,,중개거래,"경기 용인시 기흥구, 서울 동대문구",
8,서울특별시 동대문구 휘경동,368,368,0,브라운스톤휘경,59.78,202606,27,"95,000",,9,개인,개인,2013,망우로20길 86,,중개거래,서울 동대문구,
9,서울특별시 동대문구 휘경동,78,78,0,롯데,59.94,202606,27,"83,000",,15,개인,개인,2000,망우로 95,,중개거래,서울 동대문구,
10,서울특별시 동대문구 이문동,84,84,0,중앙하이츠빌,59.4,202606,27,"96,000",,16,개인,개인,2002,외대역동로 101,,중개거래,서울 동대문구,
11,서울특별시 동대문구 신설동,96-48,96,48,신설동역자이르네,43.851,202606,27,"73,000",102동,4,개인,개인,2024,천호대로 26,,중개거래,서울 성동구,26.07.06
12,서울특별시 동대문구 이문동,54,54,0,현대,114.6,202606,27,"99,500",,11,개인,개인,2000,한천로58길 107,,중개거래,"서울 동대문구, 서울 중랑구",
13,서울특별시 동대문구 이문동,54,54,0,현대,84.56,202606,27,"99,000",,25,개인,개인,2000,한천로58길 107,,중개거래,"서울 동대문구, 서울 중랑구",
14,서울특별시 동대문구 휘경동,57,57,0,휘경리오포레아파트(1단지),84.86,202606,27,"107,000",,7,개인,개인,2001,한천로 248,,중개거래,"서울 동대문구, 서울 중랑구",
15,서울특별시 동대문구 답십리동,1013,1013,0,래미안미드카운티,84.97,202606,27,"168,000",,14,개인,개인,2019,답십리로 141,,중개거래,서울 동대문구,
16,서울특별시 동대문구 제기동,1212,1212,0,한신아파트,84.76,202606,27,"120,000",,21,개인,개인,2004,고산자로 534,,중개거래,서울 동대문구,
17,서울특별시 동대문구 답십리동,1003,1003,0,래미안위브,59.96,202606,27,"161,000",,11,개인,개인,2014,답십리로 130,,중개거래,서울 동대문구,
18,서울특별시 동대문구 답십리동,989-1,989,1,우성그린,59.36,202606,27,"59,500",,4,개인,개인,1997,답십리로59길 33,,중개거래,서울 동대문구,
19,서울특별시 동대문구 답십리동,1001,1001,0,한신휴플러스그린파크,59.92,202606,27,"102,000",,1,개인,개인,2010,답십리로38길 14,,중개거래,서울 동대문구,
20,서울특별시 동대문구 답십리동,1001,1001,0,한신휴플러스그린파크,114.98,202606,27,"130,000",,8,개인,개인,2010,답십리로38길 14,,중개거래,서울 동대문구,
