NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 동작구 노량진동,323,323,0,우성,84.96,202505,7,"110,000",102,4,개인,개인,1997,만양로8길 50,,중개거래,서울 동작구,25.09.11
2,서울특별시 동작구 사당동,1131,1131,0,두산위브트레지움,84.422,202505,7,"165,000",104,16,개인,개인,2011,사당로13길 31,,중개거래,서울 동작구,25.06.10
3,서울특별시 동작구 상도동,521,521,0,포스코더샵,59.99,202505,7,"130,000",111,13,개인,개인,2007,장승배기로4길 9,,중개거래,서울 동작구,25.06.19
4,서울특별시 동작구 대방동,508,508,0,대방1차e-편한세상,84.32,202505,7,"133,500",102,8,개인,개인,2003,알마타길 37,,중개거래,서울 동작구,26.01.28
5,서울특별시 동작구 대방동,506,506,0,현대홈타운2,59.89,202505,7,"85,000",205,2,개인,개인,1999,알마타길 58,,중개거래,서울 동작구,25.11.12
6,서울특별시 동작구 흑석동,340,340,0,롯데캐슬에듀포레,84.9912,202505,7,"198,000",104,18,개인,개인,2018,서달로 123,,중개거래,서울 동작구,25.08.05
7,서울특별시 동작구 흑석동,336,336,0,흑석한강푸르지오,84.98,202505,7,"163,000",105,3,개인,개인,2012,흑석한강로 27,,중개거래,서울 동작구,25.07.02
8,서울특별시 동작구 상도동,363-164,363,164,상도휴엔하임,14.7,202505,7,"14,200",상도휴엔하임,11,개인,개인,2016,상도로15길 131,,중개거래,서울 동작구,25.05.15
9,서울특별시 동작구 흑석동,329,329,0,우리유앤미,59.6618,202505,7,"87,500",101,10,개인,개인,2003,서달로 83,,중개거래,서울 동작구,25.07.28
10,서울특별시 동작구 상도동,904,904,0,상도역롯데캐슬파크엘,59.9818,202505,7,"144,000",108,19,개인,개인,2021,양녕로 220,,중개거래,서울 동작구,25.05.27
11,서울특별시 동작구 상도동,408,408,0,상도동삼호아파트,83.89,202505,7,"84,000",101,3,개인,개인,1994,상도로 407,,중개거래,서울 관악구,25.07.28
12,서울특별시 동작구 본동,481,481,0,신동아,46.75,202505,7,"71,000",2,2,개인,개인,1993,매봉로 134,,중개거래,서울 동작구,25.07.15
13,서울특별시 동작구 노량진동,323,323,0,우성,124.77,202505,7,"114,500",105,3,개인,개인,1997,만양로8길 50,,중개거래,서울 동작구,25.08.01
14,서울특별시 동작구 동작동,333,333,0,이수힐스테이트,84.9817,202505,6,"184,000",107,9,개인,개인,2013,동작대로39길 22,,중개거래,"서울 동작구, 서울 서초구",25.07.24
15,서울특별시 동작구 노량진동,325,325,0,신동아리버파크,59.67,202505,6,"88,500",706,1,개인,개인,2001,만양로 19,,중개거래,서울 동작구,25.08.21
16,서울특별시 동작구 대방동,41,41,0,신한토탈,50.06,202505,6,"48,800",,1,개인,개인,1997,등용로14길 34,,중개거래,서울 동작구,25.07.24
17,서울특별시 동작구 노량진동,325,325,0,신동아리버파크,59.67,202505,6,"104,800",706,7,개인,개인,2001,만양로 19,,중개거래,서울 동작구,25.08.01
18,서울특별시 동작구 노량진동,331,331,0,형인한강,76.05,202505,6,"78,000",1,13,개인,개인,2001,만양로 36,,중개거래,서울 동작구,25.07.28
19,서울특별시 동작구 노량진동,57-1,57,1,메가스터디타워,15.974,202505,6,"15,500",메가스터디타워,11,개인,개인,2015,노량진로 140,,중개거래,서울 동작구,25.06.02
20,서울특별시 동작구 노량진동,325,325,0,신동아리버파크,114.75,202505,6,"129,000",705,12,개인,개인,2001,만양로 19,,중개거래,서울 동작구,25.06.20
21,서울특별시 동작구 상도동,431,431,0,래미안상도3차,84.96,202505,6,"134,000",312,8,개인,개인,2004,상도로53길 8,,중개거래,서울 동작구,25.07.24
22,서울특별시 동작구 본동,492,492,0,삼성래미안,84.2261,202505,6,"124,000",101,8,개인,개인,2004,매봉로 123,,중개거래,서울 동작구,25.08.29
23,서울특별시 동작구 상도1동,317-1,317,1,숭실그랜드,70.24,202505,5,"45,800",,2,개인,개인,2003,상도로47다길 29,,중개거래,서울 동작구,25.07.21
24,서울특별시 동작구 노량진동,325,325,0,신동아리버파크,84.88,202505,5,"117,000",703,6,개인,개인,2001,만양로 19,,중개거래,서울 동작구,25.06.30
25,서울특별시 동작구 사당동,105,105,0,신동아4,59.89,202505,5,"95,000",402,1,개인,개인,1993,동작대로29길 110,,중개거래,서울 동작구,25.08.29
26,서울특별시 동작구 대방동,508,508,0,대방1차e-편한세상,84.32,202505,5,"136,000",105,11,개인,개인,2003,알마타길 37,,중개거래,서울 동작구,25.09.01
27,서울특별시 동작구 신대방동,711,711,0,보라매파크빌,84.59,202505,4,"108,000",101,5,개인,개인,2002,여의대방로10길 59,,중개거래,서울 동작구,25.06.20
28,서울특별시 동작구 신대방동,712,712,0,신대방경남,78.19,202505,4,"88,000",103,13,개인,개인,2003,신대방길 85,,중개거래,서울 동작구,25.08.21
29,서울특별시 동작구 흑석동,28,28,0,한강현대,114.44,202505,3,"244,500",105,4,개인,개인,1988,현충로 151,,중개거래,"서울 동작구, 서울 서초구",25.09.22
30,서울특별시 동작구 본동,492,492,0,삼성래미안,114.9855,202505,3,"143,000",104,12,개인,개인,2004,매봉로 123,,중개거래,서울 동작구,25.08.12
31,서울특별시 동작구 사당동,105,105,0,극동(105),109.7,202505,3,"116,000",101,13,개인,개인,1993,동작대로29길 119,,중개거래,서울 동작구,25.09.29
32,서울특별시 동작구 사당동,1160,1160,0,사당롯데캐슬골든포레,84.9857,202505,3,"131,500",113,5,개인,개인,2021,사당로 90,,중개거래,서울 동작구,25.08.07
33,서울특별시 동작구 사당동,206-127,206,127,사당휴브리지(206-127),12.42,202505,3,"13,600",,4,개인,개인,2015,사당로 158,,중개거래,서울 동작구,25.05.23
34,서울특별시 동작구 사당동,105,105,0,신동아4,59.89,202505,3,"111,000",405,15,개인,개인,1993,동작대로29길 110,,중개거래,서울 동작구,25.07.30
35,서울특별시 동작구 사당동,105,105,0,사당우성2,84.66,202505,3,"143,000",205,5,개인,개인,1993,동작대로29길 91,,중개거래,서울 동작구,25.07.22
