NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 동작구 신대방동,686-48,686,48,동작협성휴포레시그니처,84.9869,202606,28,"120,000",104동,6,개인,개인,2022,시흥대로 606,,중개거래,서울 영등포구,26.07.28
2,서울특별시 동작구 대방동,501,501,0,대림아파트,59.84,202606,27,"154,500",,17,개인,개인,1993,여의대방로44길 10,,중개거래,서울 동작구,
3,서울특별시 동작구 대방동,501,501,0,대림아파트,84.92,202606,27,"177,000",,18,개인,개인,1993,여의대방로44길 10,,중개거래,서울 동작구,
4,서울특별시 동작구 대방동,501,501,0,대림아파트,59.84,202606,27,"152,000",,11,개인,개인,1993,여의대방로44길 10,,중개거래,서울 동작구,
5,서울특별시 동작구 상도동,533,533,0,힐스테이트 상도 프레스티지,120.004,202606,27,"220,000",,11,개인,개인,2013,상도로 346-2,,중개거래,서울 동작구,
6,서울특별시 동작구 신대방동,565,565,0,우성1차,66.69,202606,27,"121,000",,3,개인,개인,1988,여의대방로 22,,중개거래,서울 동작구,
7,서울특별시 동작구 사당동,1139,1139,0,사당자이,59.89,202606,27,"120,700",,10,개인,개인,1999,사당로2가길 102,,중개거래,서울 동작구,
8,서울특별시 동작구 대방동,501,501,0,대림아파트,84.92,202606,27,"180,000",,3,개인,개인,1993,여의대방로44길 10,,중개거래,"서울 동작구, 서울 영등포구",
9,서울특별시 동작구 대방동,503,503,0,주공2,59.97,202606,27,"142,000",,1,개인,개인,1995,여의대방로44길 47,,중개거래,서울 동작구,
10,서울특별시 동작구 사당동,1155,1155,0,대성유니드,84.93,202606,27,"124,500",,5,개인,개인,2009,동작대로29길 195,,중개거래,서울 동작구,
11,서울특별시 동작구 신대방동,713,713,0,롯데낙천대,55.4561,202606,27,"124,500",,6,개인,개인,2003,여의대방로10길 38,,중개거래,"서울 동작구, 서울 영등포구",
12,서울특별시 동작구 대방동,501,501,0,대림아파트,59.84,202606,26,"147,000",,11,개인,개인,1993,여의대방로44길 10,,중개거래,서울 동작구,
13,서울특별시 동작구 대방동,508,508,0,대방1차e-편한세상,84.32,202606,26,"175,000",,19,개인,개인,2003,알마타길 37,,중개거래,서울 동작구,
14,서울특별시 동작구 상도동,412,412,0,상도현대,59.72,202606,26,"88,000",,3,개인,개인,2003,사당로2길 2-32,,중개거래,서울 관악구,
15,서울특별시 동작구 사당동,1151,1151,0,갑을명가,62.9477,202606,25,"79,500",,3,개인,개인,2006,솔밭로 65,,중개거래,서울 동작구,
16,서울특별시 동작구 상도동,904,904,0,상도역롯데캐슬파크엘,84.9807,202606,25,"170,000",,1,개인,개인,2021,양녕로 220,,중개거래,서울 동작구,
17,서울특별시 동작구 사당동,105,105,0,사당우성3,84.66,202606,25,"183,500",,10,개인,개인,1993,동작대로29길 115,,중개거래,"서울 관악구, 서울 동작구",
18,서울특별시 동작구 신대방동,686-48,686,48,동작협성휴포레시그니처,84.9869,202606,25,"125,000",,6,개인,개인,2022,시흥대로 606,,중개거래,"서울 동작구, 서울 영등포구",
19,서울특별시 동작구 상도동,431,431,0,래미안상도3차,59.97,202606,24,"162,000",312,14,개인,개인,2004,상도로53길 8,,중개거래,"서울 동작구, 서울 성동구",26.08.12
20,서울특별시 동작구 노량진동,324,324,0,건영(103동-106동),84.94,202606,24,"152,500",,11,개인,개인,1997,만양로 26,,중개거래,서울 동작구,
21,서울특별시 동작구 사당동,105,105,0,사당우성2,59.89,202606,24,"161,500",208,9,개인,개인,1993,동작대로29길 91,,중개거래,서울 동작구,26.06.30
22,서울특별시 동작구 신대방동,719,719,0,동작상떼빌,132.43,202606,23,"136,500",,24,개인,개인,2006,신대방1가길 38,,중개거래,서울 동작구,
23,서울특별시 동작구 신대방동,565-21,565,21,우성2차,59.47,202606,23,"89,500",102,7,개인,개인,1995,여의대방로 8,,중개거래,"서울 도봉구, 서울 동작구",26.07.29
24,서울특별시 동작구 사당동,105,105,0,신동아4,84.46,202606,23,"165,000",,4,개인,개인,1993,동작대로29길 110,,중개거래,서울 동작구,
25,서울특별시 동작구 상도동,450,450,0,상도동래미안1차,59.828,202606,23,"134,000",,13,개인,개인,2004,등용로 37,,중개거래,서울 동작구,
26,서울특별시 동작구 사당동,240-15,240,15,제일,60.03,202606,23,"119,000",,8,개인,개인,1987,사당로16다길 57,,중개거래,서울 동작구,
27,서울특별시 동작구 사당동,1160,1160,0,사당롯데캐슬골든포레,84.9824,202606,23,"173,000",,4,개인,개인,2021,사당로 90,,중개거래,"서울 동작구, 서울 영등포구",
28,서울특별시 동작구 신대방동,565-21,565,21,우성2차,59.47,202606,22,"88,000",,3,개인,개인,1995,여의대방로 8,,중개거래,서울 동작구,
