NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 마포구 대흥동,660,660,0,대흥동태영아파트,59.4,202606,27,"172,000",,10,개인,개인,1999,독막로 266,,중개거래,서울 마포구,
2,서울특별시 마포구 신공덕동,155,155,0,신공덕1차삼성래미안1아파트,84.9,202606,27,"218,000",,22,개인,개인,2000,백범로37길 12,,중개거래,서울 마포구,
3,서울특별시 마포구 망원동,483-6,483,6,목화,84.67,202606,27,"82,500",,2,개인,개인,2003,망원로 89,,중개거래,서울 마포구,
4,서울특별시 마포구 대흥동,660,660,0,대흥동태영아파트,84.77,202606,27,"205,000",,14,개인,개인,1999,독막로 266,,중개거래,서울 마포구,
5,서울특별시 마포구 창전동,437,437,0,창전래미안,84.93,202606,27,"172,000",,16,개인,개인,1998,서강로 95,,중개거래,서울 마포구,
6,서울특별시 마포구 상암동,1660,1660,0,상암월드컵파크7단지,84.9,202606,27,"136,000",,10,개인,개인,2005,상암산로1길 92,,중개거래,서울 마포구,
7,서울특별시 마포구 상암동,1637,1637,0,상암월드컵파크2단지,49.8,202606,27,"115,000",,7,개인,개인,2003,월드컵북로47길 46,,중개거래,서울 마포구,
8,서울특별시 마포구 상암동,1643,1643,0,상암월드컵파크3단지,84.94,202606,27,"144,000",,8,개인,개인,2003,월드컵로 338,,중개거래,서울 마포구,
9,서울특별시 마포구 신공덕동,155,155,0,신공덕1차삼성래미안1아파트,84.9,202606,27,"202,000",,12,개인,개인,2000,백범로37길 12,,중개거래,서울 마포구,
10,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오1단지,59.9236,202606,27,"212,000",,21,개인,개인,2014,마포대로 195,,중개거래,서울 마포구,
11,서울특별시 마포구 아현동,804,804,0,더클래시,84.98,202606,27,"239,500",,4,개인,개인,2022,신촌로28길 50,,중개거래,서울 마포구,
12,서울특별시 마포구 도화동,353,353,0,현대홈타운,84.95,202606,27,"170,000",,16,개인,개인,2000,새창로8길 72,,중개거래,"서울 광진구, 서울 마포구",
13,서울특별시 마포구 중동,390,390,0,DMC마포청구아파트,84.9,202606,27,"119,000",,17,개인,개인,1994,성암로11길 60,,중개거래,서울 마포구,
14,서울특별시 마포구 성산동,446,446,0,성산시영(대우),50.03,202606,26,"146,000",,12,개인,개인,1986,월드컵북로 260,,중개거래,서울 마포구,
15,서울특별시 마포구 마포동,442,442,0,보성,114.78,202606,26,"160,000",,5,개인,개인,1996,마포대로4길 90,,중개거래,서울 마포구,
16,서울특별시 마포구 창전동,438,438,0,신촌금호,84.86,202606,26,"130,000",101,5,개인,개인,2001,서강로9길 19,,중개거래,서울 마포구,26.08.06
17,서울특별시 마포구 대흥동,660,660,0,대흥동태영아파트,84.77,202606,26,"210,000",,15,개인,개인,1999,독막로 266,,직거래,,
18,서울특별시 마포구 신정동,30,30,0,서강GS,59.98,202606,26,"155,800",,8,개인,개인,1999,창전로 26,,중개거래,서울 마포구,
19,서울특별시 마포구 합정동,466,466,0,장미(466-0),78.22,202606,26,"82,000",,7,개인,개인,2000,어울마당로 11,,중개거래,서울 마포구,
20,서울특별시 마포구 도화동,536,536,0,정우상가맨션,114.89,202606,26,"150,000",,8,개인,개인,1983,토정로37길 46,,중개거래,서울 마포구,
21,서울특별시 마포구 신수동,462,462,0,신촌숲아이파크,59.751,202606,25,"200,500",,3,개인,개인,2019,광성로 17,,중개거래,"서울 마포구, 서울 영등포구",
22,서울특별시 마포구 용강동,502,502,0,래미안마포리버웰,84.96,202606,25,"285,000",,19,개인,개인,2015,토정로31길 23,,중개거래,서울 마포구,
23,서울특별시 마포구 용강동,495-1,495,1,강변그린,59.5,202606,25,"67,000",,2,개인,개인,1999,대흥로2길 8,,중개거래,서울 마포구,
24,서울특별시 마포구 중동,393,393,0,건영월드컵,78.39,202606,25,"79,000",,1,개인,개인,2002,성암로 41,,중개거래,서울 마포구,
25,서울특별시 마포구 연남동,250-8,250,8,서암,67.08,202606,25,"71,000",,3,개인,개인,2004,성미산로27길 6,,중개거래,서울 마포구,
26,서울특별시 마포구 마포동,442,442,0,보성,59.4,202606,25,"95,000",,1,개인,개인,1996,마포대로4길 90,,중개거래,서울 마포구,
27,서울특별시 마포구 창전동,439,439,0,신촌태영데시앙,84.97,202606,25,"155,000",,12,개인,개인,2003,서강로9길 45,,중개거래,서울 마포구,
28,서울특별시 마포구 망원동,525,525,0,솔루체2차아파트,48.13,202606,24,"63,300",,3,개인,개인,2022,월드컵로31길 116,,중개거래,서울 마포구,26.08.03
29,서울특별시 마포구 성산동,600,600,0,성사1차풍림아파트101동,59.85,202606,24,"67,000",,16,개인,개인,2000,성암로1길 8,,중개거래,서울 마포구,
30,서울특별시 마포구 도화동,82,82,0,우성,79.97,202606,24,"177,500",,6,개인,개인,1991,삼개로 38,,중개거래,서울 마포구,
31,서울특별시 마포구 상암동,1660,1660,0,상암월드컵파크7단지,84.9,202606,23,"139,500",,14,개인,개인,2005,상암산로1길 92,,중개거래,서울 마포구,
32,서울특별시 마포구 상암동,1736,1736,0,상암월드컵파크10단지,84.89,202606,23,"114,500",,11,개인,개인,2010,월드컵북로 502-36,,중개거래,서울 마포구,
33,서울특별시 마포구 상암동,1752,1752,0,상암월드컵파크9단지,84.89,202606,23,"109,000",,2,개인,개인,2010,월드컵북로 501,,중개거래,서울 마포구,
34,서울특별시 마포구 창전동,437,437,0,창전래미안,59.94,202606,23,"139,000",,2,개인,개인,1998,서강로 95,,중개거래,서울 마포구,
35,서울특별시 마포구 망원동,523,523,0,마포월드컵제이스카이,59.97,202606,23,"89,000",,7,개인,개인,2021,방울내로11길 38,,중개거래,경기 고양시 일산동구,
36,서울특별시 마포구 서교동,490,490,0,메세나폴리스,148.981,202606,22,"295,000",,27,개인,법인,2012,양화로 45,,중개거래,서울 마포구,
37,서울특별시 마포구 도화동,82,82,0,우성,79.97,202606,22,"175,000",3,6,개인,개인,1991,삼개로 38,,중개거래,서울 마포구,26.08.10
38,서울특별시 마포구 공덕동,111-7,111,7,로즈빌A,84.72,202606,22,"75,000",,4,개인,개인,2004,임정로25길 21,20260625.0,직거래,,
39,서울특별시 마포구 연남동,573,573,0,코오롱,84.936,202606,22,"144,000",,7,개인,개인,2003,연남로 52,,중개거래,서울 마포구,
40,서울특별시 마포구 상암동,1660,1660,0,상암월드컵파크7단지,84.74,202606,21,"136,500",,5,개인,개인,2005,상암산로1길 92,,중개거래,"서울 마포구, 서울 영등포구",
41,서울특별시 마포구 도화동,555,555,0,한화오벨리스크,59.0,202606,21,"110,000",,34,개인,개인,2004,마포대로 33,,중개거래,"경기 부천시 원미구, 서울 마포구",
42,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오4단지,84.5978,202606,20,"250,000",,18,개인,개인,2014,마포대로 195,,중개거래,서울 마포구,
43,서울특별시 마포구 대흥동,806,806,0,마포그랑자이,59.98,202606,20,"207,000",,4,개인,개인,2020,대흥로 175,,중개거래,서울 마포구,
44,서울특별시 마포구 신수동,459,459,0,밤섬경남아너스빌,84.83,202606,20,"187,000",,22,개인,개인,2009,독막로28길 10,,중개거래,서울 마포구,
45,서울특별시 마포구 서교동,487,487,0,대우미래사랑,68.03,202606,20,"68,000",,5,개인,개인,2005,월드컵북로5나길 18,,중개거래,서울 마포구,
46,서울특별시 마포구 아현동,800,800,0,공덕자이,59.99,202606,20,"222,000",,4,개인,개인,2015,마포대로24길 16,,중개거래,서울 마포구,
47,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오2단지,84.8919,202606,19,"250,000",,19,개인,개인,2014,마포대로 195,,중개거래,서울 마포구,
48,서울특별시 마포구 망원동,499,499,0,한강2차대주피오레,84.97,202606,19,"110,000",,8,개인,개인,2003,동교로3길 115,,중개거래,서울 마포구,
49,서울특별시 마포구 연남동,259-1,259,1,대명,84.99,202606,18,"110,000",,5,개인,개인,1995,동교로39길 11,,중개거래,서울 마포구,
50,서울특별시 마포구 도화동,536,536,0,정우상가맨션,125.88,202606,18,"150,000",,5,개인,개인,1983,토정로37길 46,,중개거래,서울 마포구,
51,서울특별시 마포구 상암동,1637,1637,0,상암월드컵파크2단지,59.84,202606,17,"129,500",,5,개인,개인,2003,월드컵북로47길 46,,중개거래,서울 마포구,
52,서울특별시 마포구 신수동,451,451,0,세양청마루,57.44,202606,17,"123,000",,5,개인,개인,2003,독막로 209,,중개거래,서울 마포구,
53,서울특별시 마포구 상수동,398,398,0,래미안밤섬리베뉴Ⅱ,84.92,202606,17,"230,000",,5,개인,개인,2014,독막로20나길 21,,중개거래,"경기 광명시, 서울 마포구",
54,서울특별시 마포구 염리동,161-1,161,1,중앙하이츠,83.82,202606,17,"142,000",,16,개인,개인,1998,독막로 289,,중개거래,서울 마포구,
55,서울특별시 마포구 상암동,1643,1643,0,상암월드컵파크3단지,84.94,202606,16,"133,000",,4,개인,개인,2003,월드컵로 338,,중개거래,서울 마포구,
56,서울특별시 마포구 공덕동,460,460,0,한화꿈에그린,84.939,202606,16,"175,000",101,4,개인,개인,2004,마포대로10길 22,,직거래,,26.06.19
57,서울특별시 마포구 공덕동,188-108,188,108,마포현대,84.87,202606,16,"166,000",,10,개인,개인,1988,마포대로11길 84,,중개거래,서울 마포구,
58,서울특별시 마포구 하중동,101,101,0,한강밤섬자이,138.08,202606,15,"265,000",,15,개인,개인,2010,토정로 158,,중개거래,서울 마포구,
59,서울특별시 마포구 상암동,1618,1618,0,DMC상암센트럴파크2단지,51.96,202606,15,"90,000",,3,개인,개인,2009,월드컵북로42가길 11,,중개거래,서울 마포구,
60,서울특별시 마포구 도화동,82,82,0,우성,54.72,202606,15,"156,000",1,9,개인,개인,1991,삼개로 38,,중개거래,서울 마포구,26.07.31
61,서울특별시 마포구 창전동,440,440,0,창전동현대홈타운,84.978,202606,15,"160,000",,4,개인,개인,2005,서강로 83,,중개거래,서울 마포구,
62,서울특별시 마포구 염리동,161-1,161,1,중앙하이츠,83.82,202606,15,"147,000",,13,개인,개인,1998,독막로 289,20260716.0,중개거래,"대구 달서구, 서울 마포구",
63,서울특별시 마포구 성산동,446,446,0,성산시영(대우),50.03,202606,14,"91,200",24,1,개인,개인,1986,월드컵북로 235,,중개거래,서울 마포구,26.07.06
64,서울특별시 마포구 대흥동,806,806,0,마포그랑자이,84.98,202606,14,"261,500",,7,개인,개인,2020,대흥로 175,20260814.0,중개거래,서울 마포구,
65,서울특별시 마포구 대흥동,806,806,0,마포그랑자이,84.98,202606,14,"261,500",,7,개인,개인,2020,대흥로 175,,중개거래,서울 마포구,
66,서울특별시 마포구 창전동,42-7,42,7,중앙하이츠101동,57.86,202606,13,"59,700",101,4,개인,개인,2007,와우산로30길 135,,중개거래,서울 동작구,26.07.13
67,서울특별시 마포구 서교동,247-72,247,72,함성참좋은,95.54,202606,13,"83,000",,5,개인,개인,2004,월드컵로20길 46,,중개거래,서울 마포구,
68,서울특별시 마포구 염리동,532,532,0,마포프레스티지자이,84.9422,202606,13,"283,000",,18,개인,개인,2021,대흥로24길 24,,중개거래,서울 마포구,
69,서울특별시 마포구 성산동,601,601,0,성산월드타운대림,59.888,202606,13,"108,000",,11,개인,개인,2004,월드컵북로30길 9-22,,중개거래,서울 마포구,
70,서울특별시 마포구 공덕동,457,457,0,공덕3삼성래미안,59.97,202606,13,"207,500",,16,개인,개인,2004,마포대로7길 22,,중개거래,서울 마포구,
71,서울특별시 마포구 창전동,440,440,0,창전동현대홈타운,59.651,202606,12,"80,000",,4,개인,개인,2005,서강로 83,20260702.0,직거래,,
72,서울특별시 마포구 상암동,1660,1660,0,상암월드컵파크7단지,84.45,202606,12,"138,000",,6,개인,개인,2005,상암산로1길 92,,중개거래,서울 마포구,
73,서울특별시 마포구 도화동,555,555,0,한화오벨리스크,59.0,202606,12,"94,000",,25,개인,개인,2004,마포대로 33,,중개거래,서울 마포구,
74,서울특별시 마포구 서교동,487,487,0,대우미래사랑,34.29,202606,12,"30,950",,6,개인,개인,2005,월드컵북로5나길 18,,중개거래,서울 마포구,26.07.24
75,서울특별시 마포구 도화동,536,536,0,정우상가맨션,126.07,202606,12,"147,500",,10,개인,개인,1983,토정로37길 46,,중개거래,서울 서대문구,
76,서울특별시 마포구 공덕동,479,479,0,공덕SK리더스뷰,115.61,202606,12,"280,000",,5,개인,개인,2021,백범로31길 7,,중개거래,서울 마포구,
77,서울특별시 마포구 공덕동,479,479,0,공덕SK리더스뷰,59.92,202606,11,"207,500",,20,개인,개인,2021,백범로31길 8,,중개거래,서울 마포구,
78,서울특별시 마포구 공덕동,460,460,0,한화꿈에그린,84.939,202606,11,"193,500",101,10,개인,개인,2004,마포대로10길 22,,중개거래,서울 마포구,26.07.01
79,서울특별시 마포구 도화동,353,353,0,현대홈타운,113.25,202606,11,"182,500",,20,개인,개인,2000,새창로8길 72,,중개거래,서울 마포구,
80,서울특별시 마포구 도화동,555,555,0,한화오벨리스크,85.0,202606,11,"150,000",,19,개인,개인,2004,마포대로 33,,중개거래,서울 마포구,
81,서울특별시 마포구 아현동,732,732,0,삼환나띠르빌,84.9,202606,11,"118,000",101,10,개인,개인,2003,마포대로 183-16,,직거래,,26.07.22
82,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오3단지,114.588,202606,11,"265,000",,14,개인,개인,2014,마포대로 195,,중개거래,서울 마포구,
83,서울특별시 마포구 신공덕동,159,159,0,신공덕래미안2차,59.48,202606,11,"155,000",206,8,개인,개인,2000,만리재로 74,,중개거래,서울 마포구,26.07.23
84,서울특별시 마포구 중동,40-12,40,12,현대,59.55,202606,11,"94,000",,6,개인,개인,2000,성암로7길 3,,중개거래,서울 마포구,
85,서울특별시 마포구 중동,392,392,0,마포중동현대,84.9,202606,11,"121,500",105,5,개인,개인,2001,성암로 91,,중개거래,서울 마포구,26.07.24
86,서울특별시 마포구 중동,392,392,0,마포중동현대,59.88,202606,11,"109,000",104,12,개인,개인,2001,성암로 91,,중개거래,서울 마포구,26.07.24
87,서울특별시 마포구 염리동,520,520,0,염리삼성래미안,59.76,202606,10,"164,800",,6,개인,개인,2001,백범로25길 63,,중개거래,서울 마포구,
