NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서대문구 연희동,740,740,0,성원,59.61,202505,7,"70,000",101,11,개인,개인,2001,연희로32길 48,,중개거래,서울 서대문구,25.06.27
2,서울특별시 서대문구 홍은동,281,281,0,로하스,64.31,202505,7,"43,000",,4,개인,개인,2010,모래내로17길 21,,중개거래,서울 서대문구,25.08.14
3,서울특별시 서대문구 홍은동,455,455,0,홍은동벽산,84.78,202505,7,"68,500",116,10,개인,개인,1997,세검정로1길 95,,중개거래,서울 서대문구,25.08.12
4,서울특별시 서대문구 현저동,200,200,0,독립문극동(200-0),84.87,202505,7,"123,000",107,22,개인,개인,1998,독립문공원길 17,,중개거래,서울 서대문구,25.07.18
5,서울특별시 서대문구 홍제동,467,467,0,인왕산어울림,119.82,202505,7,"102,000",102,8,개인,개인,2006,통일로26길 17,,중개거래,서울 서대문구,25.08.08
6,서울특별시 서대문구 북아현동,1013,1013,0,e편한세상신촌3단지,59.85,202505,7,"158,000",302,14,개인,개인,2018,북아현로 29,,중개거래,서울 서대문구,25.08.06
7,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,59.97,202505,6,"107,300",105,11,개인,개인,2012,수색로 100,,중개거래,서울 서대문구,25.07.14
8,서울특별시 서대문구 현저동,200,200,0,독립문극동(200-0),59.58,202505,6,"102,000",113,6,개인,개인,1998,독립문공원길 17,,중개거래,서울 서대문구,25.08.20
9,서울특별시 서대문구 홍제동,474,474,0,홍제역해링턴플레이스,59.99,202505,6,"113,500",114,9,개인,개인,2024,세무서8길 30,,중개거래,서울 은평구,25.06.16
10,서울특별시 서대문구 남가좌동,390,390,0,래미안루센티아,84.83,202505,6,"128,000",110,11,개인,개인,2020,거북골로 100,,중개거래,서울 서대문구,25.10.17
11,서울특별시 서대문구 남가좌동,390,390,0,래미안루센티아,84.83,202505,6,"128,000",,11,개인,개인,2020,거북골로 100,20250912.0,중개거래,서울 서대문구,
12,서울특별시 서대문구 홍제동,459,459,0,홍제원현대(459-0),114.72,202505,5,"98,800",102,3,개인,개인,2000,통일로34길 43,,중개거래,서울 서대문구,25.05.26
13,서울특별시 서대문구 홍제동,478,478,0,서대문푸르지오센트럴파크,59.94,202505,5,"128,500",110,7,개인,개인,2022,통일로 339,,중개거래,"서울 동작구, 서울 서대문구",25.07.31
14,서울특별시 서대문구 남가좌동,379,379,0,래미안남가좌2차,84.806,202505,5,"107,500",109,13,개인,개인,2005,수색로6길 43,,중개거래,서울 서대문구,25.07.09
15,서울특별시 서대문구 남가좌동,385,385,0,DMC파크뷰자이3단지,59.981,202505,5,"106,700",304,4,개인,개인,2015,가재울미래로 2,,중개거래,서울 서대문구,25.08.29
16,서울특별시 서대문구 홍제동,471,471,0,금호어울림,84.7861,202505,5,"83,000",101,9,개인,개인,2016,모래내로 411,,직거래,,25.07.18
17,서울특별시 서대문구 남가좌동,385,385,0,DMC파크뷰자이2단지,84.99,202505,3,"95,000",219,25,개인,개인,2015,가재울미래로 2,,직거래,,25.06.02
18,서울특별시 서대문구 홍은동,461,461,0,홍은센트레빌,84.84,202505,3,"79,000",1단지 101,1,개인,개인,2009,통일로 553,,중개거래,서울 서대문구,25.06.24
19,서울특별시 서대문구 홍은동,456,456,0,두산,59.73,202505,3,"59,000",103,10,개인,개인,1997,모래내로 309,,중개거래,서울 서대문구,25.07.21
20,서울특별시 서대문구 홍제동,82,82,0,홍제한양,60.06,202505,3,"66,500",103,15,개인,개인,1993,통일로25길 30,,중개거래,서울 서대문구,25.07.11
21,서울특별시 서대문구 홍제동,474,474,0,홍제역해링턴플레이스,39.38,202505,3,"77,200",111,19,개인,개인,2024,세무서8길 30,,중개거래,서울 서대문구,25.05.19
22,서울특별시 서대문구 홍제동,474,474,0,홍제역해링턴플레이스,84.95,202505,3,"133,500",108,10,개인,개인,2024,세무서8길 30,,중개거래,서울 서대문구,25.06.10
23,서울특별시 서대문구 홍제동,473,473,0,홍제센트럴IPARK,84.9644,202505,3,"123,800",107,4,개인,개인,2020,통일로 395,,중개거래,서울 서대문구,25.06.13
24,서울특별시 서대문구 홍제동,460,460,0,인왕산현대,114.72,202505,3,"95,000",103,2,개인,개인,2000,통일로34길 46,,중개거래,"경기 김포시, 서울 서대문구",25.06.10
25,서울특별시 서대문구 홍제동,474,474,0,홍제역해링턴플레이스,39.38,202505,3,"79,500",110,14,개인,개인,2024,세무서8길 30,,중개거래,서울 서대문구,25.06.20
26,서울특별시 서대문구 북아현동,1013,1013,0,e편한세상신촌3단지,59.96,202505,3,"158,500",302,8,개인,개인,2018,북아현로 29,,중개거래,서울 서대문구,25.09.26
27,서울특별시 서대문구 홍제동,474,474,0,홍제역해링턴플레이스,39.38,202505,3,"77,200",,19,개인,개인,2024,세무서8길 30,20250503.0,중개거래,서울 서대문구,
28,서울특별시 서대문구 영천동,100,100,0,독립문삼호,84.78,202505,3,"104,000",107,8,개인,개인,1995,독립문로 10,,중개거래,서울 서대문구,25.06.05
29,서울특별시 서대문구 홍제동,456,456,0,성원,41.5,202505,2,"44,500",101,10,개인,개인,1998,모래내로 430,,중개거래,"서울 강서구, 서울 서대문구",25.05.16
30,서울특별시 서대문구 홍제동,453,453,0,청구1차,84.78,202505,2,"88,000",102,13,개인,개인,1994,통일로 348,,중개거래,서울 서대문구,25.07.29
31,서울특별시 서대문구 홍제동,457,457,0,남양,59.94,202505,2,"56,500",103,3,개인,개인,1999,홍제내길 168,,중개거래,서울 서대문구,25.09.04
32,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,120.95,202505,2,"159,000",301,28,개인,개인,2012,수색로 100,,중개거래,서울 서대문구,25.07.23
33,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,120.95,202505,2,"159,000",,28,개인,개인,2012,수색로 100,20250601.0,중개거래,서울 서대문구,
34,서울특별시 서대문구 남가좌동,379,379,0,래미안남가좌2차,59.788,202505,2,"95,700",107,12,개인,개인,2005,수색로6길 43,,중개거래,"경기 안양시 동안구, 서울 서대문구",25.06.24
35,서울특별시 서대문구 대현동,144,144,0,신촌럭키,83.38,202505,2,"93,000",105,1,개인,개인,1999,이화여대길 50-12,,중개거래,서울 서대문구,25.10.30
36,서울특별시 서대문구 홍은동,469,469,0,e편한세상서대문,59.991,202505,2,"93,500",103,12,개인,개인,2023,통일로 505,,중개거래,서울 서대문구,25.07.11
37,서울특별시 서대문구 대현동,144,144,0,신촌럭키,83.38,202505,2,"105,000",109,6,개인,개인,1999,이화여대길 50-12,,중개거래,서울 서대문구,25.06.30
38,서울특별시 서대문구 홍은동,202-5,202,5,"현대(1,2차)",59.96,202505,1,"68,000",101,12,개인,개인,1988,연희로 377,,중개거래,서울 서대문구,25.07.11
39,서울특별시 서대문구 창천동,506-27,506,27,엘르빌,106.47,202505,1,"90,000",,5,개인,개인,2001,신촌로1길 18,20250620.0,중개거래,서울 마포구,
40,서울특별시 서대문구 남가좌동,390,390,0,래미안루센티아,59.98,202505,1,"114,000",101,9,개인,개인,2020,거북골로 100,,중개거래,"서울 서대문구, 서울 은평구",25.07.11
41,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,84.95,202505,1,"124,000",,5,개인,개인,2012,수색로 100,20250507.0,중개거래,서울 서대문구,
42,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,84.95,202505,1,"124,000",311,5,개인,개인,2012,수색로 100,,중개거래,서울 서대문구,25.08.29
43,서울특별시 서대문구 천연동,145,145,0,천연뜨란채,56.02,202505,1,"83,000",111,5,개인,개인,2006,독립문로8길 54,,중개거래,서울 서대문구,25.06.27
44,서울특별시 서대문구 북아현동,1013,1013,0,e편한세상신촌2단지,84.95,202505,1,"178,000",202,19,개인,개인,2018,북아현로1길 17,,중개거래,"서울 마포구, 서울 서대문구",25.09.15
45,서울특별시 서대문구 북아현동,1009,1009,0,두산,59.96,202505,1,"89,000",106,2,개인,개인,1999,이화여대8길 62,,중개거래,서울 서대문구,25.07.31
46,서울특별시 서대문구 북아현동,1009,1009,0,두산,59.96,202505,1,"95,000",103,11,개인,개인,1999,이화여대8길 62,,중개거래,서울 서대문구,25.05.22
47,서울특별시 서대문구 남가좌동,390,390,0,래미안루센티아,59.98,202505,1,"114,000",,9,개인,개인,2020,거북골로 100,20250508.0,중개거래,"서울 서대문구, 서울 은평구",
48,서울특별시 서대문구 대현동,144,144,0,신촌럭키,59.7,202505,1,"82,500",,15,개인,개인,1999,이화여대길 50-12,20250519.0,중개거래,서울 서대문구,
49,서울특별시 서대문구 대현동,90-70,90,70,파라타워,15.792,202505,1,"25,000",,7,개인,개인,2020,신촌로 163,,중개거래,서울 서대문구,25.08.14
50,서울특별시 서대문구 대현동,144,144,0,신촌럭키,59.7,202505,1,"82,500",108,15,개인,개인,1999,이화여대길 50-12,,중개거래,서울 서대문구,25.06.20
51,서울특별시 서대문구 북가좌동,459,459,0,DMC두산위브,84.9623,202505,1,"88,000",101,15,개인,개인,2007,증가로 200-8,,중개거래,서울 서대문구,25.06.23
52,서울특별시 서대문구 북가좌동,460,460,0,DMC이랜드해가든,84.91,202504,30,"61,000",,9,개인,개인,2007,수색로 157,20250521.0,직거래,,
53,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,84.94,202504,30,"116,000",311,2,개인,개인,2012,수색로 100,,중개거래,서울 서대문구,25.07.16
54,서울특별시 서대문구 홍은동,202-5,202,5,"현대(1,2차)",84.77,202504,30,"76,000",203,8,개인,개인,1989,연희로 377,,중개거래,서울 서대문구,25.07.14
55,서울특별시 서대문구 현저동,200,200,0,독립문극동(200-0),59.58,202504,30,"100,000",,11,개인,개인,1998,독립문공원길 17,20250627.0,중개거래,서울 서대문구,
56,서울특별시 서대문구 홍제동,453,453,0,청구1차,84.78,202504,30,"85,500",102,6,개인,개인,1994,통일로 348,,중개거래,서울 서대문구,25.10.13
57,서울특별시 서대문구 홍은동,455,455,0,홍은동벽산,84.96,202504,29,"69,000",107,14,개인,개인,1997,세검정로1길 95,,중개거래,서울 서대문구,25.08.29
58,서울특별시 서대문구 현저동,200,200,0,독립문극동(200-0),59.58,202504,29,"94,000",113,8,개인,개인,1998,독립문공원길 17,,중개거래,서울 서대문구,25.06.18
59,서울특별시 서대문구 북아현동,1017,1017,0,힐스테이트신촌,59.8404,202504,29,"135,000",,5,개인,개인,2020,이화여대8길 123,20250523.0,중개거래,"서울 마포구, 서울 서대문구",
60,서울특별시 서대문구 대현동,144,144,0,신촌럭키,59.7,202504,29,"88,500",106,7,개인,개인,1999,이화여대길 50-12,,중개거래,서울 서대문구,25.07.11
61,서울특별시 서대문구 연희동,747,747,0,연희파크푸르지오,84.8003,202504,29,"110,000",105,16,개인,개인,2018,홍제천로 136,,중개거래,서울 서대문구,25.07.11
62,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,84.94,202504,29,"123,600",112,4,개인,개인,2012,수색로 100,,중개거래,서울 서대문구,25.08.11
63,서울특별시 서대문구 북가좌동,431,431,0,DMC한양,65.34,202504,29,"69,000",4,3,개인,개인,1987,응암로 28,,중개거래,서울 서대문구,25.09.26
64,서울특별시 서대문구 남가좌동,376,376,0,남가좌동현대,59.4,202504,29,"65,000",107,2,개인,개인,1999,가재울로 45,,중개거래,"서울 강남구, 서울 서대문구",25.06.30
65,서울특별시 서대문구 홍제동,462,462,0,청구3차,84.96,202504,28,"79,800",301,3,개인,개인,2001,통일로 332,,중개거래,서울 서대문구,25.07.15
66,서울특별시 서대문구 홍제동,453,453,0,청구1차,84.78,202504,28,"87,000",102,6,개인,개인,1994,통일로 348,,중개거래,"경기 수원시 영통구, 서울 서대문구",25.07.28
67,서울특별시 서대문구 북가좌동,459,459,0,DMC두산위브,84.9623,202504,28,"81,500",103,7,개인,개인,2007,증가로 200-8,,중개거래,"서울 마포구, 서울 서대문구",25.07.18
68,서울특별시 서대문구 북가좌동,449,449,0,북가좌삼호,84.57,202504,28,"78,700",103,6,개인,개인,1996,거북골로 154,,중개거래,"서울 서대문구, 서울 은평구",25.07.03
