NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 서초구 반포동,60-5,60,5,반포미도2차아파트,71.49,202606,28,"290,000",,1,개인,개인,1989,사평대로 240,,중개거래,서울 서초구,
2,서울특별시 서초구 잠원동,60-3,60,3,메이플자이,84.2537,202606,28,"530,000",,32,개인,개인,2025,신반포로 251,,중개거래,서울 서초구,
3,서울특별시 서초구 서초동,1312-3,1312,3,롯데캐슬클래식,74.3,202606,27,"294,000",,11,개인,개인,2006,서운로 200,,중개거래,서울 서초구,
4,서울특별시 서초구 잠원동,159,159,0,아크로리버뷰신반포,78.48,202606,27,"455,000",,18,개인,개인,2018,잠원로 117,,중개거래,서울 서초구,
5,서울특별시 서초구 양재동,16-21,16,21,비젼(103),84.7,202606,27,"117,000",,3,개인,개인,2003,남부순환로356길 95-10,,중개거래,서울 서초구,
6,서울특별시 서초구 방배동,812-1,812,1,TheHerren,61.41,202606,27,"118,000",,3,개인,개인,2017,서초대로23길 106,,중개거래,서울 서초구,
7,서울특별시 서초구 방배동,772-13,772,13,현대멤피스,159.47,202606,27,"275,000",,1,개인,개인,2001,방배로 239,,중개거래,서울 서초구,
8,서울특별시 서초구 서초동,1344-13,1344,13,서초트라팰리스,81.76,202606,27,"184,500",,16,개인,개인,2005,효령로72길 57,,중개거래,서울 서초구,
9,서울특별시 서초구 내곡동,411,411,0,서초더샵포레,114.68,202606,27,"204,000",103,3,개인,개인,2014,헌릉로8길 58,,중개거래,서울 서초구,26.07.29
10,서울특별시 서초구 서초동,1666-14,1666,14,서초녹원,84.99,202606,27,"170,000",,2,개인,개인,1997,사임당로17길 83,,중개거래,서울 서초구,
11,서울특별시 서초구 우면동,789,789,0,(토지임대부아파트)호반써밋서초파크뷰,84.99,202606,26,"150,000",,2,개인,개인,2013,양재대로2길 11,,중개거래,서울 서초구,
12,서울특별시 서초구 반포동,46,46,0,엠브이아파트,59.82,202606,26,"202,000",,7,개인,개인,1994,고무래로10길 39,,중개거래,서울 서초구,
13,서울특별시 서초구 서초동,1685-3,1685,3,아크로비스타,177.15,202606,25,"405,000",,20,개인,개인,2004,서초중앙로 188,,중개거래,서울 서초구,
14,서울특별시 서초구 서초동,1498-5,1498,5,"마제스타시티(힐스테이트서리풀101,102동)",59.95,202606,25,"210,000",,11,개인,개인,2017,서초대로38길 12,,중개거래,서울 서초구,
15,서울특별시 서초구 서초동,1757,1757,0,서초그랑자이,74.98,202606,25,"360,000",,34,개인,개인,2021,효령로 391,,중개거래,서울 서초구,
16,서울특별시 서초구 반포동,54-5,54,5,반포두산힐스빌,47.7,202606,25,"105,000",101,5,개인,개인,2001,고무래로10길 16,,직거래,,26.07.24
17,서울특별시 서초구 반포동,30-26,30,26,반포리체,59.994,202606,25,"342,000",,10,개인,개인,2010,고무래로 35,,중개거래,서울 서초구,
18,서울특별시 서초구 잠원동,60-3,60,3,메이플자이,80.2184,202606,25,"490,000",,27,개인,개인,2025,신반포로 253,,중개거래,서울 서초구,
