NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 성동구 행당동,346,346,0,행당한진타운,84.71,202606,27,"195,000",,13,개인,개인,2000,행당로 82,,중개거래,서울 성동구,
2,서울특별시 성동구 성수동1가,656-234,656,234,서울숲대림,84.015,202606,27,"217,000",,11,개인,개인,2000,뚝섬로 311,,중개거래,서울 성동구,
3,서울특별시 성동구 성수동1가,706,706,0,쌍용,84.78,202606,27,"215,000",,10,개인,개인,1997,상원길 63,,중개거래,서울 성동구,
4,서울특별시 성동구 옥수동,60,60,0,풍림아이원,84.767,202606,27,"230,000",,11,개인,개인,2004,뚝섬로 51,,중개거래,서울 성동구,
5,서울특별시 성동구 행당동,346,346,0,행당한진타운,59.96,202606,27,"162,500",,5,개인,개인,2000,행당로 82,,중개거래,서울 성동구,
6,서울특별시 성동구 행당동,346,346,0,행당한진타운,84.71,202606,27,"195,000",,24,개인,개인,2000,행당로 82,,중개거래,서울 성동구,
7,서울특별시 성동구 마장동,817,817,0,왕십리삼성아파트,134.97,202606,27,"176,000",,6,개인,개인,1996,마장로 271,,중개거래,"서울 성동구, 서울 송파구",
8,서울특별시 성동구 마장동,825,825,0,대성유니드,59.7,202606,27,"137,000",,13,개인,개인,2004,마장로37길 7,,중개거래,서울 성동구,
9,서울특별시 성동구 응봉동,276,276,0,서울숲리버그린동아아파트,84.83,202606,27,"200,000",,13,개인,개인,2003,고산자로4길 34,,중개거래,서울 성동구,
10,서울특별시 성동구 마장동,818,818,0,현대,84.91,202606,26,"144,500",,5,개인,개인,1998,살곶이길 50,,중개거래,서울 성동구,
11,서울특별시 성동구 금호동1가,1823,1823,0,이편한세상금호파크힐스,84.982,202606,26,"255,000",,19,개인,개인,2019,금호로 140,,중개거래,"서울 노원구, 서울 성동구",
12,서울특별시 성동구 금호동1가,1823,1823,0,이편한세상금호파크힐스,59.949,202606,26,"213,000",,12,개인,개인,2019,금호로 140,,중개거래,"서울 노원구, 서울 성동구",
13,서울특별시 성동구 응봉동,15,15,0,대림강변타운,59.76,202606,26,"177,000",,19,개인,개인,2001,고산자로 160,20260703.0,중개거래,서울 성동구,
14,서울특별시 성동구 응봉동,15,15,0,대림강변타운,59.76,202606,26,"177,000",,19,개인,개인,2001,고산자로 160,,중개거래,서울 성동구,
15,서울특별시 성동구 행당동,346,346,0,행당한진타운,114.62,202606,25,"155,000",110,14,개인,개인,2000,행당로 82,,중개거래,서울 성동구,26.08.11
16,서울특별시 성동구 하왕십리동,1052,1052,0,금호베스트빌,114.93,202606,25,"148,000",,9,개인,개인,2001,난계로 114-31,,중개거래,"서울 강남구, 서울 성동구",
17,서울특별시 성동구 마장동,834,834,0,삼성홈타운,18.06,202606,25,"19,600",삼성홈타운,4,개인,개인,2015,마조로15길 23,,중개거래,서울 성동구,26.07.21
18,서울특별시 성동구 마장동,817,817,0,왕십리삼성아파트,59.76,202606,24,"140,000",,18,개인,개인,1996,마장로 271,,중개거래,"서울 성동구, 서울 송파구",
19,서울특별시 성동구 하왕십리동,1061,1061,0,왕십리풍림아이원,59.936,202606,23,"158,000",,16,개인,개인,2004,난계로 84,,중개거래,서울 성동구,
20,서울특별시 성동구 하왕십리동,1052,1052,0,금호베스트빌,84.97,202606,23,"136,000",,2,개인,개인,2001,난계로 114-31,,중개거래,서울 성동구,
21,서울특별시 성동구 행당동,346,346,0,행당한진타운,59.96,202606,23,"160,000",,11,개인,개인,2000,행당로 82,,중개거래,서울 성동구,
22,서울특별시 성동구 행당동,147,147,0,서울숲삼부아파트,122.01,202606,22,"234,000",,1,개인,개인,1998,왕십리로 280,,중개거래,서울 성동구,
23,서울특별시 성동구 금호동1가,633,633,0,벽산,84.82,202606,20,"180,000",,4,개인,개인,2001,금호로 100,,중개거래,"서울 광진구, 서울 성동구",
24,서울특별시 성동구 하왕십리동,258,258,0,벽산,114.46,202606,20,"160,000",,11,개인,개인,1996,무학로 50,,중개거래,"서울 동대문구, 서울 성동구",
25,서울특별시 성동구 응봉동,15,15,0,대림강변타운,59.76,202606,20,"165,500",,6,개인,개인,2001,고산자로 160,,중개거래,서울 성동구,
26,서울특별시 성동구 금호동4가,235,235,0,서울숲2차푸르지오,59.862,202606,20,"233,000",211,6,개인,개인,2012,금호로 17,,중개거래,서울 성동구,26.08.12
27,서울특별시 성동구 상왕십리동,811,811,0,텐즈힐(2단지),157.29,202606,20,"242,000",,9,개인,개인,2014,마장로 137,,중개거래,"서울 동대문구, 서울 성동구",
