NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 성북구 정릉동,1031,1031,0,정릉힐스테이트3차,84.97,202505,7,"75,500",,9,개인,개인,2008,보국문로 116,20250511.0,중개거래,"서울 성북구, 서울 종로구",
2,서울특별시 성북구 정릉동,1031,1031,0,정릉힐스테이트3차,84.97,202505,7,"75,500",309,9,개인,개인,2008,보국문로 116,,중개거래,"서울 성북구, 서울 종로구",25.06.30
3,서울특별시 성북구 정릉동,239,239,0,정릉풍림아이원,59.88,202505,7,"53,000",125,14,개인,개인,2005,솔샘로 120,,중개거래,서울 성북구,25.06.26
4,서울특별시 성북구 정릉동,1014,1014,0,정릉스카이쌍용아파트,59.9,202505,7,"54,500",제103동,4,개인,개인,1999,북악산로 828,,중개거래,서울 성북구,25.08.01
5,서울특별시 성북구 동소문동7가,23,23,0,한신플러스C,59.91,202505,7,"70,800",121,13,개인,개인,2004,동소문로15길 99,,중개거래,"서울 광진구, 서울 중구",25.07.01
6,서울특별시 성북구 종암동,80,80,0,래미안크리시엘,84.95,202505,7,"84,000",114,19,개인,개인,2004,종암로25길 30,,중개거래,서울 성북구,25.09.01
7,서울특별시 성북구 안암동3가,136-1,136,1,대광,45.92,202505,7,"24,000",다,5,개인,개인,1971,안암로9나길 14,,중개거래,서울 성북구,25.06.20
8,서울특별시 성북구 돈암동,1,1,0,돈암현대아파트,56.7,202505,7,"59,200",106,5,개인,개인,1991,정릉로 404,,중개거래,서울 성북구,25.07.30
9,서울특별시 성북구 돈암동,642,642,0,돈암동해피트리,84.98,202505,7,"80,500",101,5,개인,개인,2013,아리랑로5길 92,,중개거래,서울 성북구,25.06.10
10,서울특별시 성북구 돈암동,609-1,609,1,한진(609-1),84.87,202505,7,"82,000",204동,5,개인,개인,1998,성북로4길 52,,중개거래,서울 성북구,25.06.12
11,서울특별시 성북구 상월곡동,101,101,0,동아에코빌,59.95,202505,7,"60,000",114,22,개인,개인,2003,장월로1길 28,,중개거래,서울 성북구,25.07.30
12,서울특별시 성북구 삼선동2가,420,420,0,삼선현대힐스테이트,56.83,202505,7,"71,500",107,9,개인,개인,2009,낙산길 243-15,,중개거래,서울 종로구,25.07.01
13,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,59.7812,202505,7,"118,000",102,20,개인,개인,2022,숭인로8길 80,,중개거래,서울 성북구,25.08.29
14,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,59.7812,202505,7,"120,500",,25,개인,개인,2022,숭인로8길 80,20250528.0,중개거래,서울 성북구,
15,서울특별시 성북구 길음동,1288,1288,0,래미안길음센터피스,59.97,202505,7,"107,800",120,5,개인,개인,2019,숭인로 50,,중개거래,"서울 강북구, 서울 성북구",25.07.18
16,서울특별시 성북구 길음동,1288,1288,0,래미안길음센터피스,84.95,202505,7,"152,000",113,35,개인,개인,2019,숭인로 50,,중개거래,서울 성북구,25.08.22
17,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,59.7812,202505,7,"120,500",113,25,개인,개인,2022,숭인로8길 80,,중개거래,서울 성북구,25.08.29
18,서울특별시 성북구 길음동,1279,1279,0,길음뉴타운1단지(래미안길음1차),59.99,202505,7,"84,500",115,3,개인,개인,2003,길음로9길 40,,중개거래,서울 성북구,25.06.13
19,서울특별시 성북구 길음동,1288,1288,0,래미안길음센터피스,84.95,202505,7,"152,000",,35,개인,개인,2019,숭인로 50,20250708.0,중개거래,서울 성북구,
20,서울특별시 성북구 하월곡동,219,219,0,동신,59.88,202505,7,"60,000",102,7,개인,개인,1998,오패산로3길 17,,중개거래,서울 성북구,25.07.04
