NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 성북구 종암동,134,134,0,래미안라센트,114.98,202606,28,"139,500",,7,개인,개인,2011,종암로24가길 80,,중개거래,서울 성북구,
2,서울특별시 성북구 석관동,10,10,0,두산,54.55,202606,28,"80,000",,8,개인,개인,1998,화랑로48길 16,,중개거래,서울 성북구,
3,서울특별시 성북구 돈암동,15-1,15,1,돈암동삼성,114.66,202606,28,"100,000",,6,개인,개인,1999,동소문로34길 24,,중개거래,서울 성북구,
4,서울특별시 성북구 길음동,1284,1284,0,길음뉴타운8단지(래미안),59.99,202606,27,"140,000",,5,개인,개인,2010,길음로 33,,중개거래,서울 성북구,
5,서울특별시 성북구 길음동,1288,1288,0,래미안길음센터피스,59.99,202606,27,"152,000",,13,개인,개인,2019,숭인로 50,,중개거래,"서울 강북구, 서울 성북구",
6,서울특별시 성북구 하월곡동,225,225,0,래미안월곡,114.678,202606,27,"121,000",,4,개인,개인,2006,오패산로 90,,중개거래,서울 성북구,
7,서울특별시 성북구 하월곡동,46-73,46,73,코업스타클래스,170.45,202606,27,"160,000",,35,개인,개인,2010,화랑로 76,,중개거래,서울 성북구,
8,서울특별시 성북구 종암동,134,134,0,래미안라센트,114.98,202606,27,"143,800",,4,개인,개인,2011,종암로24가길 80,,중개거래,서울 성북구,
9,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,112.5059,202606,27,"215,000",,8,개인,개인,2022,,,중개거래,서울 성북구,
10,서울특별시 성북구 길음동,1283,1283,0,길음뉴타운6단지(래미안),84.049,202606,27,"149,000",,9,개인,개인,2007,길음로 16,,중개거래,서울 성북구,
11,서울특별시 성북구 장위동,316-5,316,5,참누리아파트,84.98,202606,27,"85,000",,3,개인,개인,2006,한천로101길 18,,중개거래,서울 성북구,
12,서울특별시 성북구 장위동,322-22,322,22,장위지웰에스테이트,39.975,202606,27,"42,500",,4,개인,개인,2022,한천로 660-16,,중개거래,서울 성북구,
13,서울특별시 성북구 보문동3가,230,230,0,이편한세상보문,84.774,202606,27,"115,000",105,4,개인,개인,2013,낙산길 255,,중개거래,서울 성북구,26.08.07
14,서울특별시 성북구 돈암동,15-1,15,1,돈암동삼성,114.66,202606,27,"99,500",,7,개인,개인,1999,동소문로34길 24,,중개거래,"서울 도봉구, 서울 성북구",
15,서울특별시 성북구 하월곡동,225,225,0,래미안월곡,59.754,202606,27,"104,800",,19,개인,개인,2006,오패산로 90,,중개거래,서울 성북구,
16,서울특별시 성북구 길음동,1286,1286,0,길음뉴타운9단지(래미안),114.86,202606,27,"158,000",,6,개인,개인,2010,길음로9길 50,,중개거래,서울 성북구,
17,서울특별시 성북구 길음동,1279,1279,0,길음뉴타운1단지(래미안길음1차),59.99,202606,27,"114,800",,1,개인,개인,2003,길음로9길 40,,중개거래,"서울 강북구, 서울 성북구",
18,서울특별시 성북구 돈암동,637,637,0,성일우리미,84.95,202606,27,"72,700",성일우리미아파트,4,개인,개인,2004,정릉로52길 46,,중개거래,서울 성북구,26.08.07
19,서울특별시 성북구 석관동,10,10,0,두산,134.97,202606,27,"103,000",,1,개인,개인,1998,화랑로48길 16,,중개거래,"서울 동대문구, 서울 성북구",
20,서울특별시 성북구 돈암동,609-1,609,1,한신,84.87,202606,27,"102,500",,11,개인,개인,1998,성북로4길 52,,중개거래,서울 성북구,
21,서울특별시 성북구 돈암동,609-1,609,1,한진(609-1),59.58,202606,27,"83,500",,11,개인,개인,1998,성북로4길 52,,중개거래,서울 성북구,
22,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,84.9757,202606,27,"185,000",,30,개인,개인,2022,,,중개거래,서울 성북구,
23,서울특별시 성북구 하월곡동,222,222,0,월곡두산위브,84.843,202606,27,"99,800",,8,개인,개인,2003,오패산로 46,,중개거래,서울 성북구,
24,서울특별시 성북구 종암동,104-1,104,1,종암에스케이,84.72,202606,27,"108,500",,15,개인,개인,1999,종암로24가길 53,,중개거래,서울 성북구,
25,서울특별시 성북구 종암동,104-1,104,1,종암에스케이,84.72,202606,27,"109,000",,10,개인,개인,1999,종암로24가길 53,,중개거래,서울 성북구,
26,서울특별시 성북구 종암동,128,128,0,극동,84.96,202606,27,"81,700",,13,개인,개인,2000,북악산로29길 67,,중개거래,서울 성북구,
27,서울특별시 성북구 정릉동,1034,1034,0,라온유,84.65,202606,27,"95,000",,20,개인,개인,2008,정릉로 307,,중개거래,서울 성북구,
28,서울특별시 성북구 정릉동,239,239,0,정릉풍림아이원,114.75,202606,27,"80,000",,18,개인,개인,2005,솔샘로25길 28,,중개거래,서울 성북구,
29,서울특별시 성북구 하월곡동,222,222,0,월곡두산위브,59.855,202606,27,"96,000",,5,개인,개인,2003,오패산로 46,,중개거래,서울 성북구,
30,서울특별시 성북구 상월곡동,101,101,0,동아에코빌,84.97,202606,26,"90,000",,23,개인,개인,2003,장월로1길 28,,중개거래,서울 성북구,
31,서울특별시 성북구 석관동,110-2,110,2,중앙하이츠,84.85,202606,26,"67,000",,1,개인,개인,1994,한천로76길 73,,중개거래,서울 성북구,
32,서울특별시 성북구 안암동1가,361,361,0,안암동삼성래미안,84.8681,202606,26,"114,000",,15,개인,개인,2005,고려대로17가길 64,,중개거래,서울 성북구,
33,서울특별시 성북구 상월곡동,101,101,0,동아에코빌,59.95,202606,26,"85,000",,3,개인,개인,2003,장월로1길 28,,중개거래,서울 성북구,
34,서울특별시 성북구 돈암동,609-1,609,1,한진(609-1),113.67,202606,26,"105,000",,20,개인,개인,1998,성북로4길 52,,중개거래,서울 성북구,
35,서울특별시 성북구 하월곡동,225,225,0,래미안월곡,84.589,202606,26,"115,000",,17,개인,개인,2006,오패산로 90,,중개거래,"서울 강동구, 서울 성북구",
36,서울특별시 성북구 정릉동,435,435,0,중앙하이츠빌2단지,59.99,202606,26,"71,500",,14,개인,개인,2005,정릉로26길 8,,중개거래,"서울 강남구, 서울 성북구",
37,서울특별시 성북구 정릉동,1028,1028,0,정릉e-편한세상,59.77,202606,26,"75,500",,8,개인,개인,2006,솔샘로24길 15,,중개거래,서울 성북구,
38,서울특별시 성북구 길음동,1289,1289,0,롯데캐슬클라시아,84.9757,202606,26,"187,000",,17,개인,개인,2022,,,중개거래,"서울 강북구, 서울 성북구",
39,서울특별시 성북구 정릉동,239,239,0,정릉풍림아이원,84.09,202606,26,"69,500",,14,개인,개인,2005,솔샘로25길 28,,중개거래,서울 성북구,
40,서울특별시 성북구 보문동6가,458,458,0,보문파크뷰자이,59.81,202606,26,"130,000",,10,개인,개인,2017,보문사길 111,,중개거래,서울 종로구,
41,서울특별시 성북구 보문동6가,458,458,0,보문파크뷰자이,72.97,202606,26,"136,200",,9,개인,개인,2017,보문사길 111,,중개거래,서울 성북구,
42,서울특별시 성북구 길음동,1284,1284,0,길음뉴타운8단지(래미안),84.92,202606,26,"153,000",,9,개인,개인,2010,길음로 33,,중개거래,서울 성북구,
43,서울특별시 성북구 석관동,110-2,110,2,중앙하이츠,59.79,202606,26,"65,300",,6,개인,개인,1994,한천로76길 73,,중개거래,"서울 동대문구, 서울 성북구",
44,서울특별시 성북구 석관동,405,405,0,코오롱,59.94,202606,26,"72,000",,2,개인,개인,1999,한천로 509,,중개거래,서울 성북구,
45,서울특별시 성북구 하월곡동,222,222,0,월곡두산위브,59.855,202606,26,"95,000",,17,개인,개인,2003,오패산로 46,,중개거래,서울 성북구,
46,서울특별시 성북구 장위동,320,320,0,래미안장위퍼스트하이,84.94,202606,25,"146,000",,13,개인,개인,2020,한천로 713,,중개거래,서울 성북구,
