NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 송파구 문정동,150,150,0,올림픽훼밀리타운,136.325,202505,7,"240,000",227,8,개인,개인,1988,중대로 24,,중개거래,서울 송파구,25.05.07
2,서울특별시 송파구 가락동,913,913,0,헬리오시티,84.99,202505,7,"244,000",201,16,개인,개인,2018,송파대로 345,,중개거래,서울 송파구,25.07.04
3,서울특별시 송파구 가락동,199,199,0,프라자,84.67,202505,7,"139,500",10,11,개인,개인,1985,문정로 125,,중개거래,서울 송파구,25.08.07
4,서울특별시 송파구 잠실동,27,27,0,주공아파트 5단지,82.61,202505,7,"414,500",528,6,개인,개인,1978,송파대로 567,,중개거래,서울 송파구,25.08.26
5,서울특별시 송파구 가락동,913,913,0,헬리오시티,84.98,202505,7,"249,000",217,16,개인,개인,2018,송파대로 345,,중개거래,서울 송파구,25.07.31
6,서울특별시 송파구 오금동,164,164,0,우창,76.42,202505,6,"116,000",1,6,개인,개인,1985,동남로24길 6,,중개거래,서울 송파구,25.07.11
7,서울특별시 송파구 풍납동,391,391,0,극동,59.975,202505,6,"93,500",2,8,개인,개인,1987,올림픽로45길 11,,중개거래,서울 송파구,25.07.21
8,서울특별시 송파구 잠실동,22,22,0,리센츠,84.99,202505,6,"295,000",216,9,개인,개인,2008,올림픽로 135,,중개거래,"서울 강남구, 서울 송파구",25.08.04
9,서울특별시 송파구 신천동,17,17,0,파크리오,59.95,202505,5,"225,000",119,1,개인,개인,2008,올림픽로 435,,중개거래,서울 송파구,25.08.29
10,서울특별시 송파구 잠실동,19,19,0,잠실엘스,84.8,202505,3,"305,000",145,9,개인,개인,2008,올림픽로 99,,중개거래,서울 송파구,25.07.28
11,서울특별시 송파구 잠실동,27,27,0,주공아파트 5단지,76.5,202505,3,"376,500",508,11,개인,개인,1978,송파대로 567,,중개거래,"서울 강남구, 서울 송파구",25.05.23
12,서울특별시 송파구 잠실동,27,27,0,주공아파트 5단지,76.5,202505,3,"352,800",525,3,개인,개인,1978,송파대로 567,,중개거래,"경기 성남시 분당구, 경기 하남시",25.08.20
13,서울특별시 송파구 문정동,145,145,0,문정시영,39.69,202505,3,"67,200",1,10,개인,개인,1989,송이로31길 56,,중개거래,서울 송파구,25.06.25
14,서울특별시 송파구 가락동,165,165,0,래미안파크팰리스,84.936,202505,3,"184,000",108,25,개인,개인,2007,동남로 225,,중개거래,서울 송파구,25.09.15
15,서울특별시 송파구 가락동,913,913,0,헬리오시티,49.19,202505,3,"185,000",408,20,개인,개인,2018,송파대로 345,,중개거래,"경기 성남시 분당구, 서울 송파구",25.07.03
16,서울특별시 송파구 방이동,212-8,212,8,코오롱아파트,84.95,202505,3,"149,800",101,1,개인,개인,1991,오금로31길 28,,중개거래,서울 송파구,25.08.01
17,서울특별시 송파구 마천동,573,573,0,삼익1,59.4,202505,3,"65,500",,8,개인,개인,1996,성내천로 236,,중개거래,서울 송파구,25.06.27
18,서울특별시 송파구 풍납동,508,508,0,한강극동,59.26,202505,3,"92,600",108,10,개인,개인,1995,토성로 38-6,,중개거래,서울 송파구,25.06.27
19,서울특별시 송파구 잠실동,44,44,0,레이크팰리스,59.97,202505,3,"233,000",103,17,개인,개인,2006,잠실로 88,,중개거래,서울 송파구,25.07.30
20,서울특별시 송파구 가락동,199,199,0,프라자,84.67,202505,2,"138,000",9,3,개인,개인,1985,문정로 125,,중개거래,서울 송파구,25.07.31
21,서울특별시 송파구 가락동,96-1,96,1,우성,43.79,202505,2,"99,700",7,3,개인,개인,1986,송파대로32길 8,,중개거래,"서울 강남구, 서울 송파구",25.08.06
22,서울특별시 송파구 가락동,123-12,123,12,강남팰리스,55.2,202505,2,"72,500",강남팰리스,8,개인,법인,2022,송이로 141,,직거래,,25.05.15
23,서울특별시 송파구 가락동,161-1,161,1,현대(60동),82.16,202505,2,"114,300",,10,개인,개인,1991,오금로38길 5-19,,중개거래,서울 송파구,25.08.12
24,서울특별시 송파구 송파동,58-1,58,1,대우레이크월드,139.64,202505,2,"168,000",,8,개인,개인,2002,석촌호수로 298,,중개거래,서울 송파구,25.06.11
25,서울특별시 송파구 송파동,171,171,0,잠실더샵루벤,106.957,202505,2,"197,000",101,16,개인,개인,2025,송이로12길 11,,중개거래,"서울 광진구, 서울 송파구",25.07.21
26,서울특별시 송파구 송파동,58-4,58,4,레이크해모로,84.75,202505,2,"119,500",,4,개인,개인,2005,오금로 126,,중개거래,서울 송파구,25.06.11
27,서울특별시 송파구 오금동,165,165,0,상아2차아파트,84.98,202505,2,"130,000",7,11,개인,개인,1988,오금로 407,,중개거래,"경기 하남시, 서울 송파구",25.08.06
28,서울특별시 송파구 문정동,145,145,0,문정시영,35.46,202505,2,"52,500",10,3,개인,개인,1989,송이로31길 56,,중개거래,"서울 노원구, 서울 송파구",25.06.30
29,서울특별시 송파구 풍납동,260,260,0,현대리버빌1지구,59.96,202505,2,"100,000",306,12,개인,개인,1999,토성로 37,,중개거래,서울 송파구,25.07.16
30,서울특별시 송파구 장지동,879,879,0,송파더센트레,51.77,202505,2,"105,000",2201,14,개인,개인,2013,위례광장로 163,,중개거래,서울 송파구,25.07.23
31,서울특별시 송파구 잠실동,86,86,0,아시아선수촌아파트,99.385,202505,2,"364,500",7,10,개인,개인,1986,올림픽로4길 15,,중개거래,서울 송파구,25.08.05
32,서울특별시 송파구 거여동,697,697,0,송파시그니처롯데캐슬,59.98,202505,2,"140,500",110,9,개인,개인,2021,거마로 56,,중개거래,서울 송파구,25.06.30
33,서울특별시 송파구 거여동,290,290,0,거여1단지,39.6,202505,2,"64,000",101,6,개인,개인,1997,양산로8길 8,,중개거래,"경기 성남시 중원구, 서울 송파구",25.07.25
34,서울특별시 송파구 가락동,913,913,0,헬리오시티,84.98,202505,2,"250,000",218,21,개인,개인,2018,송파대로 345,,중개거래,서울 송파구,25.07.18
35,서울특별시 송파구 가락동,140,140,0,가락(1차)쌍용아파트,84.69,202505,2,"152,000",103,5,개인,개인,1997,동남로 193,,중개거래,서울 송파구,25.07.30
36,서울특별시 송파구 가락동,140,140,0,가락(1차)쌍용아파트,84.69,202505,2,"155,000",202,23,개인,개인,1997,동남로 193,,중개거래,서울 송파구,25.07.30
37,서울특별시 송파구 잠실동,35,35,0,트리지움,84.83,202505,2,"265,000",341,3,개인,개인,2007,잠실로 62,,중개거래,서울 송파구,25.07.15
38,서울특별시 송파구 잠실동,44,44,0,레이크팰리스,136.74,202505,2,"320,000",131,6,개인,개인,2006,잠실로 88,,중개거래,서울 송파구,25.08.28
39,서울특별시 송파구 가락동,21-6,21,6,가락쌍용(2차),84.42,202505,1,"128,500",103,14,개인,개인,1999,송이로15길 31,,중개거래,"서울 동대문구, 서울 송파구",25.07.31
40,서울특별시 송파구 문정동,1,1,0,문정래미안,150.58,202505,1,"175,000",111,4,개인,개인,2004,문정로 83,,중개거래,"서울 서초구, 서울 송파구",25.06.20
41,서울특별시 송파구 풍납동,219,219,0,미성,98.32,202505,1,"107,000",2,3,개인,개인,1985,풍성로 14,,중개거래,"서울 강남구, 서울 송파구",25.05.02
42,서울특별시 송파구 잠실동,22,22,0,리센츠,84.99,202505,1,"295,000",222,3,개인,개인,2008,올림픽로 135,,중개거래,서울 송파구,25.07.25
43,서울특별시 송파구 장지동,884,884,0,위례2차아이파크,90.8877,202505,1,"154,000",202동,8,개인,개인,2016,위례광장로 230,,중개거래,"서울 강남구, 서울 송파구",25.06.25
44,서울특별시 송파구 장지동,883,883,0,힐스테이트송파위례,101.68,202505,1,"165,000",105동,7,개인,개인,2016,위례광장로 170,,중개거래,서울 송파구,25.07.17
45,서울특별시 송파구 문정동,150,150,0,올림픽훼밀리타운,84.705,202505,1,"197,000",,10,개인,개인,1988,중대로 24,20250501.0,중개거래,"서울 송파구, 서울 양천구",
46,서울특별시 송파구 가락동,96-1,96,1,우성,58.46,202505,1,"90,000",1,13,개인,개인,1986,송파대로32길 8,,직거래,,25.06.04
47,서울특별시 송파구 방이동,89,89,0,올림픽선수기자촌1단지,83.06,202505,1,"250,000",122,18,개인,개인,1988,양재대로 1218,,중개거래,"서울 강동구, 서울 송파구",25.07.24
48,서울특별시 송파구 문정동,150,150,0,올림픽훼밀리타운,84.705,202505,1,"197,000",303,10,개인,개인,1988,중대로 24,,중개거래,"서울 송파구, 서울 양천구",25.05.01
49,서울특별시 송파구 송파동,171,171,0,잠실더샵루벤,83.8852,202505,1,"166,000",,3,개인,개인,2025,송이로12길 11,20250617.0,중개거래,서울 송파구,
50,서울특별시 송파구 송파동,171,171,0,잠실더샵루벤,83.8852,202505,1,"166,000",102,4,개인,개인,2025,송이로12길 11,,중개거래,서울 송파구,25.07.30
51,서울특별시 송파구 송파동,33,33,0,호수임광,57.72,202505,1,"96,000",101,9,개인,개인,1995,송파대로48길 29,,중개거래,서울 송파구,25.07.25
52,서울특별시 송파구 신천동,11,11,0,장미2,71.2,202505,1,"240,000",29,8,개인,개인,1979,올림픽로35길 104,,중개거래,서울 송파구,25.08.14
53,서울특별시 송파구 잠실동,35,35,0,트리지움,59.88,202505,1,"240,000",311,4,개인,개인,2007,잠실로 62,,중개거래,서울 송파구,25.07.25
54,서울특별시 송파구 문정동,150,150,0,올림픽훼밀리타운,84.705,202505,1,"197,000",,10,개인,개인,1988,중대로 24,20250501.0,중개거래,"서울 송파구, 서울 양천구",
55,서울특별시 송파구 가락동,96-1,96,1,우성,43.79,202505,1,"98,500",7,6,개인,개인,1986,송파대로32길 8,,중개거래,서울 송파구,25.08.08
56,서울특별시 송파구 가락동,96-1,96,1,우성,43.79,202505,1,"99,500",8,7,개인,개인,1986,송파대로32길 8,,중개거래,서울 송파구,25.08.14
57,서울특별시 송파구 거여동,697,697,0,송파시그니처롯데캐슬,59.98,202505,1,"138,500",105,8,개인,개인,2021,거마로 56,,중개거래,"경기 성남시 수정구, 서울 송파구",25.06.26
58,서울특별시 송파구 가락동,913,913,0,헬리오시티,84.99,202504,30,"250,000",201,24,개인,개인,2018,송파대로 345,,중개거래,서울 송파구,25.08.25
59,서울특별시 송파구 거여동,290,290,0,거여1단지,39.6,202504,30,"59,800",104,3,개인,개인,1997,양산로8길 8,,중개거래,서울 송파구,25.06.26
60,서울특별시 송파구 문정동,618,618,0,파크하비오,84.9725,202504,30,"162,000",송파파크하비오푸르지오102동,14,개인,개인,2016,송파대로 111,,중개거래,서울 송파구,25.07.03
61,서울특별시 송파구 문정동,1,1,0,문정래미안,120.97,202504,30,"164,000",126,10,개인,개인,2004,문정로 83,,중개거래,서울 송파구,25.07.04
62,서울특별시 송파구 오금동,165,165,0,상아2차아파트,45.77,202504,30,"75,000",6,1,개인,개인,1988,오금로 407,,중개거래,서울 송파구,25.05.30
63,서울특별시 송파구 잠실동,19,19,0,잠실엘스,84.97,202504,30,"250,000",124,1,개인,개인,2008,올림픽로 99,,중개거래,서울 송파구,25.08.01
64,서울특별시 송파구 잠실동,44,44,0,레이크팰리스,84.82,202504,30,"262,000",114,23,개인,개인,2006,잠실로 88,,중개거래,"서울 광진구, 서울 송파구",25.07.15
65,서울특별시 송파구 잠실동,331,331,0,현대,84.68,202504,30,"145,000",102,8,개인,개인,1990,백제고분로18길 7,,중개거래,서울 송파구,25.07.07
66,서울특별시 송파구 풍납동,508,508,0,한강극동,114.76,202504,30,"133,000",104,11,개인,개인,1995,토성로 38-6,,중개거래,서울 송파구,25.06.26
67,서울특별시 송파구 가락동,165,165,0,래미안파크팰리스,84.924,202504,30,"184,000",108,20,개인,개인,2007,동남로 225,,중개거래,서울 송파구,25.08.04
68,서울특별시 송파구 가락동,192,192,0,극동,84.96,202504,30,"153,000",1,3,개인,개인,1984,동남로18길 9,,중개거래,서울 송파구,25.06.18
