NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 양천구 신월동,218-12,218,12,동도하이츠,82.87,202505,7,"41,800",,2,개인,개인,2004,곰달래로2길 41,,중개거래,서울 강서구,25.07.01
2,서울특별시 양천구 신정동,329,329,0,목동신시가지14,74.19,202505,7,"178,000",1427,9,개인,개인,1988,목동동로 130,,중개거래,서울 양천구,25.08.11
3,서울특별시 양천구 신정동,333,333,0,대림,84.89,202505,7,"113,000",101,9,개인,개인,1992,신목로5길 9,,중개거래,서울 양천구,25.07.18
4,서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,52.96,202505,7,"71,000",,2,개인,개인,2020,남부순환로83길 18,20250609.0,중개거래,서울 양천구,
5,서울특별시 양천구 신정동,1279,1279,0,목동현대3차,71.16,202505,7,"119,500",101,2,개인,개인,1997,목동동로12길 60,,중개거래,서울 양천구,25.07.30
6,서울특별시 양천구 신정동,314,314,0,목동신시가지8,54.94,202505,7,"162,000",810,14,개인,개인,1987,목동서로 280,,중개거래,서울 양천구,25.07.23
7,서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,52.96,202505,7,"71,000",210,2,개인,개인,2020,남부순환로83길 18,,중개거래,서울 양천구,25.07.18
8,서울특별시 양천구 신월동,1063,1063,0,롯데캐슬,116.375,202505,7,"117,000",107,9,개인,개인,2014,중앙로29길 61,,중개거래,"서울 서초구, 서울 양천구",25.07.31
9,서울특별시 양천구 신정동,314,314,0,목동신시가지8,54.94,202505,7,"145,000",809,1,개인,개인,1987,목동서로 280,,직거래,,25.06.10
10,서울특별시 양천구 신정동,337,337,0,목동우성2,84.96,202505,7,"91,200",212,4,개인,개인,2000,목동남로4길 6-23,,중개거래,서울 양천구,25.07.01
11,서울특별시 양천구 목동,936,936,0,진도2,59.46,202505,7,"123,500",201,16,개인,개인,1999,목동동로 250,,중개거래,"서울 양천구, 서울 은평구",25.07.17
12,서울특별시 양천구 목동,929,929,0,목동청구한신아파트,84.76,202505,7,"175,000",106,11,개인,개인,1997,목동서로2길 22,,중개거래,서울 양천구,25.11.03
13,서울특별시 양천구 목동,729-2,729,2,지오트레벨,84.59,202505,7,"59,800",,4,개인,개인,2003,목동중앙남로9길 31,,중개거래,서울 양천구,26.02.20
14,서울특별시 양천구 목동,404-13,404,13,목동센트럴푸르지오,118.8208,202505,7,"241,000",101,17,개인,개인,2015,오목로 354,,중개거래,서울 양천구,25.05.29
15,서울특별시 양천구 목동,933,933,0,삼익,58.76,202505,7,"99,000",102,8,개인,개인,1997,목동동로12길 45,,중개거래,서울 양천구,25.07.18
16,서울특별시 양천구 신월동,987-1,987,1,신월시영,50.67,202505,6,"53,000",10동,10,개인,개인,1988,신월로 99,,중개거래,서울 양천구,25.06.02
17,서울특별시 양천구 신월동,350-3,350,3,우정,62.24,202505,6,"31,000",101,5,개인,개인,1988,지양로15길 24,,중개거래,서울 양천구,25.09.18
18,서울특별시 양천구 신월동,1057-1,1057,1,롯데캐슬(1057-1),59.72,202505,6,"67,000",201,2,개인,개인,2010,오목로5길 20,,중개거래,서울 양천구,25.08.07
19,서울특별시 양천구 목동,961,961,0,하이페리온2,155.586,202505,6,"290,000",201,12,개인,개인,2006,오목로 300,,중개거래,서울 양천구,25.08.29
20,서울특별시 양천구 목동,722-5,722,5,세종그랑시아,59.03,202505,6,"78,000",101,10,개인,개인,2003,목동중앙남로3가길 59,,중개거래,서울 양천구,25.08.06
21,서울특별시 양천구 신월동,1078,1078,0,목동센트럴아이파크위브4단지,84.97,202505,6,"115,000",404,12,개인,개인,2020,남부순환로83길 47,,중개거래,서울 양천구,25.07.28
22,서울특별시 양천구 신월동,1026,1026,0,양천벽산블루밍1단지,84.77,202505,5,"72,500",101,11,개인,개인,2006,월정로9길 17,,중개거래,서울 양천구,25.09.11
23,서울특별시 양천구 목동,200,200,0,우성,84.63,202505,5,"138,000",,7,개인,개인,1992,목동중앙로 143,20250731.0,중개거래,"서울 강서구, 서울 양천구",
24,서울특별시 양천구 신월동,458-1,458,1,새롬,55.12,202505,5,"30,000",101,5,개인,개인,2002,중앙로57길 35,,중개거래,서울 양천구,25.08.07
