NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 양천구 목동,925,925,0,목동신시가지7,66.6,202606,28,"260,000",,15,개인,개인,1988,목동로 212,,중개거래,서울 양천구,
2,서울특별시 양천구 신정동,1293,1293,0,학마을1단지,49.99,202606,28,"65,500",,9,개인,개인,2000,신정로14길 6,,중개거래,서울 양천구,
3,서울특별시 양천구 신월동,1085,1085,0,신목동파라곤,59.7052,202606,28,"88,700",,13,개인,개인,2024,오목로 55,,중개거래,서울 양천구,
4,서울특별시 양천구 신정동,1277,1277,0,신트리4,49.5,202606,27,"73,000",,2,개인,개인,2000,신정로 260,,중개거래,서울 양천구,
5,서울특별시 양천구 신정동,1306,1306,0,세양청마루,84.98,202606,27,"133,000",,4,개인,개인,2006,목동남로2길 60-30,,중개거래,서울 양천구,
6,서울특별시 양천구 신월동,1074,1074,0,스위트드림아파트,48.31,202606,27,"42,000",스위트드림아파트,7,개인,개인,2020,곰달래로11길 56,,중개거래,서울 양천구,26.06.29
7,서울특별시 양천구 신월동,1076,1076,0,목동센트럴아이파크위브2단지,84.97,202606,27,"133,000",,4,개인,개인,2020,남부순환로83길 18,,중개거래,서울 양천구,
8,서울특별시 양천구 목동,713-29,713,29,목동다솔,84.6,202606,27,"68,500",,6,개인,개인,2004,목동중앙남로3가길 131,,중개거래,서울 양천구,26.08.07
9,서울특별시 양천구 신정동,962-18,962,18,신정동로마,59.96,202606,27,"76,000",,3,개인,개인,2005,오목로38길 16,,중개거래,서울 양천구,
10,서울특별시 양천구 목동,907-14,907,14,벽산미라지타워,148.22,202606,27,"192,500",,16,개인,개인,1999,목동동로 385,,중개거래,서울 양천구,
11,서울특별시 양천구 목동,903,903,0,목동신시가지3,64.98,202606,26,"237,000",,15,개인,개인,1986,목동서로 100,,중개거래,"서울 마포구, 서울 양천구",
12,서울특별시 양천구 목동,925,925,0,목동신시가지7,66.6,202606,26,"257,000",,13,개인,개인,1986,목동로 212,,중개거래,서울 양천구,
13,서울특별시 양천구 목동,714-1,714,1,두란,78.75,202606,26,"49,500",,2,개인,개인,1996,목동중앙남로3가길 116,,중개거래,서울 양천구,
14,서울특별시 양천구 신정동,1014-5,1014,5,SM엘루이아파트,84.97,202606,26,"100,000",,3,개인,개인,2008,은행정로4길 25,,중개거래,서울 양천구,
15,서울특별시 양천구 신정동,1323,1323,0,목동힐스테이트,59.95,202606,26,"176,000",,8,개인,개인,2016,중앙로36길 15,,중개거래,서울 양천구,
16,서울특별시 양천구 신월동,987-1,987,1,신월시영,59.49,202606,26,"84,000",,6,개인,개인,1988,신월로 99,,중개거래,서울 양천구,
17,서울특별시 양천구 목동,752-1,752,1,극동늘푸른,59.91,202606,25,"96,500",,11,개인,개인,1998,목동중앙본로 10,,중개거래,서울 양천구,
18,서울특별시 양천구 목동,911,911,0,목동신시가지6,47.94,202606,25,"228,500",,11,개인,개인,1986,목동동로 430,,중개거래,서울 양천구,
19,서울특별시 양천구 신월동,591-1,591,1,신안약수,68.0,202606,25,"68,500",,1,개인,개인,1985,중앙로29길 55,,중개거래,"서울 구로구, 서울 양천구",
20,서울특별시 양천구 신월동,987-1,987,1,신월시영,50.67,202606,25,"42,100",,2,개인,개인,1988,신월로 99,,직거래,,
21,서울특별시 양천구 신정동,888-8,888,8,이연에버리치,84.88,202606,25,"85,000",,4,개인,개인,2007,신정중앙로21길 10,,중개거래,서울 양천구,
22,서울특별시 양천구 목동,904,904,0,목동신시가지4,48.69,202606,25,"210,000",,20,개인,개인,1986,목동서로 130,,중개거래,서울 양천구,
