NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 영등포구 양평동5가,76,76,0,양평한신,59.94,202606,28,"134,700",,13,개인,개인,1996,양평로24길 9,,중개거래,서울 영등포구,
2,서울특별시 영등포구 대림동,1132,1132,0,영등포자이르네,49.01,202606,28,"68,000",102동,19,개인,개인,2022,시흥대로 625,,중개거래,서울 영등포구,26.07.03
3,서울특별시 영등포구 양평동5가,76,76,0,양평한신,59.94,202606,27,"138,500",,17,개인,개인,1996,양평로24길 9,,중개거래,서울 영등포구,
4,서울특별시 영등포구 양평동5가,76,76,0,양평한신,59.94,202606,27,"134,500",,16,개인,개인,1996,양평로24길 9,,중개거래,"서울 강남구, 서울 영등포구",
5,서울특별시 영등포구 대림동,1123,1123,0,한솔솔파크,84.89,202606,27,"96,000",,10,개인,개인,2008,도림천로 431,,중개거래,서울 영등포구,
6,서울특별시 영등포구 양평동1가,20,20,0,신동아,61.59,202606,27,"150,000",,10,개인,개인,1982,영등포로12길 8,,중개거래,"서울 강서구, 서울 영등포구",
7,서울특별시 영등포구 당산동3가,565,565,0,당산계룡리슈빌3단지,49.993,202606,27,"84,500",,3,개인,개인,2014,양산로25길 12,,중개거래,"서울 영등포구, 서울 용산구",
8,서울특별시 영등포구 신길동,4945,4945,0,래미안영등포프레비뉴,59.99,202606,27,"160,000",,10,개인,개인,2015,가마산로 442,,중개거래,서울 영등포구,
9,서울특별시 영등포구 신길동,4759,4759,0,삼성,41.58,202606,27,"86,000",1,4,개인,개인,1984,여의대방로 45,,중개거래,서울 영등포구,26.07.31
10,서울특별시 영등포구 문래동2가,35,35,0,남성,72.9,202606,27,"130,000",,2,개인,개인,1983,경인로77길 21,,중개거래,서울 영등포구,
11,서울특별시 영등포구 신길동,4945,4945,0,래미안영등포프레비뉴,59.99,202606,27,"162,000",,7,개인,개인,2015,가마산로 442,,중개거래,서울 영등포구,
12,서울특별시 영등포구 당산동4가,88,88,0,당산현대3차,59.26,202606,27,"155,000",,4,개인,개인,1988,당산로41길 23,,중개거래,서울 영등포구,
13,서울특별시 영등포구 신길동,4518,4518,0,우성2,84.47,202606,27,"159,000",,15,개인,개인,1986,대방천로 180,,중개거래,"서울 강남구, 서울 영등포구",
