NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 용산구 이촌동,412,412,0,이촌코오롱(A),114.69,202505,7,"243,000",,2,개인,개인,1999,이촌로87길 21,20250605.0,중개거래,서울 용산구,
2,서울특별시 용산구 이촌동,404,404,0,한가람,59.88,202505,7,"199,000",214,7,개인,개인,1998,이촌로65가길 51,,중개거래,서울 용산구,25.08.14
3,서울특별시 용산구 이촌동,430,430,0,LG한강자이,134.82,202505,7,"390,000",106,11,개인,개인,2003,이촌로64길 15,,중개거래,서울 용산구,25.08.18
4,서울특별시 용산구 산천동,204,204,0,한강타운,59.69,202505,7,"88,800",102,4,개인,개인,2001,새창로8길 157,,중개거래,"서울 마포구, 서울 용산구",25.06.30
5,서울특별시 용산구 한남동,810,810,0,한남더힐,243.642,202505,7,"1,900,000",106,1,개인,개인,2011,독서당로 111,,중개거래,서울 강남구,26.04.10
6,서울특별시 용산구 이촌동,412,412,0,이촌코오롱(A),114.69,202505,7,"243,000",101,2,개인,개인,1999,이촌로87길 21,,중개거래,서울 용산구,25.06.30
7,서울특별시 용산구 이촌동,435,435,0,보람더하임,84.5839,202505,7,"170,000",,1,개인,개인,2009,이촌로58길 19,,중개거래,서울 용산구,25.06.30
8,서울특별시 용산구 이촌동,399-1,399,1,우성,114.74,202505,7,"235,000",102,14,개인,개인,1995,이촌로 193,,중개거래,서울 용산구,25.07.31
9,서울특별시 용산구 이촌동,412,412,0,이촌코오롱(A),59.82,202505,3,"187,000",108,16,개인,개인,1999,이촌로87길 21,,중개거래,서울 용산구,25.07.30
10,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,114.5011,202505,3,"405,000",102,30,개인,개인,2020,서빙고로 17,,중개거래,서울 용산구,25.05.30
11,서울특별시 용산구 이촌동,301-10,301,10,로얄맨숀,147.74,202505,3,"187,900",,7,개인,개인,1972,이촌로75길 6,,중개거래,서울 용산구,25.07.21
12,서울특별시 용산구 효창동,287,287,0,용산롯데캐슬센터포레,84.9204,202505,3,"210,000",102,10,개인,개인,2019,백범로 313,,중개거래,"경기 안양시 동안구, 서울 용산구",25.07.21
13,서울특별시 용산구 효창동,274,274,0,효창파크푸르지오,84.45,202505,3,"174,500",101,7,개인,개인,2010,백범로 260,,중개거래,서울 용산구,25.07.08
14,서울특별시 용산구 서빙고동,241-21,241,21,신동아,210.25,202505,2,"410,000",12,9,개인,개인,1984,이촌로 347,,중개거래,서울 용산구,25.05.15
15,서울특별시 용산구 문배동,11-14,11,14,이안용산1차(101동),84.95,202504,30,"126,000",101,8,개인,개인,2005,백범로90길 74,,중개거래,서울 용산구,25.08.29
16,서울특별시 용산구 효창동,288,288,0,용산데시앙포레,59.7642,202504,30,"132,000",105,12,개인,개인,2022,효창원로93길 9,,중개거래,"서울 서대문구, 서울 용산구",25.06.27
17,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,84.976,202504,30,"170,000",주거,31,개인,개인,2014,원효로90길 11,,중개거래,서울 용산구,25.07.31
18,서울특별시 용산구 이촌동,404,404,0,한가람,114.96,202504,29,"244,000",208,2,개인,개인,1998,이촌로69길 30,,중개거래,서울 용산구,25.06.30
19,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,84.976,202504,29,"169,000",주거,25,개인,개인,2014,원효로90길 11,,중개거래,서울 용산구,25.07.17
20,서울특별시 용산구 문배동,24-4,24,4,용산큐브,13.01,202504,29,"18,000",,19,개인,개인,2013,백범로90길 12,,중개거래,서울 용산구,25.05.22
21,서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202504,28,"495,000",23,3,개인,개인,1971,이촌로 248,,중개거래,서울 용산구,25.06.30
22,서울특별시 용산구 신계동,48,48,0,용산e편한세상,59.66,202504,28,"168,000",101,17,개인,개인,2011,원효로 216,,중개거래,서울 용산구,25.07.11
23,서울특별시 용산구 이촌동,415,415,0,한강(대우),84.98,202504,26,"230,000",106,7,개인,개인,2000,이촌로 181,,중개거래,서울 용산구,25.06.30
24,서울특별시 용산구 한강로3가,65-230,65,230,한강대우트럼프월드3,143.59,202504,26,"315,000",,21,개인,개인,2004,한강대로 26,,중개거래,서울 용산구,25.07.15
25,서울특별시 용산구 산천동,193,193,0,리버힐삼성,59.55,202504,25,"110,000",106,5,개인,개인,2001,효창원로 17,,중개거래,서울 용산구,25.07.03
26,서울특별시 용산구 이촌동,415,415,0,한강(대우),60.0,202504,25,"203,700",101,22,개인,개인,2000,이촌로 181,,중개거래,"서울 성동구, 서울 용산구",25.07.14
27,서울특별시 용산구 이촌동,395,395,0,대림,84.78,202504,25,"206,000",105,16,개인,개인,1994,이촌로2가길 122,,중개거래,서울 용산구,25.07.31
28,서울특별시 용산구 문배동,11-14,11,14,이안용산1차(101동),84.95,202504,25,"121,000",101,14,개인,개인,2005,백범로90길 74,,중개거래,서울 용산구,25.06.20
29,서울특별시 용산구 한강로1가,216-11,216,11,센트럴파크,28.94,202504,24,"61,000",,3,개인,개인,2021,한강대로62길 45-25,,중개거래,서울 용산구,25.05.30
30,서울특별시 용산구 서빙고동,296,296,0,금호베스트빌1,84.94,202504,24,"170,500",103,10,개인,개인,2002,서빙고로51길 68-14,,중개거래,서울 용산구,25.06.09
31,서울특별시 용산구 이촌동,404,404,0,한가람,59.88,202504,24,"199,000",214,19,개인,개인,1998,이촌로65가길 51,,중개거래,서울 용산구,25.07.28
32,서울특별시 용산구 효창동,288,288,0,용산데시앙포레,59.8391,202504,23,"132,000",104,4,개인,개인,2022,효창원로93길 9,,중개거래,서울 용산구,25.07.28
33,서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202504,23,"209,500",,4,개인,개인,1974,이촌로88길 3,,중개거래,서울 용산구,25.06.27
34,서울특별시 용산구 이촌동,404,404,0,한가람,59.88,202504,23,"190,000",,9,개인,개인,1998,이촌로 201,20250430.0,중개거래,서울 용산구,
