NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,142.901,202606,27,"240,000",,7,개인,개인,2014,원효로90길 11,,중개거래,서울 용산구,
2,서울특별시 용산구 이촌동,206-27,206,27,이촌시범,59.5,202606,26,"126,000",,5,개인,개인,1970,이촌로14길 16,,중개거래,서울 용산구,
3,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,114.8905,202606,26,"390,000",,21,개인,개인,2020,,,중개거래,서울 용산구,
4,서울특별시 용산구 산천동,193,193,0,리버힐삼성,59.55,202606,26,"130,000",106,15,개인,개인,2001,효창원로 17,,직거래,,26.07.06
5,서울특별시 용산구 이촌동,300-10,300,10,점보,177.62,202606,26,"248,000",,14,개인,개인,1974,이촌로88길 3,,중개거래,서울 용산구,26.08.06
6,서울특별시 용산구 문배동,11-34,11,34,G&P용산파크,28.61,202606,25,"43,500",,6,개인,개인,2018,청파로 201-17,,중개거래,서울 용산구,
7,서울특별시 용산구 신계동,48,48,0,용산e편한세상,84.89,202606,24,"240,000",,10,개인,개인,2011,원효로 216,,중개거래,서울 용산구,
8,서울특별시 용산구 이촌동,301-170,301,170,반도,136.21,202606,23,"363,000",,6,개인,개인,1977,이촌로 324-10,,중개거래,서울 용산구,
9,서울특별시 용산구 도원동,23,23,0,삼성래미안,59.94,202606,22,"169,000",,10,개인,개인,2001,새창로 70,,중개거래,서울 용산구,
10,서울특별시 용산구 한남동,263-10,263,10,성아1,118.65,202606,22,"112,500",,3,개인,개인,1970,독서당로 73,,중개거래,서울 강남구,
11,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,123.673,202606,21,"229,000",,9,개인,개인,2014,원효로90길 11,,중개거래,서울 용산구,
12,서울특별시 용산구 산천동,193,193,0,리버힐삼성,114.48,202606,20,"172,000",,1,개인,개인,2001,효창원로 17,20260707.0,중개거래,서울 용산구,
13,서울특별시 용산구 산천동,193,193,0,리버힐삼성,114.48,202606,20,"172,000",,1,개인,개인,2001,효창원로 17,,중개거래,서울 용산구,
14,서울특별시 용산구 동자동,45,45,0,센트레빌아스테리움서울,149.05,202606,20,"225,000",,15,개인,개인,2013,한강대로 372,,중개거래,서울 용산구,
15,서울특별시 용산구 이태원동,669,669,0,용산동아파트,44.76,202606,20,"57,000",,4,개인,개인,1969,녹사평대로 250-1,,중개거래,서울 용산구,
16,서울특별시 용산구 한남동,72-1,72,1,한남동리첸시아,37.53,202606,20,"65,000",,7,개인,개인,2004,한남대로 60,,중개거래,서울 용산구,
17,서울특별시 용산구 한강로2가,2-8,2,8,벽산메가트리움,84.98,202606,20,"195,000",,16,개인,개인,2005,한강대로43길 8,,중개거래,서울 용산구,
18,서울특별시 용산구 한남동,737-60,737,60,스카이빌2,84.34,202606,19,"90,000",,3,개인,개인,2001,이태원로27나길 50,,중개거래,서울 용산구,26.07.28
19,서울특별시 용산구 한강로3가,16-85,16,85,한강자이에클라트,79.73,202606,19,"125,000",,16,개인,개인,2006,이촌로 1,,중개거래,서울 용산구,
20,서울특별시 용산구 한남동,810,810,0,한남더힐,59.686,202606,19,"385,000",,3,개인,개인,2011,독서당로 111,,중개거래,"서울 강남구, 서울 서초구",
21,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,102.8617,202606,19,"350,000",,27,개인,개인,2020,,,중개거래,서울 용산구,
22,서울특별시 용산구 한남동,829,829,0,나인원한남,273.9424,202606,18,"2,500,000",103동,1,개인,개인,2019,한남대로 91,,중개거래,서울 강남구,26.08.03
23,서울특별시 용산구 원효로4가,118-16,118,16,산호,78.06,202606,18,"250,000",에이,11,개인,개인,1977,원효로 66,,중개거래,서울 용산구,26.07.02
24,서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,87.54,202606,18,"425,000",,2,개인,개인,1971,이촌로 248,,중개거래,서울 용산구,
25,서울특별시 용산구 용산동5가,24,24,0,용산파크타워(24-0),124.8,202606,18,"356,000",102,19,개인,개인,2009,서빙고로 67,,중개거래,서울 용산구,26.06.22
26,서울특별시 용산구 서빙고동,241-21,241,21,신동아,95.66,202606,17,"350,000",,1,개인,개인,1984,이촌로 347,,중개거래,서울 용산구,
27,서울특별시 용산구 도원동,23,23,0,삼성래미안,59.94,202606,17,"165,000",,8,개인,개인,2001,새창로 70,,중개거래,서울 용산구,
28,서울특별시 용산구 이촌동,193-3,193,3,강변,64.43,202606,15,"135,000",,7,개인,개인,1971,이촌로 104,,중개거래,서울 용산구,
29,서울특별시 용산구 이촌동,415,415,0,한강(대우),135.87,202606,13,"327,000",,5,개인,개인,2000,이촌로 181,,중개거래,서울 용산구,
30,서울특별시 용산구 보광동,448,448,0,신동아1,84.93,202606,13,"435,000",,7,개인,개인,1992,보광로 14,,중개거래,서울 용산구,
31,서울특별시 용산구 이촌동,402,402,0,강촌,106.645,202606,13,"270,000",,6,개인,개인,1998,이촌로87길 14,,중개거래,서울 용산구,
32,서울특별시 용산구 이촌동,402,402,0,강촌,59.12,202606,13,"235,000",,15,개인,개인,1998,이촌로87길 14,,중개거래,서울 용산구,
33,서울특별시 용산구 한남동,828,828,0,한남아이파크애비뉴,49.6243,202606,12,"86,500",,4,개인,개인,2017,독서당로 46,,중개거래,서울 용산구,
34,서울특별시 용산구 효창동,5-145,5,145,효창한신,71.77,202606,12,"153,000",,1,개인,개인,1987,백범로45길 9-11,,중개거래,서울 용산구,
35,서울특별시 용산구 문배동,11-29,11,29,이안용산1차(103동),84.96,202606,12,"144,000",,9,개인,개인,2005,백범로90길 74,,중개거래,서울 용산구,
36,서울특별시 용산구 효창동,5-145,5,145,효창한신,71.77,202606,12,"153,000",,1,개인,개인,1987,백범로45길 9-11,20260713.0,중개거래,서울 용산구,
37,서울특별시 용산구 문배동,11-29,11,29,이안용산1차(103동),84.96,202606,12,"148,900",,3,개인,개인,2005,백범로90길 74,,중개거래,서울 용산구,
38,서울특별시 용산구 용문동,90,90,0,브라운스톤,84.98,202606,11,"199,000",,9,개인,개인,2011,효창원로 88,,중개거래,서울 용산구,
39,서울특별시 용산구 문배동,11-10,11,10,용산KCC웰츠타워,84.03,202606,10,"121,000",,15,개인,개인,2015,백범로90길 90,,중개거래,서울 서대문구,
40,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,114.5011,202606,10,"412,000",,33,개인,개인,2020,,,중개거래,서울 용산구,
41,서울특별시 용산구 한강로3가,98,98,0,센트럴파크,114.5011,202606,10,"402,000",,28,개인,개인,2020,,,중개거래,서울 용산구,
42,서울특별시 용산구 이촌동,434,434,0,동원베네스트,84.973,202606,10,"147,000",102,7,개인,개인,2005,이촌로14길 7,,중개거래,서울 용산구,26.06.19
43,서울특별시 용산구 원효로4가,178,178,0,강변삼성스위트,84.9,202606,9,"210,000",,18,개인,개인,1999,원효로 40,,중개거래,서울 용산구,
44,서울특별시 용산구 원효로4가,118-16,118,16,산호,86.12,202606,9,"225,000",에이,4,개인,개인,1977,원효로 66,,중개거래,서울 용산구,26.06.17
45,서울특별시 용산구 도원동,23,23,0,삼성래미안,84.92,202606,9,"180,000",,21,개인,개인,2001,새창로 70,,중개거래,서울 마포구,
