NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 종로구 창신동,232,232,0,두산,84.9,202505,6,"106,000",102,4,개인,개인,1999,지봉로5길 7,,중개거래,서울 종로구,25.06.11
2,서울특별시 종로구 평동,233,233,0,경희궁자이(3단지),84.8359,202505,6,"235,000",301,12,개인,개인,2017,경교장길 35,,중개거래,서울 종로구,25.07.30
3,서울특별시 종로구 무악동,82,82,0,현대,60.0,202505,3,"91,490",101,10,개인,개인,2000,통일로 246-20,,중개거래,서울 서대문구,25.07.25
4,서울특별시 종로구 교북동,126,126,0,경희궁자이(4단지),45.879,202505,3,"115,000",401,10,개인,개인,2017,송월길 155,,중개거래,서울 종로구,25.05.27
5,서울특별시 종로구 무악동,89,89,0,경희궁롯데캐슬,59.6737,202505,3,"140,000",101동,9,개인,개인,2019,통일로 230,,중개거래,서울 종로구,25.07.10
6,서울특별시 종로구 당주동,145,145,0,롯데미도파광화문빌딩,93.36,202505,3,"87,000",,7,개인,개인,1981,세종대로23길 47,,중개거래,서울 종로구,25.10.14
7,서울특별시 종로구 창신동,703,703,0,창신쌍용2,64.66,202505,2,"60,000",202,5,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,25.07.10
8,서울특별시 종로구 내수동,72,72,0,경희궁의아침3단지,150.48,202505,2,"230,000",경희궁의 아침 3단지,8,개인,개인,2004,사직로8길 34,,중개거래,서울 종로구,25.07.18
9,서울특별시 종로구 효제동,65-2,65,2,포레스트힐시티,18.7352,202504,30,"18,100",포레스트힐시티,11,개인,개인,2017,대학로 33,,중개거래,서울 종로구,25.05.08
10,서울특별시 종로구 평창동,66-1,66,1,엘리시아,200.19,202504,30,"100,000",엘리시아,3,개인,법인,2009,평창문화로 142,,직거래,,25.05.14
11,서울특별시 종로구 무악동,60,60,0,인왕산아이파크,84.858,202504,29,"133,000",103,10,개인,개인,2008,통일로18길 9,,중개거래,서울 종로구,25.07.25
12,서울특별시 종로구 무악동,60,60,0,인왕산아이파크,84.858,202504,26,"124,000",115,1,개인,개인,2008,통일로18길 9,,중개거래,서울 종로구,25.08.11
13,서울특별시 종로구 숭인동,2-1,2,1,종로센트레빌,59.92,202504,26,"87,400",105,11,개인,개인,2008,동망산길 47,,중개거래,서울 종로구,25.06.19
14,서울특별시 종로구 평동,233,233,0,경희궁자이(3단지),84.8359,202504,26,"219,000",302,4,개인,개인,2017,경교장길 35,,중개거래,서울 종로구,25.10.01
15,서울특별시 종로구 창신동,703,703,0,창신쌍용2,106.62,202504,26,"82,500",205,6,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,25.09.15
16,서울특별시 종로구 사직동,9,9,0,광화문스페이스본(101동~105동),136.4,202504,26,"203,500",101,6,개인,개인,2008,사직로8길 4,,중개거래,서울 종로구,25.06.20
17,서울특별시 종로구 익선동,55,55,0,현대뜨레비앙,48.54,202504,25,"44,000",현대뜨레비앙,3,개인,개인,2003,돈화문로11가길 59,,중개거래,서울 종로구,25.06.24
18,서울특별시 종로구 창신동,703,703,0,창신쌍용2,115.53,202504,25,"79,000",206,4,개인,법인,1993,낙산길 198,,중개거래,전남광주 광산구,25.05.27
19,서울특별시 종로구 창신동,328-17,328,17,동대문,28.8,202504,24,"31,700",,6,개인,개인,1966,지봉로 25,,중개거래,서울 종로구,25.05.09
20,서울특별시 종로구 숭인동,2-1,2,1,종로센트레빌,59.92,202504,23,"85,600",106,5,개인,개인,2008,동망산길 47,,중개거래,서울 종로구,25.07.31
21,서울특별시 종로구 무악동,82,82,0,현대,84.92,202504,22,"117,900",102,5,개인,개인,2000,통일로 246-20,,중개거래,서울 종로구,25.06.13
22,서울특별시 종로구 창신동,702,702,0,창신쌍용1,54.7,202504,21,"64,000",101,9,개인,개인,1992,동망산길 19,,중개거래,서울 종로구,25.07.01
23,서울특별시 종로구 창신동,703,703,0,창신쌍용2,54.7,202504,20,"59,000",201,2,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,25.07.21
24,서울특별시 종로구 창신동,703,703,0,창신쌍용2,54.7,202504,20,"60,500",201,7,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,25.07.30
25,서울특별시 종로구 행촌동,41-1,41,1,대성아파트,19.27,202504,19,"18,000",나동,2,개인,개인,1971,사직로 21,,중개거래,서울 마포구,25.04.22
26,서울특별시 종로구 무악동,82,82,0,현대,60.0,202504,18,"89,990",101,11,개인,개인,2000,통일로 246-20,,중개거래,서울 서대문구,25.07.21
27,서울특별시 종로구 평창동,596,596,0,삼성,59.97,202504,18,"69,000",101,14,개인,개인,1998,평창문화로 172,,중개거래,서울 종로구,25.07.03
28,서울특별시 종로구 교북동,126,126,0,경희궁자이(4단지),33.982,202504,17,"80,000",403,5,개인,개인,2017,송월길 155,,중개거래,서울 종로구,25.05.20
29,서울특별시 종로구 숭인동,76,76,0,롯데캐슬천지인,84.95,202504,16,"98,000",롯데캐슬 천지인(천),30,개인,법인,2004,종로 347,,중개거래,서울 종로구,25.09.10
30,서울특별시 종로구 숭인동,76,76,0,롯데캐슬천지인,84.95,202504,16,"98,000",,30,개인,법인,2004,종로 347,20250808.0,중개거래,서울 종로구,
