NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 종로구 교북동,126,126,0,경희궁자이(4단지),37.2635,202606,28,"100,000",,7,개인,개인,2017,송월길 155,,중개거래,서울 종로구,
2,서울특별시 종로구 평창동,108,108,0,롯데캐슬로잔,200.331,202606,27,"201,000",,1,개인,개인,2009,평창문화로 156,,중개거래,서울 종로구,
3,서울특별시 종로구 무악동,82,82,0,현대,60.0,202606,27,"117,980",,14,개인,개인,2000,통일로 246-20,,중개거래,서울 종로구,
4,서울특별시 종로구 홍파동,199,199,0,경희궁자이(2단지),59.8547,202606,27,"230,000",,20,개인,개인,2017,송월길 99,,중개거래,서울 종로구,
5,서울특별시 종로구 창신동,627-21,627,21,흥인,56.88,202606,27,"57,700",,2,개인,개인,1997,창신길 131-4,,중개거래,서울 종로구,
6,서울특별시 종로구 사직동,9,9,0,광화문스페이스본(101동~105동),126.34,202606,26,"210,000",,1,개인,개인,2008,사직로8길 4,,중개거래,서울 종로구,
7,서울특별시 종로구 창신동,232,232,0,두산,59.95,202606,26,"91,700",,21,개인,개인,1999,지봉로5길 7,,중개거래,서울 종로구,
8,서울특별시 종로구 평창동,72,72,0,롯데낙천대,110.53,202606,25,"118,000",,10,개인,개인,2001,평창문화로 140,,중개거래,서울 종로구,
9,서울특별시 종로구 교북동,126,126,0,경희궁자이(4단지),37.2635,202606,25,"100,000",,9,개인,개인,2017,송월길 155,,중개거래,서울 종로구,
10,서울특별시 종로구 신문로2가,171,171,0,디팰리스,147.551,202606,24,"500,000",,9,개인,개인,2020,새문안로2길 10,,중개거래,서울 종로구,
11,서울특별시 종로구 창신동,578-5,578,5,동대문맨션,83.83,202606,23,"51,500",,6,개인,개인,1973,창신길 20,,중개거래,서울 종로구,
12,서울특별시 종로구 무악동,82,82,0,현대,114.9,202606,22,"159,917",,4,개인,개인,2000,통일로 246-20,,중개거래,서울 성동구,
13,서울특별시 종로구 창신동,232,232,0,두산,59.95,202606,22,"91,800",,7,개인,개인,1999,지봉로5길 7,,중개거래,서울 종로구,
14,서울특별시 종로구 명륜2가,237,237,0,명륜동주상복합아남아파트,47.43,202606,22,"66,500",301,7,개인,개인,1999,혜화로3길 5,,중개거래,서울 종로구,26.07.30
15,서울특별시 종로구 숭인동,243,243,0,블루빌,42.25,202606,22,"30,000",,5,개인,개인,2017,종로58가길 9,,직거래,,26.06.23
16,서울특별시 종로구 무악동,60,60,0,인왕산아이파크,84.858,202606,21,"156,900",,14,개인,개인,2008,통일로18길 9,,중개거래,서울 종로구,
17,서울특별시 종로구 창신동,601-6,601,6,MID그린(9동),59.9,202606,20,"75,000",,3,개인,개인,2002,창신길 140-3,,중개거래,서울 종로구,
18,서울특별시 종로구 무악동,82,82,0,현대,84.92,202606,19,"154,000",108,17,개인,개인,2000,통일로 246-20,,중개거래,서울 종로구,26.07.31
19,서울특별시 종로구 명륜2가,4,4,0,아남1,84.9,202606,18,"119,000",,10,개인,개인,1995,창경궁로 265,,중개거래,서울 종로구,
20,서울특별시 종로구 창신동,23-816,23,816,창신이수,84.5,202606,18,"89,000",,2,개인,개인,2003,지봉로 87,,중개거래,서울 종로구,
21,서울특별시 종로구 명륜2가,237,237,0,명륜동주상복합아남아파트,59.36,202606,17,"89,500",,3,개인,개인,1999,혜화로3길 5,,중개거래,"서울 도봉구, 서울 마포구",
22,서울특별시 종로구 평창동,45,45,0,벽산블루밍평창힐스,150.94,202606,17,"160,000",,5,개인,개인,2004,평창문화로 118,,중개거래,서울 종로구,
23,서울특별시 종로구 명륜2가,237,237,0,명륜동주상복합아남아파트,59.36,202606,17,"89,500",,3,개인,개인,1999,혜화로3길 5,20260623.0,중개거래,"서울 도봉구, 서울 마포구",
24,서울특별시 종로구 홍파동,199,199,0,경희궁자이(2단지),84.9443,202606,16,"277,000",,7,개인,개인,2017,송월길 99,,중개거래,"서울 강남구, 서울 종로구",
25,서울특별시 종로구 숭인동,202-3,202,3,종로중흥S클래스,19.466,202606,15,"11,500",,6,개인,개인,2013,종로66길 28,,중개거래,서울 종로구,26.06.30
26,서울특별시 종로구 숭인동,76,76,0,롯데캐슬천지인,112.54,202606,11,"124,000",,13,개인,개인,2004,종로 347,,중개거래,서울 종로구,
27,서울특별시 종로구 창신동,232,232,0,두산,59.95,202606,8,"62,000",101,11,개인,개인,1999,지봉로5길 7,,직거래,,26.07.23
28,서울특별시 종로구 홍파동,199,199,0,경희궁자이(2단지),84.8359,202606,7,"273,000",,6,개인,개인,2017,송월길 99,,중개거래,"서울 강남구, 서울 종로구",
29,서울특별시 종로구 무악동,88,88,0,인왕산2차아이파크,84.0284,202606,6,"147,500",,13,개인,개인,2015,통일로18길 34,,중개거래,서울 종로구,
30,서울특별시 종로구 홍파동,199,199,0,경희궁자이(2단지),84.8359,202606,5,"264,500",,17,개인,개인,2017,송월길 99,,중개거래,서울 종로구,
31,서울특별시 종로구 창신동,702,702,0,창신쌍용1,79.87,202606,4,"62,000",,13,개인,개인,1992,동망산길 19,,직거래,,
32,서울특별시 종로구 숭인동,766,766,0,종로청계힐스테이트,59.9426,202606,3,"104,000",,10,개인,개인,2009,숭인동길 21,,중개거래,"서울 성북구, 서울 종로구",
33,서울특별시 종로구 명륜2가,4,4,0,아남1,84.9,202605,31,"115,000",,13,개인,개인,1995,창경궁로 265,,중개거래,서울 종로구,
34,서울특별시 종로구 충신동,60,60,0,힐스테이트창경궁,76.82,202605,31,"129,500",,8,개인,개인,2022,율곡로 236,,중개거래,서울 종로구,
35,서울특별시 종로구 창신동,602-1,602,1,MID그린(8동),59.01,202605,30,"59,000",,2,개인,개인,2002,창신길 140-8,,중개거래,서울 종로구,
36,서울특별시 종로구 창신동,702,702,0,창신쌍용1,54.7,202605,30,"80,000",,11,개인,개인,1992,동망산길 19,,중개거래,서울 종로구,
37,서울특별시 종로구 창신동,232,232,0,두산,84.9,202605,30,"104,000",,1,개인,개인,1999,지봉로5길 7,,중개거래,서울 종로구,
38,서울특별시 종로구 교북동,126,126,0,경희궁자이(4단지),45.879,202605,30,"139,000",,7,개인,개인,2017,송월길 155,,중개거래,서울 종로구,
39,서울특별시 종로구 창신동,703,703,0,창신쌍용2,79.87,202605,30,"85,800",204,14,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,26.08.10
40,서울특별시 종로구 숭인동,766,766,0,종로청계힐스테이트,59.9426,202605,29,"94,000",,2,개인,개인,2009,숭인동길 21,,중개거래,서울 종로구,
41,서울특별시 종로구 창신동,232,232,0,두산,84.9,202605,29,"118,300",102,7,개인,개인,1999,지봉로5길 7,,중개거래,서울 종로구,26.08.11
42,서울특별시 종로구 사직동,9,9,0,광화문스페이스본(101동~105동),94.51,202605,29,"170,000",,7,개인,개인,2008,사직로8길 4,,중개거래,서울 종로구,
43,서울특별시 종로구 숭인동,1392,1392,0,익성씨티하임,15.42,202605,29,"10,800",,11,개인,개인,2013,난계로29가길 17,,중개거래,서울 종로구,
44,서울특별시 종로구 무악동,89,89,0,경희궁롯데캐슬,84.8792,202605,28,"183,000",,8,개인,개인,2019,통일로 230,,중개거래,서울 종로구,
45,서울특별시 종로구 명륜1가,23,23,0,건양하늘터,84.78,202605,26,"61,500",,2,개인,개인,2006,혜화로9길 28,,중개거래,서울 종로구,
46,서울특별시 종로구 창신동,702,702,0,창신쌍용1,79.87,202605,25,"88,000",,2,개인,개인,1992,동망산길 19,,중개거래,서울 종로구,
47,서울특별시 종로구 평창동,72,72,0,롯데낙천대,110.53,202605,25,"111,000",,7,개인,개인,2001,평창문화로 140,,중개거래,서울 종로구,
48,서울특별시 종로구 창신동,702,702,0,창신쌍용1,79.87,202605,25,"93,500",105,12,개인,개인,1992,동망산길 19,,중개거래,서울 종로구,26.08.12
49,서울특별시 종로구 창신동,703,703,0,창신쌍용2,79.87,202605,24,"85,500",,7,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,
50,서울특별시 종로구 창신동,703,703,0,창신쌍용2,106.62,202605,24,"100,000",,12,개인,개인,1993,낙산길 198,,중개거래,서울 종로구,
