NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202606,27,"159,000",,17,개인,개인,2002,다산로 32,20260716.0,중개거래,"경기 수원시 영통구, 서울 성동구",
2,서울특별시 중구 신당동,843,843,0,삼성,59.98,202606,27,"150,000",,11,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,
3,서울특별시 중구 충무로5가,36-2,36,2,충무로엘크루메크로시티2차,22.75,202606,27,"21,500",충무로엘크루메트로시티2,6,개인,개인,2016,퇴계로49길 14,,중개거래,서울 중구,26.07.16
4,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202606,27,"159,000",,17,개인,개인,2002,다산로 32,,중개거래,"경기 수원시 영통구, 서울 성동구",
5,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202606,26,"104,000",,21,개인,개인,2008,청계천로 400,,중개거래,"서울 성동구, 서울 중구",
6,서울특별시 중구 황학동,1572,1572,0,동광팰리스,25.9,202606,26,"29,500",,9,개인,개인,2018,난계로17길 16,,중개거래,서울 중구,26.07.22
7,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202606,26,"154,500",,10,개인,개인,1999,동호로10길 30,,중개거래,서울 서초구,
8,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202606,25,"145,500",,1,개인,개인,2002,다산로 32,,중개거래,"서울 서초구, 서울 중구",
9,서울특별시 중구 신당동,850,850,0,신당푸르지오,84.39,202606,24,"161,000",,9,개인,개인,2005,다산로36길 110,,중개거래,"서울 강남구, 서울 중구",
10,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.92,202606,23,"113,000",,7,개인,개인,2008,청계천로 400,,중개거래,서울 중구,
11,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202606,22,"148,000",,8,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,
