NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 중랑구 면목동,136-96,136,96,미래한건아파트,76.49,202505,7,"48,000",,3,개인,개인,2005,동일로100길 87,,중개거래,서울 중랑구,25.06.11
2,서울특별시 중랑구 면목동,494,494,0,용마금호타운,84.9,202505,7,"71,350",,12,개인,개인,1992,용마산로 348,20250519.0,중개거래,서울 중랑구,
3,서울특별시 중랑구 망우동,582,582,0,주함해븐(101동),50.625,202505,7,"38,300",,2,개인,개인,2011,용마산로 463,,중개거래,서울 중랑구,25.06.24
4,서울특별시 중랑구 중화동,274-51,274,51,한영(101),84.24,202505,7,"50,300",,7,개인,개인,2003,동일로144길 74,,중개거래,서울 중랑구,25.07.31
5,서울특별시 중랑구 묵동,379,379,0,극동늘푸른,84.08,202505,7,"64,200",101,2,개인,개인,1999,동일로 941,,중개거래,서울 중랑구,25.06.13
6,서울특별시 중랑구 신내동,650,650,0,신내6대주,49.77,202505,6,"49,500",614,9,개인,개인,1996,신내로19길 42,,중개거래,서울 중랑구,25.07.11
7,서울특별시 중랑구 신내동,479,479,0,중앙하이츠,84.97,202505,6,"62,500",4,6,개인,개인,1996,봉화산로56길 123,,중개거래,서울 중랑구,25.08.08
8,서울특별시 중랑구 신내동,479,479,0,중앙하이츠,84.97,202505,6,"60,000",1,5,개인,개인,1996,봉화산로56길 123,,중개거래,서울 중랑구,25.07.02
9,서울특별시 중랑구 상봉동,495,495,0,동부아파트,84.99,202505,6,"72,800",102,11,개인,개인,1999,신내로7가길 31,,중개거래,서울 중랑구,25.07.28
10,서울특별시 중랑구 중화동,450,450,0,한신아파트상가동유치원동(103~109),59.76,202505,6,"67,600",103,16,개인,개인,1998,동일로 752,,중개거래,서울 중랑구,25.10.01
11,서울특별시 중랑구 신내동,661,661,0,신내11대명,49.77,202505,6,"43,000",1106,1,개인,개인,1996,봉화산로 193,,중개거래,서울 중랑구,25.07.25
12,서울특별시 중랑구 신내동,650,650,0,신내6대주,49.77,202505,6,"47,500",616,4,개인,개인,1996,신내로19길 42,,중개거래,서울 중랑구,25.07.25
